task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,17.04107350694989,2861,2837,24,3,3,14,1137,submissions/afr1ste_5689_onnx/task001.onnx,
2,13.5104148124377,97693,97200,493,3,3,95,15506,submissions/afr1ste_5689_onnx/task002.onnx,
3,15.883750551423413,9102,9092,10,3,3,44,3334,submissions/afr1ste_5689_onnx/task003.onnx,
4,14.084547965521434,55020,54000,1020,3,3,4,2522,submissions/afr1ste_5689_onnx/task004.onnx,
5,13.324403117158939,117665,117330,335,3,3,105,7353,submissions/afr1ste_5689_onnx/task005.onnx,
6,17.603051397378987,1631,1584,47,3,3,12,1124,submissions/afr1ste_5689_onnx/task006.onnx,
7,15.981910315895657,8251,8220,31,3,3,14,1320,submissions/afr1ste_5689_onnx/task007.onnx,
8,14.933331237322346,23545,23484,61,3,3,78,7667,submissions/afr1ste_5689_onnx/task008.onnx,
9,13.69482467517415,81241,77400,3841,3,3,22,30956,submissions/afr1ste_5689_onnx/task009.onnx,
10,16.479611917687244,5016,4939,77,3,3,60,4038,submissions/afr1ste_5689_onnx/task010.onnx,
11,13.898854540195707,66247,63916,2331,3,3,52,10170,submissions/afr1ste_5689_onnx/task011.onnx,
12,15.468881328082846,13782,13680,102,3,3,16,1406,submissions/afr1ste_5689_onnx/task012.onnx,
13,13.3310798421544,116882,114625,2257,3,3,91,18384,submissions/afr1ste_5689_onnx/task013.onnx,
14,14.344789801999697,42413,38399,4014,3,3,42,9602,submissions/afr1ste_5689_onnx/task014.onnx,
15,18.197605236675688,900,0,900,3,3,1,3798,submissions/afr1ste_5689_onnx/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,submissions/afr1ste_5689_onnx/task016.onnx,
17,14.414527331610119,39556,38935,621,3,3,66,8530,submissions/afr1ste_5689_onnx/task017.onnx,
18,11.659729155676725,621736,620738,998,0,3,200,23613,submissions/afr1ste_5689_onnx/task018.onnx,
19,13.16583196905603,137884,136056,1828,3,3,35,17887,submissions/afr1ste_5689_onnx/task019.onnx,
20,13.590958363748854,90133,89863,270,3,3,245,31378,submissions/afr1ste_5689_onnx/task020.onnx,
21,13.930630994260659,64175,62315,1860,3,3,206,28985,submissions/afr1ste_5689_onnx/task021.onnx,
22,14.287673304907853,44906,44794,112,3,3,362,28449,submissions/afr1ste_5689_onnx/task022.onnx,
23,11.876794976878815,500421,500400,21,3,3,327,21057,submissions/afr1ste_5689_onnx/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,3233,submissions/afr1ste_5689_onnx/task024.onnx,
25,12.208551927600356,359133,358980,153,3,3,44,3648,submissions/afr1ste_5689_onnx/task025.onnx,
26,18.39605617539953,738,690,48,3,3,13,1345,submissions/afr1ste_5689_onnx/task026.onnx,
27,14.486991470971319,36791,29573,7218,3,3,25,16205,submissions/afr1ste_5689_onnx/task027.onnx,
28,15.896131872534333,8990,8676,314,3,3,13,1867,submissions/afr1ste_5689_onnx/task028.onnx,
29,13.503437684118467,98377,98207,170,3,3,88,13589,submissions/afr1ste_5689_onnx/task029.onnx,
30,14.270430927480199,45687,44712,975,3,3,56,5840,submissions/afr1ste_5689_onnx/task030.onnx,
31,15.164363114372046,18688,18630,58,3,3,26,3417,submissions/afr1ste_5689_onnx/task031.onnx,
32,16.86699978141639,3405,3336,69,3,3,19,2347,submissions/afr1ste_5689_onnx/task032.onnx,
33,14.081988539178049,55161,55112,49,3,3,16,1510,submissions/afr1ste_5689_onnx/task033.onnx,
34,13.425828929592994,106316,103469,2847,3,3,79,8450,submissions/afr1ste_5689_onnx/task034.onnx,
35,15.36028269986934,15363,15312,51,3,3,38,3707,submissions/afr1ste_5689_onnx/task035.onnx,
36,13.71033059267258,79991,79832,159,3,3,56,5866,submissions/afr1ste_5689_onnx/task036.onnx,
37,13.937652078450405,63726,55400,8326,3,3,27,20424,submissions/afr1ste_5689_onnx/task037.onnx,
38,17.306974251582112,2193,2116,77,3,3,16,2357,submissions/afr1ste_5689_onnx/task038.onnx,
39,16.03402681578965,7832,7804,28,3,3,14,1913,submissions/afr1ste_5689_onnx/task039.onnx,
40,15.777928705148119,10118,10056,62,3,3,37,2791,submissions/afr1ste_5689_onnx/task040.onnx,
41,15.626775765122337,11769,11740,29,3,3,20,2110,submissions/afr1ste_5689_onnx/task041.onnx,
42,15.255097946581243,17067,16907,160,3,3,55,6156,submissions/afr1ste_5689_onnx/task042.onnx,
43,16.129477454896126,7119,6980,139,3,3,9,1966,submissions/afr1ste_5689_onnx/task043.onnx,
44,10.531309933533416,1921641,1920224,1417,3,3,984,84037,submissions/afr1ste_5689_onnx/task044.onnx,
45,16.0404313464555,7782,7750,32,3,3,11,1438,submissions/afr1ste_5689_onnx/task045.onnx,
46,14.58291068075113,33426,32560,866,3,3,73,5299,submissions/afr1ste_5689_onnx/task046.onnx,
47,16.492857144437266,4950,4823,127,3,3,33,2151,submissions/afr1ste_5689_onnx/task047.onnx,
48,16.367872270491663,5609,5543,66,3,3,52,4058,submissions/afr1ste_5689_onnx/task048.onnx,
49,14.613685144124743,32413,32263,150,3,3,29,3516,submissions/afr1ste_5689_onnx/task049.onnx,
50,15.843587970049374,9475,9225,250,3,3,21,2006,submissions/afr1ste_5689_onnx/task050.onnx,
51,13.866331106969804,68437,68359,78,3,3,58,3372,submissions/afr1ste_5689_onnx/task051.onnx,
52,17.886857891292912,1228,1185,43,3,3,11,986,submissions/afr1ste_5689_onnx/task052.onnx,
53,21.598802618337846,30,0,30,3,3,1,175,submissions/afr1ste_5689_onnx/task053.onnx,
54,12.943890149076013,172148,171987,161,3,3,113,5871,submissions/afr1ste_5689_onnx/task054.onnx,
55,14.820017720652668,26370,25376,994,3,3,166,13886,submissions/afr1ste_5689_onnx/task055.onnx,
56,18.672063216270807,560,460,100,3,3,7,1515,submissions/afr1ste_5689_onnx/task056.onnx,
57,14.24604105662701,46815,46804,11,3,3,18,1880,submissions/afr1ste_5689_onnx/task057.onnx,
58,15.313114938234701,16105,9660,6445,3,3,16,14221,submissions/afr1ste_5689_onnx/task058.onnx,
59,15.077347278202861,20387,17840,2547,3,3,20,6897,submissions/afr1ste_5689_onnx/task059.onnx,
60,16.372876749211567,5581,5400,181,3,3,20,2458,submissions/afr1ste_5689_onnx/task060.onnx,
61,15.152342332424542,18914,16942,1972,3,3,9,17030,submissions/afr1ste_5689_onnx/task061.onnx,
62,14.670950637656585,30609,29680,929,3,3,217,14479,submissions/afr1ste_5689_onnx/task062.onnx,
63,14.666940264012474,30732,30700,32,3,3,34,3709,submissions/afr1ste_5689_onnx/task063.onnx,
64,13.210837710262732,131816,131578,238,3,3,48,5809,submissions/afr1ste_5689_onnx/task064.onnx,
65,14.533787213157124,35109,35032,77,3,3,37,1862,submissions/afr1ste_5689_onnx/task065.onnx,
66,12.397597176411107,297272,297156,116,3,3,1405,115727,submissions/afr1ste_5689_onnx/task066.onnx,
67,19.247427361174367,315,282,33,3,3,7,892,submissions/afr1ste_5689_onnx/task067.onnx,
68,15.55942130423374,12589,12562,27,3,3,24,1602,submissions/afr1ste_5689_onnx/task068.onnx,
69,13.647595461864874,85170,82858,2312,3,3,380,32330,submissions/afr1ste_5689_onnx/task069.onnx,
70,13.90050125280863,66138,66060,78,3,3,71,11844,submissions/afr1ste_5689_onnx/task070.onnx,
71,13.22640401182484,129780,128850,930,3,3,49,12082,submissions/afr1ste_5689_onnx/task071.onnx,
72,17.801068759311825,1338,1260,78,3,3,11,1347,submissions/afr1ste_5689_onnx/task072.onnx,
73,18.186555400489105,910,0,910,3,3,1,3825,submissions/afr1ste_5689_onnx/task073.onnx,
74,15.009188619292196,21825,21780,45,3,3,18,1824,submissions/afr1ste_5689_onnx/task074.onnx,
75,14.742796878157792,28487,28430,57,3,3,57,6812,submissions/afr1ste_5689_onnx/task075.onnx,
76,11.00765038672529,1193439,1192411,1028,3,3,266,28329,submissions/afr1ste_5689_onnx/task076.onnx,
