task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.591060394024016,4487,4463,24,1,1,16,1156,submissions/beicicc_6645_onnx/task001.onnx,
2,0.0,,,918,1,1,1,9431,submissions/beicicc_6645_onnx/task002.onnx,unmeasurable
3,0.0,,,23,1,1,1,3448,submissions/beicicc_6645_onnx/task003.onnx,unmeasurable
4,0.0,,,938,1,1,1,4839,submissions/beicicc_6645_onnx/task004.onnx,unmeasurable
5,0.0,,,222,1,1,1,9596,submissions/beicicc_6645_onnx/task005.onnx,unmeasurable
6,0.0,,,48,1,1,1,1246,submissions/beicicc_6645_onnx/task006.onnx,unmeasurable
7,0.0,,,37,1,1,1,1895,submissions/beicicc_6645_onnx/task007.onnx,unmeasurable
8,0.0,,,255,1,1,1,84391,submissions/beicicc_6645_onnx/task008.onnx,unmeasurable
9,0.0,,,3842,1,1,1,30914,submissions/beicicc_6645_onnx/task009.onnx,unmeasurable
10,0.0,,,136,1,1,1,4379,submissions/beicicc_6645_onnx/task010.onnx,unmeasurable
11,13.506165615535423,98109,95766,2343,1,1,91,10404,submissions/beicicc_6645_onnx/task011.onnx,
12,0.0,,,117,1,1,1,1786,submissions/beicicc_6645_onnx/task012.onnx,unmeasurable
13,0.0,,,71,1,1,1,3590,submissions/beicicc_6645_onnx/task013.onnx,unmeasurable
14,0.0,,,104,1,1,1,2854,submissions/beicicc_6645_onnx/task014.onnx,unmeasurable
15,13.619646388159595,87584,87544,40,1,1,53,2375,submissions/beicicc_6645_onnx/task015.onnx,
16,0.0,,,11,1,1,1,298,submissions/beicicc_6645_onnx/task016.onnx,unmeasurable
17,0.0,,,2825,1,1,1,17876,submissions/beicicc_6645_onnx/task017.onnx,unmeasurable
18,0.0,,,6749,1,1,1,28477,submissions/beicicc_6645_onnx/task018.onnx,unmeasurable
19,0.0,,,,1,1,1,3424,submissions/beicicc_6645_onnx/task019.onnx,unmeasurable
20,0.0,,,,1,1,1,6994,submissions/beicicc_6645_onnx/task020.onnx,unmeasurable
21,0.0,,,7417,1,1,1,67519,submissions/beicicc_6645_onnx/task021.onnx,unmeasurable
22,0.0,,,5970,1,1,1,41627,submissions/beicicc_6645_onnx/task022.onnx,unmeasurable
23,0.0,,,490,1,1,1,3023,submissions/beicicc_6645_onnx/task023.onnx,unmeasurable
24,0.0,,,981,1,1,1,5238,submissions/beicicc_6645_onnx/task024.onnx,unmeasurable
25,0.0,,,15233,1,1,1,61668,submissions/beicicc_6645_onnx/task025.onnx,unmeasurable
26,16.47246051652962,5052,5004,48,1,1,23,1551,submissions/beicicc_6645_onnx/task026.onnx,
27,0.0,,,7225,1,1,1,30815,submissions/beicicc_6645_onnx/task027.onnx,unmeasurable
28,0.0,,,201,1,1,1,2311,submissions/beicicc_6645_onnx/task028.onnx,unmeasurable
29,0.0,,,178,1,1,1,9975,submissions/beicicc_6645_onnx/task029.onnx,unmeasurable
30,0.0,,,909,1,1,1,4965,submissions/beicicc_6645_onnx/task030.onnx,unmeasurable
31,0.0,,,106,1,1,1,3077,submissions/beicicc_6645_onnx/task031.onnx,unmeasurable
32,0.0,,,54,1,1,1,2052,submissions/beicicc_6645_onnx/task032.onnx,unmeasurable
33,0.0,,,94,1,1,1,1166,submissions/beicicc_6645_onnx/task033.onnx,unmeasurable
34,0.0,,,157,1,1,1,4867,submissions/beicicc_6645_onnx/task034.onnx,unmeasurable
35,0.0,,,470,1,1,1,8918,submissions/beicicc_6645_onnx/task035.onnx,unmeasurable
36,0.0,,,153,1,1,1,4741,submissions/beicicc_6645_onnx/task036.onnx,unmeasurable
37,0.0,,,3,1,1,1,10821,submissions/beicicc_6645_onnx/task037.onnx,unmeasurable
38,0.0,,,57,1,1,1,1456,submissions/beicicc_6645_onnx/task038.onnx,unmeasurable
39,0.0,,,2749,1,1,1,20302,submissions/beicicc_6645_onnx/task039.onnx,unmeasurable
40,0.0,,,401,1,1,1,4185,submissions/beicicc_6645_onnx/task040.onnx,unmeasurable
41,0.0,,,6517,1,1,1,53738,submissions/beicicc_6645_onnx/task041.onnx,unmeasurable
42,0.0,,,372,1,1,1,12065,submissions/beicicc_6645_onnx/task042.onnx,unmeasurable
43,14.85133346928905,25557,25544,13,1,1,23,1184,submissions/beicicc_6645_onnx/task043.onnx,
44,0.0,,,10904,1,1,1,25617,submissions/beicicc_6645_onnx/task044.onnx,unmeasurable
45,0.0,,,15,1,1,1,1268,submissions/beicicc_6645_onnx/task045.onnx,unmeasurable
46,0.0,,,879,1,1,1,7613,submissions/beicicc_6645_onnx/task046.onnx,unmeasurable
47,0.0,,,311,1,1,1,2015,submissions/beicicc_6645_onnx/task047.onnx,unmeasurable
48,0.0,,,18101,1,1,1,75808,submissions/beicicc_6645_onnx/task048.onnx,unmeasurable
49,0.0,,,155,1,1,1,3025,submissions/beicicc_6645_onnx/task049.onnx,unmeasurable
50,13.37383513942326,111990,111968,22,1,1,41,2033,submissions/beicicc_6645_onnx/task050.onnx,
51,0.0,,,72,1,1,1,5022,submissions/beicicc_6645_onnx/task051.onnx,unmeasurable
52,17.431104336593005,1937,1895,42,1,1,22,1251,submissions/beicicc_6645_onnx/task052.onnx,
53,0.0,,,31,1,1,1,310,submissions/beicicc_6645_onnx/task053.onnx,unmeasurable
54,0.0,,,151,1,1,1,5364,submissions/beicicc_6645_onnx/task054.onnx,unmeasurable
55,0.0,,,997,1,1,1,15683,submissions/beicicc_6645_onnx/task055.onnx,unmeasurable
56,0.0,,,1808,1,1,1,8769,submissions/beicicc_6645_onnx/task056.onnx,unmeasurable
57,0.0,,,13,1,1,1,1237,submissions/beicicc_6645_onnx/task057.onnx,unmeasurable
58,0.0,,,15319,1,1,1,62022,submissions/beicicc_6645_onnx/task058.onnx,unmeasurable
59,12.741135683209787,210842,192607,18235,1,1,35,75448,submissions/beicicc_6645_onnx/task059.onnx,
60,0.0,,,5435,1,1,1,28933,submissions/beicicc_6645_onnx/task060.onnx,unmeasurable
61,0.0,,,,0,267,87,61167,submissions/beicicc_6645_onnx/task061.onnx,excluded_op
62,14.15192584643487,51435,50488,947,1,1,238,16462,submissions/beicicc_6645_onnx/task062.onnx,
63,13.890002863485966,66836,66824,12,1,1,43,2197,submissions/beicicc_6645_onnx/task063.onnx,
64,0.0,,,230,1,1,1,3348,submissions/beicicc_6645_onnx/task064.onnx,unmeasurable
65,0.0,,,77,1,1,1,2118,submissions/beicicc_6645_onnx/task065.onnx,unmeasurable
66,0.0,,,4449,1,1,1,20937,submissions/beicicc_6645_onnx/task066.onnx,unmeasurable
67,0.0,,,33,1,1,1,790,submissions/beicicc_6645_onnx/task067.onnx,unmeasurable
68,0.0,,,10,1,1,1,1833,submissions/beicicc_6645_onnx/task068.onnx,unmeasurable
69,0.0,,,2312,1,1,1,24452,submissions/beicicc_6645_onnx/task069.onnx,unmeasurable
70,13.503966402699989,98325,98308,17,1,1,89,7235,submissions/beicicc_6645_onnx/task070.onnx,
71,0.0,,,,1,1,1,3699,submissions/beicicc_6645_onnx/task071.onnx,unmeasurable
72,16.283628134723386,6102,6024,78,1,1,21,1623,submissions/beicicc_6645_onnx/task072.onnx,
73,13.819851607188074,71693,71640,53,1,1,49,2339,submissions/beicicc_6645_onnx/task073.onnx,
74,0.0,,,28,1,1,1,1550,submissions/beicicc_6645_onnx/task074.onnx,unmeasurable
75,13.775556927652321,74940,74868,72,1,1,136,9237,submissions/beicicc_6645_onnx/task075.onnx,
76,14.503517148854367,36188,31154,5034,1,1,22,21250,submissions/beicicc_6645_onnx/task076.onnx,
77,0.0,,,944,1,1,1,6710,submissions/beicicc_6645_onnx/task077.onnx,unmeasurable
78,0.0,,,11,1,1,1,1753,submissions/beicicc_6645_onnx/task078.onnx,unmeasurable
79,0.0,,,246,1,1,1,2409,submissions/beicicc_6645_onnx/task079.onnx,unmeasurable
80,0.0,,,1285,1,1,1,25226,submissions/beicicc_6645_onnx/task080.onnx,unmeasurable
81,0.0,,,445,1,1,1,2487,submissions/beicicc_6645_onnx/task081.onnx,unmeasurable
82,0.0,,,61,1,1,1,2025,submissions/beicicc_6645_onnx/task082.onnx,unmeasurable
83,16.321198293387347,5877,5864,13,1,1,13,923,submissions/beicicc_6645_onnx/task083.onnx,
84,0.0,,,1805,1,1,1,3345,submissions/beicicc_6645_onnx/task084.onnx,unmeasurable
85,0.0,,,114,1,1,1,1747,submissions/beicicc_6645_onnx/task085.onnx,unmeasurable
86,0.0,,,233,1,1,1,3696,submissions/beicicc_6645_onnx/task086.onnx,unmeasurable
87,18.777423731928632,504,488,16,1,1,7,611,submissions/beicicc_6645_onnx/task087.onnx,
88,0.0,,,1888,1,1,1,18027,submissions/beicicc_6645_onnx/task088.onnx,unmeasurable
89,0.0,,,1696,1,1,1,80249,submissions/beicicc_6645_onnx/task089.onnx,unmeasurable
90,0.0,,,105,1,1,1,12183,submissions/beicicc_6645_onnx/task090.onnx,unmeasurable
91,0.0,,,109,1,1,1,3425,submissions/beicicc_6645_onnx/task091.onnx,unmeasurable
92,11.587580869554014,668251,668240,11,1,1,42,2049,submissions/beicicc_6645_onnx/task092.onnx,
93,0.0,,,151,1,1,1,3692,submissions/beicicc_6645_onnx/task093.onnx,unmeasurable
94,0.0,,,66,1,1,1,2331,submissions/beicicc_6645_onnx/task094.onnx,unmeasurable
95,15.017054526129156,21654,21648,6,1,1,13,729,submissions/beicicc_6645_onnx/task095.onnx,
96,0.0,,,16644,1,1,1,19777,submissions/beicicc_6645_onnx/task096.onnx,unmeasurable
