task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,17.04107350694989,2861,2837,24,268,268,14,1137,submissions/biohack44_6113_onnx/task001.onnx,
2,13.5104148124377,97693,97200,493,268,268,95,15506,submissions/biohack44_6113_onnx/task002.onnx,
3,15.883530843633888,9104,9094,10,265,265,44,3120,submissions/biohack44_6113_onnx/task003.onnx,
4,14.084547965521434,55020,54000,1020,265,265,4,2522,submissions/biohack44_6113_onnx/task004.onnx,
5,13.313213669153685,118989,118653,336,266,266,106,10910,submissions/biohack44_6113_onnx/task005.onnx,
6,17.603051397378987,1631,1584,47,266,266,12,1124,submissions/biohack44_6113_onnx/task006.onnx,
7,15.981910315895657,8251,8220,31,266,266,14,1320,submissions/biohack44_6113_onnx/task007.onnx,
8,14.933331237322346,23545,23484,61,266,266,78,7667,submissions/biohack44_6113_onnx/task008.onnx,
9,13.69482467517415,81241,77400,3841,265,265,22,30956,submissions/biohack44_6113_onnx/task009.onnx,
10,16.479611917687244,5016,4939,77,265,265,60,4038,submissions/biohack44_6113_onnx/task010.onnx,
11,13.898854540195707,66247,63916,2331,267,267,52,10170,submissions/biohack44_6113_onnx/task011.onnx,
12,15.468881328082846,13782,13680,102,265,265,16,1406,submissions/biohack44_6113_onnx/task012.onnx,
13,13.3310798421544,116882,114625,2257,267,267,91,18384,submissions/biohack44_6113_onnx/task013.onnx,
14,13.760459302780728,76080,72063,4017,266,266,46,9683,submissions/biohack44_6113_onnx/task014.onnx,
15,18.197605236675688,900,0,900,265,265,1,3774,submissions/biohack44_6113_onnx/task015.onnx,
16,22.697414907005953,10,0,10,267,267,1,158,submissions/biohack44_6113_onnx/task016.onnx,
17,14.414476771658645,39558,38935,623,266,266,67,8620,submissions/biohack44_6113_onnx/task017.onnx,
18,11.323874505438686,869893,868894,999,0,266,219,32157,submissions/biohack44_6113_onnx/task018.onnx,
19,13.16583196905603,137884,136056,1828,267,267,35,17887,submissions/biohack44_6113_onnx/task019.onnx,
20,13.590958363748854,90133,89863,270,266,266,245,31378,submissions/biohack44_6113_onnx/task020.onnx,
21,0.0,,,,0,266,0,29330,submissions/biohack44_6113_onnx/task021.onnx,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 284, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 3 with size 30"
22,14.287072229632908,44933,44812,121,266,266,363,43895,submissions/biohack44_6113_onnx/task022.onnx,
23,11.619711427000917,647121,647100,21,266,266,397,20318,submissions/biohack44_6113_onnx/task023.onnx,
24,15.88617052840466,9080,8820,260,266,266,27,3233,submissions/biohack44_6113_onnx/task024.onnx,
25,12.067260778579968,413635,413470,165,266,266,64,5325,submissions/biohack44_6113_onnx/task025.onnx,
26,18.39605617539953,738,690,48,268,268,13,1345,submissions/biohack44_6113_onnx/task026.onnx,
27,14.486991470971319,36791,29573,7218,265,265,25,16205,submissions/biohack44_6113_onnx/task027.onnx,
28,15.895687032669347,8994,8676,318,265,265,13,1956,submissions/biohack44_6113_onnx/task028.onnx,
29,13.503437684118467,98377,98207,170,266,266,88,13589,submissions/biohack44_6113_onnx/task029.onnx,
30,14.169341124493505,50547,49572,975,266,266,56,9441,submissions/biohack44_6113_onnx/task030.onnx,
31,15.164363114372046,18688,18630,58,266,266,26,3417,submissions/biohack44_6113_onnx/task031.onnx,
32,16.86699978141639,3405,3336,69,266,266,19,2347,submissions/biohack44_6113_onnx/task032.onnx,
33,14.081988539178049,55161,55112,49,265,265,16,1510,submissions/biohack44_6113_onnx/task033.onnx,
34,13.421324248376678,106796,103949,2847,267,267,87,11293,submissions/biohack44_6113_onnx/task034.onnx,
35,14.846026139757955,25693,25468,225,266,266,107,8818,submissions/biohack44_6113_onnx/task035.onnx,
36,13.71033059267258,79991,79832,159,265,265,56,5866,submissions/biohack44_6113_onnx/task036.onnx,
37,13.937652078450405,63726,55400,8326,266,266,27,20424,submissions/biohack44_6113_onnx/task037.onnx,
38,17.306974251582112,2193,2116,77,266,266,16,2357,submissions/biohack44_6113_onnx/task038.onnx,
39,16.03402681578965,7832,7804,28,264,264,14,1913,submissions/biohack44_6113_onnx/task039.onnx,
40,15.777928705148119,10118,10056,62,266,266,37,2791,submissions/biohack44_6113_onnx/task040.onnx,
41,15.299424541873835,16327,16300,27,266,266,18,2228,submissions/biohack44_6113_onnx/task041.onnx,
42,14.593648433368575,33069,32909,160,266,266,54,8398,submissions/biohack44_6113_onnx/task042.onnx,
43,16.129477454896126,7119,6980,139,266,266,9,1966,submissions/biohack44_6113_onnx/task043.onnx,
44,10.317261651531322,2380303,2378888,1415,266,266,1054,148684,submissions/biohack44_6113_onnx/task044.onnx,
45,16.0404313464555,7782,7750,32,265,265,11,1438,submissions/biohack44_6113_onnx/task045.onnx,
46,14.58291068075113,33426,32560,866,267,267,73,5299,submissions/biohack44_6113_onnx/task046.onnx,
47,16.492857144437266,4950,4823,127,265,265,33,2151,submissions/biohack44_6113_onnx/task047.onnx,
48,16.367872270491663,5609,5543,66,270,270,52,4058,submissions/biohack44_6113_onnx/task048.onnx,
49,14.613685144124743,32413,32263,150,268,268,29,3516,submissions/biohack44_6113_onnx/task049.onnx,
50,15.843587970049374,9475,9225,250,271,271,21,2006,submissions/biohack44_6113_onnx/task050.onnx,
51,13.587204310448836,90472,90393,79,265,265,57,3365,submissions/biohack44_6113_onnx/task051.onnx,
52,17.886857891292912,1228,1185,43,267,267,11,986,submissions/biohack44_6113_onnx/task052.onnx,
53,21.598802618337846,30,0,30,60,60,1,175,submissions/biohack44_6113_onnx/task053.onnx,
54,12.887930388960946,182056,181895,161,266,266,118,9728,submissions/biohack44_6113_onnx/task054.onnx,
55,0.0,,,,0,265,0,13497,submissions/biohack44_6113_onnx/task055.onnx,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 284, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 2 with size 30"
56,18.672063216270807,560,460,100,46,46,7,1515,submissions/biohack44_6113_onnx/task056.onnx,
57,14.24604105662701,46815,46804,11,265,265,18,1880,submissions/biohack44_6113_onnx/task057.onnx,
58,15.313114938234701,16105,9660,6445,22,22,16,14221,submissions/biohack44_6113_onnx/task058.onnx,
59,15.076170749805957,20411,17858,2553,266,266,21,7062,submissions/biohack44_6113_onnx/task059.onnx,
60,16.372876749211567,5581,5400,181,265,265,20,2458,submissions/biohack44_6113_onnx/task060.onnx,
61,15.152342332424542,18914,16942,1972,267,267,9,17030,submissions/biohack44_6113_onnx/task061.onnx,
62,14.670950637656585,30609,29680,929,267,267,217,14479,submissions/biohack44_6113_onnx/task062.onnx,
63,14.666940264012474,30732,30700,32,266,266,34,3709,submissions/biohack44_6113_onnx/task063.onnx,
64,13.210837710262732,131816,131578,238,267,267,48,5809,submissions/biohack44_6113_onnx/task064.onnx,
65,14.533787213157124,35109,35032,77,266,266,37,1862,submissions/biohack44_6113_onnx/task065.onnx,
66,11.878567055313978,499535,499419,116,266,266,1642,180173,submissions/biohack44_6113_onnx/task066.onnx,
67,19.247427361174367,315,282,33,266,266,7,892,submissions/biohack44_6113_onnx/task067.onnx,
68,15.55942130423374,12589,12562,27,266,266,24,1602,submissions/biohack44_6113_onnx/task068.onnx,
69,13.647595461864874,85170,82858,2312,264,264,380,32330,submissions/biohack44_6113_onnx/task069.onnx,
70,13.90050125280863,66138,66060,78,266,266,71,11844,submissions/biohack44_6113_onnx/task070.onnx,
