task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.62460081420165,4339,4315,24,3,3,12,1433,submissions/biohack44_super_onnx/task001.onnx,
2,13.5104148124377,97693,97200,493,3,3,95,15506,submissions/biohack44_super_onnx/task002.onnx,
3,15.786066092513687,10036,10026,10,3,3,39,4167,submissions/biohack44_super_onnx/task003.onnx,
4,14.084547965521434,55020,54000,1020,3,3,4,2522,submissions/biohack44_super_onnx/task004.onnx,
5,13.328149556042213,117225,116889,336,3,3,106,10910,submissions/biohack44_super_onnx/task005.onnx,
6,17.4404405039923,1919,1872,47,3,3,10,1364,submissions/biohack44_super_onnx/task006.onnx,
7,15.869677336009849,9231,9200,31,3,3,13,1603,submissions/biohack44_super_onnx/task007.onnx,
8,14.94426357492621,23289,23228,61,3,3,78,7667,submissions/biohack44_super_onnx/task008.onnx,
9,13.69482467517415,81241,77400,3841,3,3,22,30956,submissions/biohack44_super_onnx/task009.onnx,
10,15.983001688101238,8242,8165,77,3,3,58,6061,submissions/biohack44_super_onnx/task010.onnx,
11,13.898854540195707,66247,63916,2331,3,3,52,10170,submissions/biohack44_super_onnx/task011.onnx,
12,15.555378332299151,12640,12536,104,3,3,15,1975,submissions/biohack44_super_onnx/task012.onnx,
13,13.3310798421544,116882,114625,2257,3,3,91,18384,submissions/biohack44_super_onnx/task013.onnx,
14,13.760459302780728,76080,72063,4017,3,3,46,9683,submissions/biohack44_super_onnx/task014.onnx,
15,18.197605236675688,900,0,900,3,3,1,3798,submissions/biohack44_super_onnx/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,submissions/biohack44_super_onnx/task016.onnx,
17,14.527540564604424,35329,34685,644,3,3,71,8855,submissions/biohack44_super_onnx/task017.onnx,
18,11.926438286831228,476185,475190,995,0,3,192,29359,submissions/biohack44_super_onnx/task018.onnx,
19,13.16583196905603,137884,136056,1828,3,3,35,17887,submissions/biohack44_super_onnx/task019.onnx,
20,13.590958363748854,90133,89863,270,3,3,245,31378,submissions/biohack44_super_onnx/task020.onnx,
21,14.156056071090937,51223,49362,1861,3,3,214,38267,submissions/biohack44_super_onnx/task021.onnx,
22,14.287072229632908,44933,44812,121,3,3,363,43895,submissions/biohack44_super_onnx/task022.onnx,
23,13.798953676207402,73207,73161,46,3,3,377,33302,submissions/biohack44_super_onnx/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,3233,submissions/biohack44_super_onnx/task024.onnx,
25,13.149938233234366,140093,140028,65,3,3,127,13460,submissions/biohack44_super_onnx/task025.onnx,
26,17.91997350007741,1188,1140,48,3,3,11,1622,submissions/biohack44_super_onnx/task026.onnx,
27,14.063416936047632,56195,48977,7218,3,3,22,31135,submissions/biohack44_super_onnx/task027.onnx,
28,15.315290541268443,16070,15752,318,3,3,11,2452,submissions/biohack44_super_onnx/task028.onnx,
29,13.516328283804857,97117,96947,170,3,3,88,13589,submissions/biohack44_super_onnx/task029.onnx,
30,14.174697004947017,50277,49302,975,3,3,56,9441,submissions/biohack44_super_onnx/task030.onnx,
31,15.168223295017873,18616,18558,58,3,3,26,3417,submissions/biohack44_super_onnx/task031.onnx,
32,16.86699978141639,3405,3336,69,3,3,19,2347,submissions/biohack44_super_onnx/task032.onnx,
33,14.081988539178049,55161,55112,49,3,3,16,1510,submissions/biohack44_super_onnx/task033.onnx,
34,13.421324248376678,106796,103949,2847,3,3,87,11293,submissions/biohack44_super_onnx/task034.onnx,
35,14.495179066176581,36491,36276,215,3,3,104,12860,submissions/biohack44_super_onnx/task035.onnx,
36,13.71033059267258,79991,79832,159,3,3,56,5866,submissions/biohack44_super_onnx/task036.onnx,
37,13.937652078450405,63726,55400,8326,3,3,27,20424,submissions/biohack44_super_onnx/task037.onnx,
38,17.306974251582112,2193,2116,77,3,3,16,2357,submissions/biohack44_super_onnx/task038.onnx,
