task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.62460081420165,4339,4315,24,1,1,12,1001,submissions/blend_v360/task001.onnx,
2,12.457330125660462,280035,279600,435,1,1,175,28687,submissions/blend_v360/task002.onnx,
3,15.786165738769562,10035,10026,9,1,1,39,3904,submissions/blend_v360/task003.onnx,
4,13.74714144044858,77100,76080,1020,1,1,7,4505,submissions/blend_v360/task004.onnx,
5,12.21991568625067,355075,354854,221,1,1,180,14885,submissions/blend_v360/task005.onnx,
6,17.4404405039923,1919,1872,47,1,1,10,1310,submissions/blend_v360/task006.onnx,
7,15.869135829525614,9236,9200,36,1,1,13,1385,submissions/blend_v360/task007.onnx,
8,14.884915300050034,24713,24652,61,1,1,85,4647,submissions/blend_v360/task008.onnx,
9,13.343485144081104,115441,111600,3841,1,1,21,30710,submissions/blend_v360/task009.onnx,
10,15.983001688101238,8242,8165,77,1,1,58,6061,submissions/blend_v360/task010.onnx,
11,13.658491760727989,84247,81916,2331,1,1,53,10283,submissions/blend_v360/task011.onnx,
12,15.121420083170056,19508,19392,116,1,1,17,1546,submissions/blend_v360/task012.onnx,
13,12.452094511606518,281505,281277,228,1,1,165,22727,submissions/blend_v360/task013.onnx,
14,12.415614214021364,291964,291880,84,1,1,48,3676,submissions/blend_v360/task014.onnx,
15,16.58816732424159,4500,3600,900,1,1,2,3834,submissions/blend_v360/task015.onnx,
16,22.697414907005953,10,0,10,1,1,1,158,submissions/blend_v360/task016.onnx,
17,11.449735755619828,767017,766020,997,1,1,64,10880,submissions/blend_v360/task017.onnx,
18,13.223695401101164,130132,123384,6748,1,1,23,28217,submissions/blend_v360/task018.onnx,
19,12.23679464682821,349132,349060,72,1,1,48,3021,submissions/blend_v360/task019.onnx,
20,13.156591627255297,139164,138893,271,1,1,192,14783,submissions/blend_v360/task020.onnx,
21,13.82393284616816,71401,69540,1861,1,1,214,29463,submissions/blend_v360/task021.onnx,
22,13.479036923347303,100807,100566,241,1,1,439,29851,submissions/blend_v360/task022.onnx,
23,15.009051171693878,21828,21339,489,1,1,15,2803,submissions/blend_v360/task023.onnx,
24,15.88617052840466,9080,8820,260,1,1,27,2232,submissions/blend_v360/task024.onnx,
25,13.600400020341894,89286,74054,15232,1,1,10,61508,submissions/blend_v360/task025.onnx,
26,17.91997350007741,1188,1140,48,1,1,11,1613,submissions/blend_v360/task026.onnx,
27,14.06336355194007,56198,48981,7217,1,1,23,31059,submissions/blend_v360/task027.onnx,
28,15.093118214395856,20068,19752,316,1,1,12,2539,submissions/blend_v360/task028.onnx,
29,12.294580358808537,329529,329361,168,1,1,81,12469,submissions/blend_v360/task029.onnx,
30,14.088974323195158,54777,53802,975,1,1,60,9573,submissions/blend_v360/task030.onnx,
31,15.12810631905505,19378,19319,59,1,1,42,3612,submissions/blend_v360/task031.onnx,
32,16.864067227995108,3415,3336,79,1,1,19,1654,submissions/blend_v360/task032.onnx,
33,13.001800592748191,162462,162404,58,1,1,15,1311,submissions/blend_v360/task033.onnx,
34,12.765548860168211,205757,203801,1956,1,1,90,13730,submissions/blend_v360/task034.onnx,
35,14.309305869001255,43945,43716,229,1,1,113,9679,submissions/blend_v360/task035.onnx,
36,13.288108928769994,122014,121862,152,1,1,59,4194,submissions/blend_v360/task036.onnx,
37,13.464462133359127,102287,98676,3611,1,1,50,10137,submissions/blend_v360/task037.onnx,
38,16.05206389329133,7692,7636,56,1,1,19,1812,submissions/blend_v360/task038.onnx,
39,16.005703442222803,8057,8028,29,1,1,24,2209,submissions/blend_v360/task039.onnx,
40,15.684759218198447,11106,11026,80,1,1,38,3111,submissions/blend_v360/task040.onnx,
41,15.299424541873835,16327,16300,27,1,1,18,1313,submissions/blend_v360/task041.onnx,
42,14.3744620192972,41173,40829,344,1,1,73,9477,submissions/blend_v360/task042.onnx,
43,15.806195596663917,9836,9780,56,1,1,10,1181,submissions/blend_v360/task043.onnx,
44,14.632621210887095,31805,20902,10903,1,1,14,25407,submissions/blend_v360/task044.onnx,
45,15.82187295038847,9683,9650,33,1,1,9,955,submissions/blend_v360/task045.onnx,
46,14.029648857110342,58125,57260,865,1,1,76,9068,submissions/blend_v360/task046.onnx,
47,16.070697157756932,7550,7423,127,1,1,31,2117,submissions/blend_v360/task047.onnx,
48,15.913863231483123,8832,8765,67,1,1,49,5977,submissions/blend_v360/task048.onnx,
49,14.132880219280667,52424,52273,151,1,1,28,2631,submissions/blend_v360/task049.onnx,
50,15.752845654901101,10375,10125,250,1,1,19,1776,submissions/blend_v360/task050.onnx,
51,12.508263567386411,266129,266058,71,1,1,95,8106,submissions/blend_v360/task051.onnx,
52,17.561028407604137,1701,1659,42,1,1,11,918,submissions/blend_v360/task052.onnx,
53,21.598802618337846,30,0,30,1,1,1,183,submissions/blend_v360/task053.onnx,
54,12.367552389133587,306339,306187,152,1,1,112,8955,submissions/blend_v360/task054.onnx,
55,14.204186593043548,48816,47820,996,1,1,175,14976,submissions/blend_v360/task055.onnx,
56,18.672063216270807,560,460,100,1,1,7,1471,submissions/blend_v360/task056.onnx,
57,13.698351276279148,80955,80944,11,1,1,15,1453,submissions/blend_v360/task057.onnx,
58,15.108332024269215,19765,13324,6441,1,1,17,26982,submissions/blend_v360/task058.onnx,
59,14.739222692560139,28589,26035,2554,1,1,20,12046,submissions/blend_v360/task059.onnx,
60,15.575112923935126,12393,12320,73,1,1,18,2234,submissions/blend_v360/task060.onnx,
61,14.857771175526608,25393,23422,1971,1,1,9,16988,submissions/blend_v360/task061.onnx,
62,14.231367652413875,47507,46560,947,1,1,194,14803,submissions/blend_v360/task062.onnx,
63,14.666940264012474,30732,30700,32,1,1,34,2387,submissions/blend_v360/task063.onnx,
64,12.535308557053478,259028,258798,230,1,1,45,4579,submissions/blend_v360/task064.onnx,
65,14.151556516375953,51454,51378,76,1,1,37,1908,submissions/blend_v360/task065.onnx,
66,15.028480037072045,21408,16962,4446,1,1,70,22387,submissions/blend_v360/task066.onnx,
67,18.926955465899596,434,402,32,1,1,8,630,submissions/blend_v360/task067.onnx,
68,15.20459889732893,17951,17924,27,1,1,23,1520,submissions/blend_v360/task068.onnx,
69,13.10898062371774,145950,143639,2311,1,1,398,36582,submissions/blend_v360/task069.onnx,
70,13.505309791293927,98193,98176,17,1,1,72,6744,submissions/blend_v360/task070.onnx,
71,0.0,,219800,,1,1,48,11757,submissions/blend_v360/task071.onnx,unmeasurable
72,17.34177247383865,2118,2040,78,1,1,9,1625,submissions/blend_v360/task072.onnx,
73,17.747946048147185,1411,1340,71,1,1,7,1388,submissions/blend_v360/task073.onnx,
74,12.128976479771318,388879,388800,79,1,1,13,2235,submissions/blend_v360/task074.onnx,
75,14.128217673842922,52669,52612,57,1,1,46,7717,submissions/blend_v360/task075.onnx,
76,14.503627688842322,36184,31154,5030,1,1,22,21727,submissions/blend_v360/task076.onnx,
77,11.818984768936772,530203,528420,1783,1,1,70,11626,submissions/blend_v360/task077.onnx,
78,15.335023475909203,15756,15720,36,1,1,22,2575,submissions/blend_v360/task078.onnx,
79,14.87525066556768,24953,24708,245,1,1,20,2233,submissions/blend_v360/task079.onnx,
80,11.70383458741746,594910,593626,1284,1,1,167,22186,submissions/blend_v360/task080.onnx,
81,16.07827546963569,7493,7350,143,1,1,31,3537,submissions/blend_v360/task081.onnx,
82,14.329952178983485,43047,42960,87,1,1,19,1755,submissions/blend_v360/task082.onnx,
83,16.321198293387347,5877,5864,13,1,1,13,923,submissions/blend_v360/task083.onnx,
84,15.120651463317198,19523,19442,81,1,1,25,1945,submissions/blend_v360/task084.onnx,
85,12.844073938160419,190218,190080,138,1,1,19,2013,submissions/blend_v360/task085.onnx,
86,14.440651851689942,38536,38304,232,1,1,43,3406,submissions/blend_v360/task086.onnx,
87,19.070410856610106,376,360,16,1,1,2,435,submissions/blend_v360/task087.onnx,
88,12.984730780834171,165259,164006,1253,1,1,57,12966,submissions/blend_v360/task088.onnx,
89,11.797964445098424,541466,541181,285,1,1,1521,110495,submissions/blend_v360/task089.onnx,
90,13.585746358833141,90604,90500,104,1,1,245,19479,submissions/blend_v360/task090.onnx,
91,13.68718538723341,81864,81756,108,1,1,41,2988,submissions/blend_v360/task091.onnx,
92,12.267992452903293,338408,338400,8,1,1,33,3290,submissions/blend_v360/task092.onnx,
93,14.23410784214752,47377,47264,113,1,1,49,3751,submissions/blend_v360/task093.onnx,
94,14.144603637987972,51813,51540,273,1,1,16,2051,submissions/blend_v360/task094.onnx,
95,16.577117488055002,4550,3640,910,1,1,3,3888,submissions/blend_v360/task095.onnx,
96,14.71233907482333,29368,12725,16643,1,1,23,19557,submissions/blend_v360/task096.onnx,
97,12.556802005635198,253520,253456,64,1,1,27,2695,submissions/blend_v360/task097.onnx,
98,16.577117488055002,4550,3640,910,1,1,3,3888,submissions/blend_v360/task098.onnx,
99,14.357436335015526,41880,41056,824,1,1,43,6509,submissions/blend_v360/task099.onnx,
100,16.07441266096972,7522,7465,57,1,1,47,5315,submissions/blend_v360/task100.onnx,
101,13.904424994937168,65879,54322,11557,1,1,31,32893,submissions/blend_v360/task101.onnx,
102,13.20302404881204,132850,132140,710,1,1,234,36416,submissions/blend_v360/task102.onnx,
103,19.372378886309363,278,221,57,1,1,11,1582,submissions/blend_v360/task103.onnx,
104,16.23876319316181,6382,5312,1070,1,1,20,5723,submissions/blend_v360/task104.onnx,
105,14.151226178748464,51471,44204,7267,1,1,52,35077,submissions/blend_v360/task105.onnx,
106,17.940382371708615,1164,1039,125,1,1,13,2939,submissions/blend_v360/task106.onnx,
107,13.307498410154157,119671,105990,13681,1,1,55,58321,submissions/blend_v360/task107.onnx,
108,17.504458056115745,1800,0,1800,1,1,1,7454,submissions/blend_v360/task108.onnx,
109,12.878679467337893,183748,183656,92,1,1,34,3836,submissions/blend_v360/task109.onnx,
110,11.835629410723072,521451,520352,1099,1,1,186,16176,submissions/blend_v360/task110.onnx,
111,16.52801340142184,4779,4748,31,1,1,20,1893,submissions/blend_v360/task111.onnx,
112,13.678804209700921,82553,82448,105,1,1,45,3852,submissions/blend_v360/task112.onnx,
113,21.598802618337846,30,0,30,1,1,1,499,submissions/blend_v360/task113.onnx,
114,17.865906278807135,1254,1091,163,1,1,26,4719,submissions/blend_v360/task114.onnx,
115,16.675906238549594,4122,4042,80,1,1,34,5069,submissions/blend_v360/task115.onnx,
116,21.598802618337846,30,0,30,1,1,1,479,submissions/blend_v360/task116.onnx,
117,15.123729493757425,19463,18855,608,1,1,75,10682,submissions/blend_v360/task117.onnx,
118,13.979847427688311,61093,51054,10039,1,1,20,18987,submissions/blend_v360/task118.onnx,
119,12.170253517948142,373154,371808,1346,1,1,618,48756,submissions/blend_v360/task119.onnx,
120,15.315913012499248,16060,15968,92,1,1,29,4834,submissions/blend_v360/task120.onnx,
121,16.161448209772598,6895,6844,51,1,1,45,3993,submissions/blend_v360/task121.onnx,
122,13.883247944977253,67289,67241,48,1,1,43,3438,submissions/blend_v360/task122.onnx,
123,16.630379173050898,4314,3365,949,1,1,13,8565,submissions/blend_v360/task123.onnx,
124,15.235142530633402,17411,17058,353,1,1,57,2871,submissions/blend_v360/task124.onnx,
125,15.495722161409528,13417,13170,247,1,1,28,2003,submissions/blend_v360/task125.onnx,
126,13.066169242433729,152334,152288,46,1,1,27,2488,submissions/blend_v360/task126.onnx,
127,18.197605236675688,900,0,900,1,1,1,3772,submissions/blend_v360/task127.onnx,
128,12.915535822772403,177099,176992,107,1,1,45,3650,submissions/blend_v360/task128.onnx,
129,18.22235340636488,878,848,30,1,1,7,1196,submissions/blend_v360/task129.onnx,
130,15.322911291498754,15948,15840,108,1,1,10,1050,submissions/blend_v360/task130.onnx,
131,13.935363640328864,63872,62923,949,1,1,120,12240,submissions/blend_v360/task131.onnx,
132,14.368529152068469,41418,41355,63,1,1,38,2287,submissions/blend_v360/task132.onnx,
133,12.824783547959548,193923,146687,47236,1,1,17,189849,submissions/blend_v360/task133.onnx,
134,15.180709606264628,18385,18303,82,1,1,75,7188,submissions/blend_v360/task134.onnx,
135,19.097366666598635,366,360,6,1,1,2,346,submissions/blend_v360/task135.onnx,
136,14.741814456409362,28515,28128,387,1,1,69,8371,submissions/blend_v360/task136.onnx,
137,13.161648801267367,138462,138386,76,1,1,33,2340,submissions/blend_v360/task137.onnx,
138,11.777659169657086,552573,552428,145,1,1,154,10853,submissions/blend_v360/task138.onnx,
139,15.538589674068769,12854,12717,137,1,1,17,1588,submissions/blend_v360/task139.onnx,
140,19.070410856610106,376,360,16,1,1,2,435,submissions/blend_v360/task140.onnx,
141,15.330274677926223,15831,15750,81,1,1,21,1743,submissions/blend_v360/task141.onnx,
142,16.604296706171475,4428,4416,12,1,1,13,915,submissions/blend_v360/task142.onnx,
143,14.956098543748658,23015,22956,59,1,1,23,2099,submissions/blend_v360/task143.onnx,
144,17.856382397295878,1266,1216,50,1,1,11,1626,submissions/blend_v360/task144.onnx,
145,13.187118101702602,134980,134048,932,1,1,324,32048,submissions/blend_v360/task145.onnx,
146,12.696954920611946,220366,220347,19,1,1,28,1351,submissions/blend_v360/task146.onnx,
147,17.110540850595477,2669,2592,77,1,1,10,1306,submissions/blend_v360/task147.onnx,
148,14.445750983400364,38340,37988,352,1,1,122,10335,submissions/blend_v360/task148.onnx,
149,16.4432015539914,5202,5158,44,1,1,14,1420,submissions/blend_v360/task149.onnx,
150,16.549587842274114,4677,4640,37,1,1,12,1054,submissions/blend_v360/task150.onnx,
151,14.390695863803264,40510,39600,910,1,1,3,3949,submissions/blend_v360/task151.onnx,
152,16.604296706171475,4428,4416,12,1,1,13,915,submissions/blend_v360/task152.onnx,
153,15.649897685648659,11500,8721,2779,1,1,18,4975,submissions/blend_v360/task153.onnx,
154,13.742728364909777,77441,77374,67,1,1,48,2826,submissions/blend_v360/task154.onnx,
155,16.549587842274114,4677,4640,37,1,1,12,1054,submissions/blend_v360/task155.onnx,
156,13.663131753824043,83857,82891,966,1,1,66,9218,submissions/blend_v360/task156.onnx,
157,13.646762182274843,85241,61323,23918,1,1,30,49526,submissions/blend_v360/task157.onnx,
158,12.883972419349877,182778,146688,36090,1,1,374,159472,submissions/blend_v360/task158.onnx,
159,12.564209461576487,251649,247544,4105,1,1,50,20168,submissions/blend_v360/task159.onnx,
160,15.453401700079354,13997,13900,97,1,1,18,1914,submissions/blend_v360/task160.onnx,
161,12.79585420966354,199615,199535,80,1,1,49,5813,submissions/blend_v360/task161.onnx,
162,13.566734815837785,92343,92296,47,1,1,19,2103,submissions/blend_v360/task162.onnx,
163,14.390078922578192,40535,38890,1645,1,1,74,13789,submissions/blend_v360/task163.onnx,
164,21.598802618337846,30,0,30,1,1,1,479,submissions/blend_v360/task164.onnx,
165,13.360503560007135,113493,112500,993,1,1,22,6369,submissions/blend_v360/task165.onnx,
166,14.569980811376263,33861,33824,37,1,1,10,1246,submissions/blend_v360/task166.onnx,
167,18.294360905139996,817,523,294,1,1,8,2375,submissions/blend_v360/task167.onnx,
168,11.744116730037273,571422,570968,454,1,1,115,8303,submissions/blend_v360/task168.onnx,
169,12.182763304653827,368515,368432,83,1,1,68,3846,submissions/blend_v360/task169.onnx,
170,13.683929187521063,82131,78315,3816,1,1,681,47329,submissions/blend_v360/task170.onnx,
171,17.308799902477137,2189,2065,124,1,1,14,1636,submissions/blend_v360/task171.onnx,
172,21.598802618337846,30,0,30,1,1,1,479,submissions/blend_v360/task172.onnx,
173,11.988132524026295,447695,447472,223,1,1,66,5856,submissions/blend_v360/task173.onnx,
