task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,17.04107350694989,2861,2837,24,3,3,14,1137,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task001.onnx,
2,13.514517676859928,97293,97200,93,3,3,95,14560,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task002.onnx,
3,15.883530843633888,9104,9094,10,3,3,44,3120,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task003.onnx,
4,14.084547965521434,55020,54000,1020,3,3,4,2522,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task004.onnx,
5,13.328149556042213,117225,116889,336,3,3,106,10910,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task005.onnx,
6,17.603051397378987,1631,1584,47,3,3,12,1124,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task006.onnx,
7,16.108350887349943,7271,7240,31,3,3,13,1258,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task007.onnx,
8,14.94426357492621,23289,23228,61,3,3,78,7667,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task008.onnx,
9,13.69482467517415,81241,77400,3841,3,3,22,30956,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task009.onnx,
10,16.479611917687244,5016,4939,77,3,3,60,4038,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task010.onnx,
11,13.898854540195707,66247,63916,2331,3,3,52,10170,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task011.onnx,
12,15.555457449352874,12639,12536,103,3,3,15,1951,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task012.onnx,
13,13.3310798421544,116882,114625,2257,3,3,91,18384,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task013.onnx,
14,14.427427453254685,39049,38399,650,3,3,42,5317,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task014.onnx,
15,18.197605236675688,900,0,900,3,3,1,3774,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task016.onnx,
17,14.527540564604424,35329,34685,644,3,3,71,8855,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task017.onnx,
18,11.323874505438686,869893,868894,999,0,3,219,32157,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task018.onnx,
19,13.69353305881371,81346,81276,70,3,3,32,2566,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task019.onnx,
20,13.590958363748854,90133,89863,270,3,3,245,31378,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task020.onnx,
21,14.156056071090937,51223,49362,1861,3,3,214,38267,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task021.onnx,
22,14.542024067963268,34821,34628,193,3,3,67,5021,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task022.onnx,
23,13.807114523589679,72612,72567,45,3,3,374,33067,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,3233,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task024.onnx,
25,13.149938233234366,140093,140028,65,3,3,127,13460,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task025.onnx,
26,18.39605617539953,738,690,48,3,3,13,1345,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task026.onnx,
27,14.486991470971319,36791,29573,7218,3,3,25,16205,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task027.onnx,
28,15.896131872534333,8990,8676,314,3,3,13,1867,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task028.onnx,
29,13.516328283804857,97117,96947,170,3,3,88,13589,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task029.onnx,
30,15.607504751786962,11998,11828,170,3,3,64,4901,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task030.onnx,
31,15.168223295017873,18616,18558,58,3,3,26,3417,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task031.onnx,
32,16.86699978141639,3405,3336,69,3,3,19,2347,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task032.onnx,
33,14.081988539178049,55161,55112,49,3,3,16,1510,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task033.onnx,
34,13.421324248376678,106796,103949,2847,3,3,87,11293,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task034.onnx,
35,15.36028269986934,15363,15312,51,3,3,38,3707,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task035.onnx,
36,13.710693199192217,79962,79832,130,3,3,56,5632,submissions/candidate_nadeem6252_plus_ours_v2_onnx/task036.onnx,
