task_id,changed,anchor_sha256,candidate_sha256,candidate_bytes
task001,False,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,1137
task002,False,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,14560
task003,False,155de80550da61e01bc0f6cc5de93f980b0473d08c29baf3bb04a2529f532c86,155de80550da61e01bc0f6cc5de93f980b0473d08c29baf3bb04a2529f532c86,3120
task004,False,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522
task005,False,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910
task006,False,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,1124
task007,False,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,1258
task008,False,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667
task009,False,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956
task010,False,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,4038
task011,False,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170
task012,False,df320d75ab6b4ecabfe62ab2fba6c963a9060bd9c5703fcede7dc2ff460629bc,df320d75ab6b4ecabfe62ab2fba6c963a9060bd9c5703fcede7dc2ff460629bc,1906
task013,False,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384
task014,False,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,5317
task015,False,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,3774
task016,False,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158
task017,False,86a0f99d52f9f95e1708c3dea4a9c7f93d6ec4c0cb6c4a432e2fc59e8d33c941,86a0f99d52f9f95e1708c3dea4a9c7f93d6ec4c0cb6c4a432e2fc59e8d33c941,8079
task018,False,5f2d48dfb685523b95f6728e7537afda1089560ef90a4040dd4d493d426b24fc,5f2d48dfb685523b95f6728e7537afda1089560ef90a4040dd4d493d426b24fc,29359
task019,False,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,2566
task020,False,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,31378
task021,False,d5e8b9b81a83f0b1e5a6f81304b1109485b1c925755846342775c896e62bf53e,d5e8b9b81a83f0b1e5a6f81304b1109485b1c925755846342775c896e62bf53e,30934
task022,False,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,5021
task023,False,381d1261e875c1cddec3fdc4fdca4eff331d3edad2677ad6ba7a97a0d16be814,381d1261e875c1cddec3fdc4fdca4eff331d3edad2677ad6ba7a97a0d16be814,33067
task024,False,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,3233
task025,False,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,13460
task026,False,6f2ec0df41142b092b3969907e8727615212d3cd6b747e648faaef295b4b0a1a,6f2ec0df41142b092b3969907e8727615212d3cd6b747e648faaef295b4b0a1a,1309
task027,False,63da1fe45860bc98d31a806aeabad3d8d81890198997b6d66fe5343ab004d658,63da1fe45860bc98d31a806aeabad3d8d81890198997b6d66fe5343ab004d658,16205
task028,False,5882fa43bf7f98d605e8098fc72437800e43705b6484f0675c3c72fae26e9e30,5882fa43bf7f98d605e8098fc72437800e43705b6484f0675c3c72fae26e9e30,1867
task029,False,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,13589
task030,False,24c30df3c65fe9519cdd613707486e52f067c179db811879c4c774186aee3ab1,24c30df3c65fe9519cdd613707486e52f067c179db811879c4c774186aee3ab1,7091
