task_id,rule,kept,applied,note,current_cost,candidate_cost,cost_save,current_score,candidate_score,score_gain,current_local,candidate_local,candidate_memory,candidate_params,candidate_nodes,candidate_file_size,equiv_train,equiv_test,equiv_arc_gen,error
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,75113,75053,60,13.773251074698328,13.774050190386205,0.0007991156878777161,3/3,3/3,74252,801,2421,117559,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75053,60,13.773251074698328,13.774050190386205,0.0007991156878777161,3/3,3/3,74252,801,2421,117559,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75053,60,13.773251074698328,13.774050190386205,0.0007991156878777161,3/3,3/3,74252,801,2421,117559,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75053,60,13.773251074698328,13.774050190386205,0.0007991156878777161,3/3,3/3,74252,801,2421,117559,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75068,45,13.773251074698328,13.773850351588838,0.00059927689050987,3/3,3/3,74267,801,2421,117562,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75068,45,13.773251074698328,13.773850351588838,0.00059927689050987,3/3,3/3,74267,801,2421,117562,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75068,45,13.773251074698328,13.773850351588838,0.00059927689050987,3/3,3/3,74267,801,2421,117562,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75068,45,13.773251074698328,13.773850351588838,0.00059927689050987,3/3,3/3,74267,801,2421,117562,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75113,75068,45,13.773251074698328,13.773850351588838,0.00059927689050987,3/3,3/3,74267,801,2421,117562,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,75053,74993,60,13.774050190386205,13.774849945170713,0.0007997547845075559,3/3,3/3,74192,801,2420,117521,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75053,74993,60,13.774050190386205,13.774849945170713,0.0007997547845075559,3/3,3/3,74192,801,2420,117521,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75053,74993,60,13.774050190386205,13.774849945170713,0.0007997547845075559,3/3,3/3,74192,801,2420,117521,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,75053,75008,45,13.774050190386205,13.77464994650337,0.0005997561171646737,3/3,3/3,74207,801,2420,117524,2/2,1/1,262/262,
