task_id,kept,rewrite,original_cost,candidate_cost,cost_save,original_score,candidate_score,score_gain,original_memory,candidate_memory,original_params,candidate_params,candidate_nodes,candidate_file_size,local_pass,local_total,equiv_train,equiv_test,equiv_arc_gen,error
80,False,removed terminal Cast; graph output now output_b as BOOL[1x10x30x30],,,,0.0,0.0,0.0,,,,,0,10151,0,266,3/3,1/1,8/262,"original scorer failed: Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 286, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 3 with size 30"
92,True,removed terminal Cast; graph output now output_b as BOOL[1x10x30x30],46289,37289,9000,14.25734036914603,14.473546344027687,0.21620597488165672,46260,37260,29,29,29,2246,265,265,2/2,1/1,262/262,
138,True,removed terminal Cast; graph output now onehot_b as BOOL[1x10x30x30],48399,39399,9000,14.212765568665747,14.41850428574673,0.20573871708098324,48274,39274,125,125,93,5486,266,266,3/3,1/1,262/262,
191,True,removed terminal Cast; graph output now /Unsqueeze_160_output_0 as FLOAT16[1x10x30x30],709342,691342,18000,11.527906941253965,11.553610084813071,0.025703143559105968,709177,691177,165,165,1036,95203,267,267,4/4,1/1,262/262,
192,True,removed terminal Cast; graph output now out_h as FLOAT16[1x10x30x30],51968,33968,18000,14.14161657647865,14.566825816056962,0.4252092395783116,51898,33898,70,70,16,1501,265,265,2/2,1/1,262/262,
205,True,removed terminal Cast; graph output now out_b as BOOL[1x10x30x30],112313,103313,9000,13.370955104619776,13.45448150576291,0.08352640114313381,110591,101591,1722,1722,415,33555,266,266,3/3,1/1,262/262,
206,False,,,,,,,,,,,,,,,,,,,excluded by active BOOL or uniform-scalar branch
209,True,removed terminal Cast; graph output now onehot_b as BOOL[1x10x30x30],122356,113356,9000,13.28530989269121,13.361711412073099,0.07640151938188922,122191,113191,165,165,199,12395,266,266,3/3,1/1,262/262,
215,True,removed terminal Cast; graph output now out_b as BOOL[1x10x30x30],38094,29094,9000,14.452187931601495,14.721712753666592,0.2695248220650974,37982,28982,112,112,20,1688,265,265,2/2,1/1,262/262,
376,True,removed terminal Cast; graph output now out_b as BOOL[1x10x30x30],23413,14413,9000,14.938953297362508,15.424114143916897,0.48516084655438974,23262,14262,151,151,40,2623,39,39,2/2,1/1,36/36,
377,True,removed terminal Cast; graph output now out_bool as BOOL[1x10x30x30],59224,50224,9000,14.010917855877066,14.175751720918266,0.16483386504119935,58240,49240,984,984,195,15257,266,266,3/3,1/1,262/262,
396,True,removed terminal Cast; graph output now output_bool as BOOL[1x10x30x30],140688,131688,9000,13.145700048381217,13.21180923259308,0.06610918421186263,133442,124442,7246,7246,67,25265,266,266,3/3,1/1,262/262,
