task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.62460081420165,4339,4315,24,3,3,12,1433,submissions/fp16_revert_probe_1/task001.onnx,
2,13.5104148124377,97693,97200,493,3,3,95,15506,submissions/fp16_revert_probe_1/task002.onnx,
3,15.786066092513687,10036,10026,10,3,3,39,4167,submissions/fp16_revert_probe_1/task003.onnx,
4,14.084547965521434,55020,54000,1020,3,3,4,2522,submissions/fp16_revert_probe_1/task004.onnx,
5,13.313213669153685,118989,118653,336,3,3,106,10910,submissions/fp16_revert_probe_1/task005.onnx,
6,17.4404405039923,1919,1872,47,3,3,10,1364,submissions/fp16_revert_probe_1/task006.onnx,
7,15.869677336009849,9231,9200,31,3,3,13,1603,submissions/fp16_revert_probe_1/task007.onnx,
8,14.933331237322346,23545,23484,61,3,3,78,7667,submissions/fp16_revert_probe_1/task008.onnx,
9,13.69482467517415,81241,77400,3841,3,3,22,30956,submissions/fp16_revert_probe_1/task009.onnx,
10,16.479611917687244,5016,4939,77,3,3,60,4038,submissions/fp16_revert_probe_1/task010.onnx,
11,13.898854540195707,66247,63916,2331,3,3,52,10170,submissions/fp16_revert_probe_1/task011.onnx,
12,15.448199849891566,14070,13968,102,3,3,15,1948,submissions/fp16_revert_probe_1/task012.onnx,
13,13.3310798421544,116882,114625,2257,3,3,91,18384,submissions/fp16_revert_probe_1/task013.onnx,
14,12.629735824548343,235688,235272,416,3,3,166,14357,submissions/fp16_revert_probe_1/task014.onnx,
15,18.197605236675688,900,0,900,3,3,1,3798,submissions/fp16_revert_probe_1/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,submissions/fp16_revert_probe_1/task016.onnx,
17,14.414476771658645,39558,38935,623,3,3,67,8620,submissions/fp16_revert_probe_1/task017.onnx,
18,11.323874505438686,869893,868894,999,0,3,219,32157,submissions/fp16_revert_probe_1/task018.onnx,
19,13.16583196905603,137884,136056,1828,3,3,35,17887,submissions/fp16_revert_probe_1/task019.onnx,
20,13.590958363748854,90133,89863,270,3,3,245,31378,submissions/fp16_revert_probe_1/task020.onnx,
21,13.823946851672325,71400,69540,1860,3,3,214,38201,submissions/fp16_revert_probe_1/task021.onnx,
22,14.287072229632908,44933,44812,121,3,3,363,43895,submissions/fp16_revert_probe_1/task022.onnx,
23,11.619711427000917,647121,647100,21,3,3,397,20318,submissions/fp16_revert_probe_1/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,3233,submissions/fp16_revert_probe_1/task024.onnx,
25,9.390576792564902,6012933,5947740,65193,3,3,7459,698402,submissions/fp16_revert_probe_1/task025.onnx,
26,17.91997350007741,1188,1140,48,3,3,11,1622,submissions/fp16_revert_probe_1/task026.onnx,
27,14.486991470971319,36791,29573,7218,3,3,25,16205,submissions/fp16_revert_probe_1/task027.onnx,
28,13.299019446388057,120690,108080,12610,3,3,11,26058,submissions/fp16_revert_probe_1/task028.onnx,
29,13.503437684118467,98377,98207,170,3,3,88,13589,submissions/fp16_revert_probe_1/task029.onnx,
30,14.169341124493505,50547,49572,975,3,3,56,9441,submissions/fp16_revert_probe_1/task030.onnx,
31,15.164363114372046,18688,18630,58,3,3,26,3417,submissions/fp16_revert_probe_1/task031.onnx,
32,16.86699978141639,3405,3336,69,3,3,19,2347,submissions/fp16_revert_probe_1/task032.onnx,
33,14.081988539178049,55161,55112,49,3,3,16,1510,submissions/fp16_revert_probe_1/task033.onnx,
34,13.421324248376678,106796,103949,2847,3,3,87,11293,submissions/fp16_revert_probe_1/task034.onnx,
35,14.846026139757955,25693,25468,225,3,3,107,8818,submissions/fp16_revert_probe_1/task035.onnx,
36,13.71033059267258,79991,79832,159,3,3,56,5866,submissions/fp16_revert_probe_1/task036.onnx,
37,13.937652078450405,63726,55400,8326,3,3,27,20424,submissions/fp16_revert_probe_1/task037.onnx,
38,17.306974251582112,2193,2116,77,3,3,16,2357,submissions/fp16_revert_probe_1/task038.onnx,
39,16.03402681578965,7832,7804,28,3,3,14,1913,submissions/fp16_revert_probe_1/task039.onnx,
40,15.688186659093184,11068,11006,62,3,3,36,4104,submissions/fp16_revert_probe_1/task040.onnx,
41,15.299424541873835,16327,16300,27,3,3,18,2228,submissions/fp16_revert_probe_1/task041.onnx,
42,15.255097946581243,17067,16907,160,3,3,55,6156,submissions/fp16_revert_probe_1/task042.onnx,
43,16.129477454896126,7119,6980,139,3,3,9,1966,submissions/fp16_revert_probe_1/task043.onnx,
44,10.317261651531322,2380303,2378888,1415,3,3,1054,148684,submissions/fp16_revert_probe_1/task044.onnx,
45,16.0404313464555,7782,7750,32,3,3,11,1438,submissions/fp16_revert_probe_1/task045.onnx,
46,14.58291068075113,33426,32560,866,3,3,73,5299,submissions/fp16_revert_probe_1/task046.onnx,
47,16.492857144437266,4950,4823,127,3,3,33,2151,submissions/fp16_revert_probe_1/task047.onnx,
48,16.367872270491663,5609,5543,66,3,3,52,4058,submissions/fp16_revert_probe_1/task048.onnx,
49,14.613685144124743,32413,32263,150,3,3,29,3516,submissions/fp16_revert_probe_1/task049.onnx,
50,15.752845654901101,10375,10125,250,3,3,19,2540,submissions/fp16_revert_probe_1/task050.onnx,
51,13.587204310448836,90472,90393,79,3,3,57,3365,submissions/fp16_revert_probe_1/task051.onnx,
52,17.56751619208288,1690,1647,43,3,3,10,1277,submissions/fp16_revert_probe_1/task052.onnx,
53,21.598802618337846,30,0,30,3,3,1,175,submissions/fp16_revert_probe_1/task053.onnx,
54,12.887930388960946,182056,181895,161,3,3,118,9728,submissions/fp16_revert_probe_1/task054.onnx,
55,14.815477417733884,26490,25496,994,3,3,166,13497,submissions/fp16_revert_probe_1/task055.onnx,
56,18.672063216270807,560,460,100,3,3,7,1515,submissions/fp16_revert_probe_1/task056.onnx,
57,14.24604105662701,46815,46804,11,3,3,18,1880,submissions/fp16_revert_probe_1/task057.onnx,
58,15.310386592770932,16149,9704,6445,3,3,15,27439,submissions/fp16_revert_probe_1/task058.onnx,
59,14.740202570153853,28561,26008,2553,3,3,20,12715,submissions/fp16_revert_probe_1/task059.onnx,
60,16.372876749211567,5581,5400,181,3,3,20,2458,submissions/fp16_revert_probe_1/task060.onnx,
61,15.152342332424542,18914,16942,1972,3,3,9,17030,submissions/fp16_revert_probe_1/task061.onnx,
62,14.670950637656585,30609,29680,929,3,3,217,14479,submissions/fp16_revert_probe_1/task062.onnx,
63,14.666940264012474,30732,30700,32,3,3,34,3709,submissions/fp16_revert_probe_1/task063.onnx,
64,13.210837710262732,131816,131578,238,3,3,48,5809,submissions/fp16_revert_probe_1/task064.onnx,
65,14.533787213157124,35109,35032,77,3,3,37,1862,submissions/fp16_revert_probe_1/task065.onnx,
66,11.878567055313978,499535,499419,116,3,3,1642,180173,submissions/fp16_revert_probe_1/task066.onnx,
67,19.247427361174367,315,282,33,3,3,7,892,submissions/fp16_revert_probe_1/task067.onnx,
68,15.55942130423374,12589,12562,27,3,3,24,1602,submissions/fp16_revert_probe_1/task068.onnx,
69,13.647595461864874,85170,82858,2312,3,3,380,32330,submissions/fp16_revert_probe_1/task069.onnx,
70,13.90050125280863,66138,66060,78,3,3,71,11844,submissions/fp16_revert_probe_1/task070.onnx,
71,13.22640401182484,129780,128850,930,3,3,49,12082,submissions/fp16_revert_probe_1/task071.onnx,
72,17.34177247383865,2118,2040,78,3,3,9,1625,submissions/fp16_revert_probe_1/task072.onnx,
73,18.186555400489105,910,0,910,3,3,1,3825,submissions/fp16_revert_probe_1/task073.onnx,
74,15.009188619292196,21825,21780,45,3,3,18,1824,submissions/fp16_revert_probe_1/task074.onnx,
75,14.742796878157792,28487,28430,57,3,3,57,6812,submissions/fp16_revert_probe_1/task075.onnx,
76,10.819762304200175,1440121,1210623,229498,3,3,231,481941,submissions/fp16_revert_probe_1/task076.onnx,
77,12.83291249537243,192353,190140,2213,3,3,72,9860,submissions/fp16_revert_probe_1/task077.onnx,
78,15.65024557224114,11496,11460,36,3,3,25,1974,submissions/fp16_revert_probe_1/task078.onnx,
79,14.87525066556768,24953,24708,245,3,3,20,2695,submissions/fp16_revert_probe_1/task079.onnx,
80,13.047884557519986,155145,153652,1493,3,3,93,18484,submissions/fp16_revert_probe_1/task080.onnx,
81,17.256296741826247,2307,2198,109,3,3,35,3749,submissions/fp16_revert_probe_1/task081.onnx,
82,14.347008563236603,42319,42240,79,3,3,18,2282,submissions/fp16_revert_probe_1/task082.onnx,
83,17.504458056115745,1800,0,1800,3,3,1,7454,submissions/fp16_revert_probe_1/task083.onnx,
84,10.338195513991428,2330992,2052798,278194,3,3,258,571466,submissions/fp16_revert_probe_1/task084.onnx,
