task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.62460081420165,4339,4315,24,3,3,12,1001,data/konbu17_v36/task001.onnx,
2,12.457330125660462,280035,279600,435,3,3,175,28687,data/konbu17_v36/task002.onnx,
3,15.786165738769562,10035,10026,9,3,3,39,3904,data/konbu17_v36/task003.onnx,
4,13.74714144044858,77100,76080,1020,3,3,7,4505,data/konbu17_v36/task004.onnx,
5,12.21991568625067,355075,354854,221,3,3,180,14885,data/konbu17_v36/task005.onnx,
6,17.4404405039923,1919,1872,47,3,3,10,1310,data/konbu17_v36/task006.onnx,
7,15.869135829525614,9236,9200,36,3,3,13,1385,data/konbu17_v36/task007.onnx,
8,14.884915300050034,24713,24652,61,3,3,85,4647,data/konbu17_v36/task008.onnx,
9,13.343485144081104,115441,111600,3841,3,3,21,30710,data/konbu17_v36/task009.onnx,
10,15.983001688101238,8242,8165,77,3,3,58,6061,data/konbu17_v36/task010.onnx,
11,13.658491760727989,84247,81916,2331,3,3,53,10283,data/konbu17_v36/task011.onnx,
12,15.121420083170056,19508,19392,116,3,3,17,1546,data/konbu17_v36/task012.onnx,
13,12.452094511606518,281505,281277,228,3,3,165,22727,data/konbu17_v36/task013.onnx,
14,12.415614214021364,291964,291880,84,3,3,48,3676,data/konbu17_v36/task014.onnx,
15,16.58816732424159,4500,3600,900,3,3,2,3834,data/konbu17_v36/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,data/konbu17_v36/task016.onnx,
17,11.449735755619828,767017,766020,997,3,3,64,10880,data/konbu17_v36/task017.onnx,
18,13.223695401101164,130132,123384,6748,3,3,23,28217,data/konbu17_v36/task018.onnx,
19,12.23679464682821,349132,349060,72,3,3,48,3021,data/konbu17_v36/task019.onnx,
20,13.156591627255297,139164,138893,271,3,3,192,14783,data/konbu17_v36/task020.onnx,
21,13.82393284616816,71401,69540,1861,3,3,214,29463,data/konbu17_v36/task021.onnx,
22,13.479036923347303,100807,100566,241,3,3,439,29851,data/konbu17_v36/task022.onnx,
23,15.009051171693878,21828,21339,489,3,3,15,2803,data/konbu17_v36/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,2232,data/konbu17_v36/task024.onnx,
25,13.600400020341894,89286,74054,15232,3,3,10,61508,data/konbu17_v36/task025.onnx,
26,17.91997350007741,1188,1140,48,3,3,11,1613,data/konbu17_v36/task026.onnx,
27,14.06336355194007,56198,48981,7217,3,3,23,31059,data/konbu17_v36/task027.onnx,
28,15.093118214395856,20068,19752,316,3,3,12,2539,data/konbu17_v36/task028.onnx,
29,12.294580358808537,329529,329361,168,3,3,81,12469,data/konbu17_v36/task029.onnx,
30,14.088974323195158,54777,53802,975,3,3,60,9573,data/konbu17_v36/task030.onnx,
31,15.12810631905505,19378,19319,59,3,3,42,3612,data/konbu17_v36/task031.onnx,
32,16.864067227995108,3415,3336,79,3,3,19,1654,data/konbu17_v36/task032.onnx,
33,13.001800592748191,162462,162404,58,3,3,15,1311,data/konbu17_v36/task033.onnx,
34,12.765548860168211,205757,203801,1956,3,3,90,13730,data/konbu17_v36/task034.onnx,
35,14.309305869001255,43945,43716,229,3,3,113,9679,data/konbu17_v36/task035.onnx,
36,13.288108928769994,122014,121862,152,3,3,59,4194,data/konbu17_v36/task036.onnx,
37,13.464462133359127,102287,98676,3611,3,3,50,10137,data/konbu17_v36/task037.onnx,
38,16.05206389329133,7692,7636,56,3,3,19,1812,data/konbu17_v36/task038.onnx,
39,16.005703442222803,8057,8028,29,3,3,24,2209,data/konbu17_v36/task039.onnx,
40,15.684759218198447,11106,11026,80,3,3,38,3111,data/konbu17_v36/task040.onnx,
41,15.299424541873835,16327,16300,27,3,3,18,1313,data/konbu17_v36/task041.onnx,
42,14.3744620192972,41173,40829,344,3,3,73,9477,data/konbu17_v36/task042.onnx,
43,15.806195596663917,9836,9780,56,3,3,10,1181,data/konbu17_v36/task043.onnx,
44,14.632621210887095,31805,20902,10903,3,3,14,25407,data/konbu17_v36/task044.onnx,
45,15.82187295038847,9683,9650,33,3,3,9,955,data/konbu17_v36/task045.onnx,
46,14.029648857110342,58125,57260,865,3,3,76,9068,data/konbu17_v36/task046.onnx,
47,16.070697157756932,7550,7423,127,3,3,31,2117,data/konbu17_v36/task047.onnx,
48,15.913863231483123,8832,8765,67,3,3,49,5977,data/konbu17_v36/task048.onnx,
