task_id,sha256,local_score,cost,local_pass,local_total,nodes,file_size,current_best_score,score_delta_vs_current_best_6122_onnx,path,error
task001,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,17.041073506950,2861,3,3,14,1137,17.041073506950,0.000000000000,submissions/nadeem_6252_onnx/task001.onnx,
task002,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,13.514517676860,97293,3,3,95,14560,13.510414812438,0.004102864422,submissions/nadeem_6252_onnx/task002.onnx,
task003,f7b1e9c321fcb23c216feb2476ddc69b220eb381e49e0edca3208bd9a8373693,15.786066092514,10036,3,3,39,4167,15.883530843634,-0.097464751120,submissions/nadeem_6252_onnx/task003.onnx,
task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,14.084547965521,55020,3,3,4,2522,14.084547965521,0.000000000000,submissions/nadeem_6252_onnx/task004.onnx,
task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,13.328149556042,117225,3,3,106,10910,13.328149556042,0.000000000000,submissions/nadeem_6252_onnx/task005.onnx,
task006,730e2188defecad529681f66c74dcbe4bc3ea104d8fa752a6f1e719e3bf622bb,17.440440503992,1919,3,3,10,1364,17.603051397379,-0.162610893387,submissions/nadeem_6252_onnx/task006.onnx,
task007,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,16.108350887350,7271,3,3,13,1258,15.981910315896,0.126440571454,submissions/nadeem_6252_onnx/task007.onnx,
task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,14.944263574926,23289,3,3,78,7667,14.944263574926,0.000000000000,submissions/nadeem_6252_onnx/task008.onnx,
task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,13.694824675174,81241,3,3,22,30956,13.694824675174,0.000000000000,submissions/nadeem_6252_onnx/task009.onnx,
task010,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,16.479611917687,5016,3,3,60,4038,16.479611917687,0.000000000000,submissions/nadeem_6252_onnx/task010.onnx,
task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,13.898854540196,66247,3,3,52,10170,13.898854540196,0.000000000000,submissions/nadeem_6252_onnx/task011.onnx,
task012,6565dbdc01b75cf0fd11dff727c2312655bcb5fb9e59a8020020ef04a7b5a80c,15.555457449353,12639,3,3,15,1951,15.468881328083,0.086576121270,submissions/nadeem_6252_onnx/task012.onnx,
task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,13.331079842154,116882,3,3,91,18384,13.331079842154,0.000000000000,submissions/nadeem_6252_onnx/task013.onnx,
task014,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,14.427427453255,39049,3,3,42,5317,13.776812051794,0.650615401461,submissions/nadeem_6252_onnx/task014.onnx,
task015,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,18.197605236676,900,3,3,1,3774,18.197605236676,0.000000000000,submissions/nadeem_6252_onnx/task015.onnx,
task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,22.697414907006,10,3,3,1,158,22.697414907006,0.000000000000,submissions/nadeem_6252_onnx/task016.onnx,
task017,fb2137630963bd757e3fa76d251d504d01fbf7b1b6106c0e123e2b4b6247e574,14.527540564604,35329,3,3,71,8855,14.414476771659,0.113063792946,submissions/nadeem_6252_onnx/task017.onnx,
task018,5f2d48dfb685523b95f6728e7537afda1089560ef90a4040dd4d493d426b24fc,11.926438286831,476185,0,3,192,29359,11.323874505439,0.602563781393,submissions/nadeem_6252_onnx/task018.onnx,
task019,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,13.693533058814,81346,3,3,32,2566,13.165948015359,0.527585043455,submissions/nadeem_6252_onnx/task019.onnx,
task020,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,13.590958363749,90133,3,3,245,31378,13.590958363749,0.000000000000,submissions/nadeem_6252_onnx/task020.onnx,
task021,334b1a23352e02c2ecd25acbcdf05ebb267e56bd92a775c4a47191882da99ecc,14.156056071091,51223,3,3,214,38267,13.985181386388,0.170874684703,submissions/nadeem_6252_onnx/task021.onnx,
task022,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,14.542024067963,34821,3,3,67,5021,14.287072229633,0.254951838330,submissions/nadeem_6252_onnx/task022.onnx,
task023,381d1261e875c1cddec3fdc4fdca4eff331d3edad2677ad6ba7a97a0d16be814,13.807114523590,72612,3,3,374,33067,11.685826887929,2.121287635660,submissions/nadeem_6252_onnx/task023.onnx,
task024,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,15.886170528405,9080,3,3,27,3233,15.886170528405,0.000000000000,submissions/nadeem_6252_onnx/task024.onnx,
task025,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,13.149938233234,140093,3,3,127,13460,12.261054565445,0.888883667789,submissions/nadeem_6252_onnx/task025.onnx,
task026,7b1677f67eb3a42b35d9d881fb5afa91618d944fae08e6ae12d4aeff0faa3601,18.396056175400,738,3,3,13,1345,18.396056175400,0.000000000000,submissions/nadeem_6252_onnx/task026.onnx,
task027,63da1fe45860bc98d31a806aeabad3d8d81890198997b6d66fe5343ab004d658,14.486991470971,36791,3,3,25,16205,14.486991470971,0.000000000000,submissions/nadeem_6252_onnx/task027.onnx,
task028,5882fa43bf7f98d605e8098fc72437800e43705b6484f0675c3c72fae26e9e30,15.896131872534,8990,3,3,13,1867,15.896131872534,0.000000000000,submissions/nadeem_6252_onnx/task028.onnx,
task029,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,13.516328283805,97117,3,3,88,13589,13.503437684118,0.012890599686,submissions/nadeem_6252_onnx/task029.onnx,
task030,4b0ea4d8a95bcc8bebb70823b35c19ca796ec33edf66cb97a3421c6e43ad143c,15.607504751787,11998,3,3,64,4901,14.250923188763,1.356581563024,submissions/nadeem_6252_onnx/task030.onnx,
task031,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,15.168223295018,18616,3,3,26,3417,15.164363114372,0.003860180646,submissions/nadeem_6252_onnx/task031.onnx,
