task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,15.363411980733124,15315,15275,40,3,3,69,3329,data/needless090_v31/task001.onnx,
2,11.874858485195494,501391,500476,915,3,3,137,12396,data/needless090_v31/task002.onnx,
3,14.310968417637959,43872,43703,169,3,3,138,9191,data/needless090_v31/task003.onnx,
4,11.868284490429646,504698,500400,4298,3,3,7,17700,data/needless090_v31/task004.onnx,
5,0.0,,,,0,266,0,0,data/needless090_v31/task005.onnx,missing
6,16.604296706171475,4428,4392,36,3,3,20,1432,data/needless090_v31/task006.onnx,
7,12.149272132547003,381066,378354,2712,3,3,35,12841,data/needless090_v31/task007.onnx,
8,0.0,,,84,3,3,103,5686,data/needless090_v31/task008.onnx,unmeasurable
9,12.038256180571523,425808,424896,912,3,3,131,11215,data/needless090_v31/task009.onnx,
10,13.902196117171249,66026,65884,142,3,3,73,4283,data/needless090_v31/task010.onnx,
11,13.07409771063777,151131,148788,2343,3,3,85,14159,data/needless090_v31/task011.onnx,
12,0.0,,,,0,265,0,0,data/needless090_v31/task012.onnx,missing
13,0.0,,,,0,267,0,0,data/needless090_v31/task013.onnx,missing
14,13.320128917787445,118169,118038,131,3,3,49,3586,data/needless090_v31/task014.onnx,
15,16.58816732424159,4500,3600,900,3,3,2,3804,data/needless090_v31/task015.onnx,
16,21.087976994571854,50,40,10,3,3,2,211,data/needless090_v31/task016.onnx,
17,0.0,,,,0,266,0,0,data/needless090_v31/task017.onnx,missing
18,0.0,,,,0,266,0,0,data/needless090_v31/task018.onnx,missing
19,0.0,,243492,,3,3,45,2773,data/needless090_v31/task019.onnx,unmeasurable
20,0.0,,678692,,3,3,53,6547,data/needless090_v31/task020.onnx,unmeasurable
21,0.0,,,,0,266,0,0,data/needless090_v31/task021.onnx,missing
22,11.732584350896532,578050,571944,6106,3,3,492,52655,data/needless090_v31/task022.onnx,
23,0.0,,,,0,266,0,0,data/needless090_v31/task023.onnx,missing
24,13.332552495593601,116710,116400,310,3,3,9,1855,data/needless090_v31/task024.onnx,
25,9.969177074267431,3371347,3370272,1075,3,3,1075,63962,data/needless090_v31/task025.onnx,
26,16.47246051652962,5052,5004,48,3,3,23,1551,data/needless090_v31/task026.onnx,
27,0.0,,,,0,265,0,0,data/needless090_v31/task027.onnx,missing
28,15.05201720757732,20910,20692,218,3,3,25,2174,data/needless090_v31/task028.onnx,
29,0.0,,3228747,,3,3,1014,55728,data/needless090_v31/task029.onnx,unmeasurable
30,0.0,,,61,3,3,92,5745,data/needless090_v31/task030.onnx,unmeasurable
31,13.355476259673026,114065,113960,105,3,3,34,2676,data/needless090_v31/task031.onnx,
32,12.757822066139807,207353,207300,53,3,3,25,1659,data/needless090_v31/task032.onnx,
33,11.559780888423493,687089,687068,21,3,3,103,4937,data/needless090_v31/task033.onnx,
34,0.0,,,,0,267,0,0,data/needless090_v31/task034.onnx,missing
35,11.03313495362476,1163409,1163040,369,3,3,118,7661,data/needless090_v31/task035.onnx,
36,13.288108928769994,122014,121862,152,3,3,59,4194,data/needless090_v31/task036.onnx,
37,10.05889513095668,3082048,3081744,304,3,3,607,36691,data/needless090_v31/task037.onnx,
38,15.81733919713056,9727,9668,59,3,3,33,1699,data/needless090_v31/task038.onnx,
39,13.139803671166334,141520,133204,8316,3,3,34,56106,data/needless090_v31/task039.onnx,
40,14.054029690351957,56725,56308,417,3,3,49,3994,data/needless090_v31/task040.onnx,
41,11.899501935766438,489186,482670,6516,3,3,165,51887,data/needless090_v31/task041.onnx,
42,10.532041867652461,1920235,1918256,1979,3,3,490,36041,data/needless090_v31/task042.onnx,
43,14.85133346928905,25557,25544,13,3,3,23,1184,data/needless090_v31/task043.onnx,
44,0.0,,,,0,266,0,0,data/needless090_v31/task044.onnx,missing
45,13.30563670193794,119894,117150,2744,3,3,47,17460,data/needless090_v31/task045.onnx,
46,0.0,,,,0,267,0,0,data/needless090_v31/task046.onnx,missing
47,12.323445714489427,320153,318324,1829,3,3,119,22209,data/needless090_v31/task047.onnx,
48,10.482631807863712,2017497,2016541,956,3,3,556,43094,data/needless090_v31/task048.onnx,
49,13.61947513866579,87599,87445,154,3,3,30,2586,data/needless090_v31/task049.onnx,
50,0.0,,,,0,271,0,2033,data/needless090_v31/task050.onnx,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 292, in score_onnx |     memory = calculate_memory(sanitized, trace_path) |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 153, in calculate_memory |     onnx.checker.check_model(model, full_check=True) |     ~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^ | onnx.onnx_cpp2py_export.checker.ValidationError: Nodes in a graph must be topologically sorted, however input 'safe_name_8' of node:  | name: safe_name_9 OpType: CumSum |  is not output of any previous nodes."
51,11.0584164190305,1134365,1133295,1070,3,3,389,24213,data/needless090_v31/task051.onnx,
52,14.897866527750063,24395,21672,2723,3,3,19,15537,data/needless090_v31/task052.onnx,
53,16.58816732424159,4500,3600,900,3,3,2,3834,data/needless090_v31/task053.onnx,
54,0.0,,,,0,266,0,0,data/needless090_v31/task054.onnx,missing
55,0.0,,,,0,265,0,0,data/needless090_v31/task055.onnx,missing
56,14.489658719844527,36693,36640,53,3,3,37,2088,data/needless090_v31/task056.onnx,
57,13.698338923813903,80956,80944,12,3,3,15,1031,data/needless090_v31/task057.onnx,
58,10.34368332175639,2318235,2057144,261091,3,3,413,1058090,data/needless090_v31/task058.onnx,
59,0.0,,,,3,3,45,2903,data/needless090_v31/task059.onnx,unmeasurable
60,13.173001293352037,136899,131465,5434,3,3,49,28407,data/needless090_v31/task060.onnx,
61,13.014761075497146,160370,149521,10849,3,3,70,55242,data/needless090_v31/task061.onnx,
62,14.08507518553892,54991,54044,947,3,3,245,16353,data/needless090_v31/task062.onnx,
63,13.890002863485966,66836,66824,12,3,3,43,2197,data/needless090_v31/task063.onnx,
64,9.80699291864441,3964963,3964818,145,3,3,229,13937,data/needless090_v31/task064.onnx,
65,0.0,,,,0,266,0,0,data/needless090_v31/task065.onnx,missing
66,0.0,,,,0,266,0,0,data/needless090_v31/task066.onnx,missing
67,13.458759224049725,102872,101064,1808,3,3,18,15512,data/needless090_v31/task067.onnx,
68,14.998886768679432,22051,22028,23,3,3,35,1708,data/needless090_v31/task068.onnx,
69,0.0,,,,0,264,0,0,data/needless090_v31/task069.onnx,missing
70,13.191647532130544,134370,134344,26,3,3,92,7416,data/needless090_v31/task070.onnx,
71,0.0,,,,0,265,0,0,data/needless090_v31/task071.onnx,missing
72,16.283628134723386,6102,6024,78,3,3,21,1623,data/needless090_v31/task072.onnx,
73,14.390695863803264,40510,39600,910,3,3,3,3931,data/needless090_v31/task073.onnx,
74,0.0,,,,0,267,0,0,data/needless090_v31/task074.onnx,missing
75,13.510977959111331,97638,97564,74,3,3,144,9482,data/needless090_v31/task075.onnx,
76,0.0,,,,0,266,0,0,data/needless090_v31/task076.onnx,missing
77,0.0,,,,0,266,0,0,data/needless090_v31/task077.onnx,missing
78,14.954058479668939,23062,23036,26,3,3,37,1812,data/needless090_v31/task078.onnx,
79,11.646350313699042,630110,628176,1934,3,3,69,15582,data/needless090_v31/task079.onnx,
80,0.0,,,,0,266,0,0,data/needless090_v31/task080.onnx,missing
81,13.50709358574381,98018,97200,818,3,3,5,3682,data/needless090_v31/task081.onnx,
82,13.04185039714826,156084,156016,68,3,3,29,1878,data/needless090_v31/task082.onnx,
83,16.295497710278767,6030,6000,30,3,3,24,1492,data/needless090_v31/task083.onnx,
84,12.82078480863971,194700,192872,1828,3,3,59,18552,data/needless090_v31/task084.onnx,
85,12.057907483504486,417522,416520,1002,3,3,96,9332,data/needless090_v31/task085.onnx,
86,0.0,,,,0,266,0,0,data/needless090_v31/task086.onnx,missing
87,18.17780260937951,918,896,22,3,3,11,782,data/needless090_v31/task087.onnx,
88,0.0,,,,0,267,0,0,data/needless090_v31/task088.onnx,missing
89,0.0,,,,0,267,0,0,data/needless090_v31/task089.onnx,missing
90,0.0,,,,0,267,0,0,data/needless090_v31/task090.onnx,missing
91,13.68718538723341,81864,81756,108,3,3,41,2988,data/needless090_v31/task091.onnx,
92,11.587580869554014,668251,668240,11,3,3,42,2049,data/needless090_v31/task092.onnx,
93,0.0,,,,0,265,0,0,data/needless090_v31/task093.onnx,missing
94,0.0,,,,0,265,0,0,data/needless090_v31/task094.onnx,missing
95,16.58816732424159,4500,3600,900,3,3,2,3804,data/needless090_v31/task095.onnx,
96,0.0,,,,0,266,0,0,data/needless090_v31/task096.onnx,missing
97,12.556549591927793,253584,253456,128,3,3,27,2122,data/needless090_v31/task097.onnx,
98,13.222681560555944,130264,130240,24,3,3,19,1253,data/needless090_v31/task098.onnx,
99,0.0,,,,0,265,0,0,data/needless090_v31/task099.onnx,missing
100,13.868422806030557,68294,67384,910,3,3,20,4773,data/needless090_v31/task100.onnx,
101,0.0,,,,0,266,0,0,data/needless090_v31/task101.onnx,missing
102,10.14152447418979,2837618,2837176,442,3,3,758,48924,data/needless090_v31/task102.onnx,
103,14.49861044882066,36366,36344,22,3,3,26,1443,data/needless090_v31/task103.onnx,
104,16.080413079000085,7477,6412,1065,3,3,32,5805,data/needless090_v31/task104.onnx,
105,0.0,,,,0,266,0,0,data/needless090_v31/task105.onnx,missing
106,13.37533639969128,111822,100806,11016,3,3,32,74116,data/needless090_v31/task106.onnx,
107,0.0,,,,0,266,0,0,data/needless090_v31/task107.onnx,missing
108,13.754130789687895,76563,75656,907,3,3,6,4047,data/needless090_v31/task108.onnx,
109,0.0,,,,0,266,0,0,data/needless090_v31/task109.onnx,missing
110,0.0,,,,0,266,0,0,data/needless090_v31/task110.onnx,missing
111,13.05540900855248,153982,152148,1834,3,3,53,17759,data/needless090_v31/task111.onnx,
112,0.0,,,,0,266,0,0,data/needless090_v31/task112.onnx,missing
113,13.122084259487325,144050,144000,50,3,3,8,509,data/needless090_v31/task113.onnx,
114,11.554518875836333,690714,690708,6,3,3,61,3943,data/needless090_v31/task114.onnx,
115,0.0,,,,0,266,0,0,data/needless090_v31/task115.onnx,missing
116,13.754130789687895,76563,75656,907,3,3,6,4047,data/needless090_v31/task116.onnx,
117,0.0,,,,0,265,0,0,data/needless090_v31/task117.onnx,missing
118,0.0,,,,0,267,0,0,data/needless090_v31/task118.onnx,missing
119,0.0,,,,0,266,0,0,data/needless090_v31/task119.onnx,missing
120,14.351959478844027,42110,39600,2510,3,3,3,10331,data/needless090_v31/task120.onnx,
121,10.510746308215746,1961566,1952368,9198,3,3,467,60866,data/needless090_v31/task121.onnx,
122,13.023428572988752,158986,154800,4186,3,3,5,17154,data/needless090_v31/task122.onnx,
123,0.0,,,,0,265,0,0,data/needless090_v31/task123.onnx,missing
124,0.0,,,,0,267,0,0,data/needless090_v31/task124.onnx,missing
125,0.0,,,,0,265,0,0,data/needless090_v31/task125.onnx,missing
126,13.065854194977101,152382,152288,94,3,3,27,1827,data/needless090_v31/task126.onnx,
127,16.58816732424159,4500,3600,900,3,3,2,3834,data/needless090_v31/task127.onnx,
128,12.920352626907599,176248,176140,108,3,3,30,2627,data/needless090_v31/task128.onnx,
129,15.884629865615045,9094,94,9000,3,3,5,36362,data/needless090_v31/task129.onnx,
130,13.453378671173047,103427,100700,2727,3,3,39,17125,data/needless090_v31/task130.onnx,
131,0.0,,,,0,266,0,0,data/needless090_v31/task131.onnx,missing
132,13.037484094434872,156767,156756,11,3,3,39,1988,data/needless090_v31/task132.onnx,
133,0.0,,,,0,267,0,0,data/needless090_v31/task133.onnx,missing
134,0.0,,,,0,266,0,0,data/needless090_v31/task134.onnx,missing
135,18.813791376099505,486,472,14,3,3,6,457,data/needless090_v31/task135.onnx,
136,12.284775130055865,332776,332516,260,3,3,61,4321,data/needless090_v31/task136.onnx,
137,0.0,,,,0,266,0,0,data/needless090_v31/task137.onnx,missing
138,0.0,,,,0,266,0,0,data/needless090_v31/task138.onnx,missing
139,13.023428572988752,158986,154800,4186,3,3,5,17154,data/needless090_v31/task139.onnx,
140,18.17780260937951,918,896,22,3,3,11,782,data/needless090_v31/task140.onnx,
141,12.860574764417713,187105,185230,1875,3,3,29,16493,data/needless090_v31/task141.onnx,
142,16.56836469694541,4590,4560,30,3,3,24,1492,data/needless090_v31/task142.onnx,
143,10.201771848062574,2671707,2671628,79,3,3,1869,85104,data/needless090_v31/task143.onnx,
144,16.45558082233017,5138,5088,50,3,3,23,1559,data/needless090_v31/task144.onnx,
145,0.0,,,,0,267,0,0,data/needless090_v31/task145.onnx,missing
146,12.076351010653385,409892,406250,3642,3,3,43,27993,data/needless090_v31/task146.onnx,
147,14.042374648897592,57390,57360,30,3,3,35,1949,data/needless090_v31/task147.onnx,
148,0.0,,,,0,266,0,0,data/needless090_v31/task148.onnx,missing
149,13.182793490922622,135565,124605,10960,3,3,79,56929,data/needless090_v31/task149.onnx,
150,13.327680482879522,117280,115472,1808,3,3,21,15610,data/needless090_v31/task150.onnx,
151,14.390695863803264,40510,39600,910,3,3,3,3949,data/needless090_v31/task151.onnx,
152,16.56836469694541,4590,4560,30,3,3,24,1492,data/needless090_v31/task152.onnx,
153,0.0,,,,0,265,0,0,data/needless090_v31/task153.onnx,missing
154,0.0,,,,0,266,0,0,data/needless090_v31/task154.onnx,missing
155,13.327680482879522,117280,115472,1808,3,3,21,15612,data/needless090_v31/task155.onnx,
156,8.702482826618702,11965250,11962472,2778,3,3,359,34186,data/needless090_v31/task156.onnx,
157,0.0,,,,0,265,0,0,data/needless090_v31/task157.onnx,missing
158,0.0,,,,0,266,0,0,data/needless090_v31/task158.onnx,missing
159,0.0,,,,0,265,0,0,data/needless090_v31/task159.onnx,missing
160,11.854443670519586,511732,510680,1052,3,3,113,10993,data/needless090_v31/task160.onnx,
161,0.0,,,,0,266,0,0,data/needless090_v31/task161.onnx,missing
162,12.5228549621995,262274,262188,86,3,3,63,4454,data/needless090_v31/task162.onnx,
163,8.418996586012408,15886868,15794920,91948,3,3,623,400300,data/needless090_v31/task163.onnx,
164,17.620991872371697,1602,1584,18,3,3,12,814,data/needless090_v31/task164.onnx,
165,0.0,,,,0,265,0,0,data/needless090_v31/task165.onnx,missing
166,13.671670676731742,83144,83128,16,3,3,16,999,data/needless090_v31/task166.onnx,
167,13.275590694726885,123551,113435,10116,3,3,51,60602,data/needless090_v31/task167.onnx,
168,11.744116730037273,571422,570968,454,3,3,115,8303,data/needless090_v31/task168.onnx,
169,8.703885117323175,11948483,11947500,983,3,3,334,25383,data/needless090_v31/task169.onnx,
170,0.0,,,,0,266,0,0,data/needless090_v31/task170.onnx,missing
171,14.107491835425856,53772,53744,28,3,3,32,2018,data/needless090_v31/task171.onnx,
172,17.620991872371697,1602,1584,18,3,3,12,814,data/needless090_v31/task172.onnx,
173,0.0,,,,0,266,0,0,data/needless090_v31/task173.onnx,missing
174,0.0,,,,0,266,0,0,data/needless090_v31/task174.onnx,missing
175,0.0,,,,0,266,0,0,data/needless090_v31/task175.onnx,missing
176,0.0,,,,0,25,0,0,data/needless090_v31/task176.onnx,missing
177,13.355467492780319,114066,113960,106,3,3,34,2698,data/needless090_v31/task177.onnx,
178,12.775699495883034,203679,185265,18414,3,3,57,76988,data/needless090_v31/task178.onnx,
179,25.0,0,0,0,3,3,1,139,data/needless090_v31/task179.onnx,
180,14.390695863803264,40510,39600,910,3,3,3,3931,data/needless090_v31/task180.onnx,
181,13.74695987457209,77114,77048,66,3,3,14,1230,data/needless090_v31/task181.onnx,
182,0.0,,,,0,267,0,0,data/needless090_v31/task182.onnx,missing
183,0.0,,,,0,265,0,0,data/needless090_v31/task183.onnx,missing
184,0.0,,,,0,266,0,0,data/needless090_v31/task184.onnx,missing
185,0.0,,,,0,267,0,0,data/needless090_v31/task185.onnx,missing
186,14.559229914735521,34227,28819,5408,3,3,16,22604,data/needless090_v31/task186.onnx,
187,0.0,,,,0,266,0,0,data/needless090_v31/task187.onnx,missing
188,14.773234010343655,27633,27564,69,3,3,54,2831,data/needless090_v31/task188.onnx,
189,0.0,,,,0,266,0,0,data/needless090_v31/task189.onnx,missing
190,11.67817939035503,610370,609112,1258,3,3,126,11441,data/needless090_v31/task190.onnx,
191,0.0,,,,0,267,0,0,data/needless090_v31/task191.onnx,missing
192,0.0,,,,0,265,0,0,data/needless090_v31/task192.onnx,missing
193,13.325721284672014,117510,116400,1110,3,3,9,5057,data/needless090_v31/task193.onnx,
194,13.754130789687895,76563,75656,907,3,3,6,4047,data/needless090_v31/task194.onnx,
195,0.0,,,,0,265,0,0,data/needless090_v31/task195.onnx,missing
196,9.521836502924982,5273282,5272072,1210,3,3,1401,87377,data/needless090_v31/task196.onnx,
197,13.147008762898428,140504,138684,1820,3,3,32,16294,data/needless090_v31/task197.onnx,
198,0.0,,,,0,266,0,0,data/needless090_v31/task198.onnx,missing
