task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.62460081420165,4339,4315,24,3,3,12,1433,submissions/octavi_6042_onnx/task001.onnx,
2,13.5104148124377,97693,97200,493,3,3,95,15506,submissions/octavi_6042_onnx/task002.onnx,
3,15.786066092513687,10036,10026,10,3,3,39,4167,submissions/octavi_6042_onnx/task003.onnx,
4,14.084547965521434,55020,54000,1020,3,3,4,2522,submissions/octavi_6042_onnx/task004.onnx,
5,13.313213669153685,118989,118653,336,3,3,106,10910,submissions/octavi_6042_onnx/task005.onnx,
6,17.4404405039923,1919,1872,47,3,3,10,1364,submissions/octavi_6042_onnx/task006.onnx,
7,15.869677336009849,9231,9200,31,3,3,13,1603,submissions/octavi_6042_onnx/task007.onnx,
8,14.933331237322346,23545,23484,61,3,3,78,7667,submissions/octavi_6042_onnx/task008.onnx,
9,13.69482467517415,81241,77400,3841,3,3,22,30956,submissions/octavi_6042_onnx/task009.onnx,
10,15.983001688101238,8242,8165,77,3,3,58,6061,submissions/octavi_6042_onnx/task010.onnx,
11,13.898854540195707,66247,63916,2331,3,3,52,10170,submissions/octavi_6042_onnx/task011.onnx,
12,15.448199849891566,14070,13968,102,3,3,15,1948,submissions/octavi_6042_onnx/task012.onnx,
13,13.3310798421544,116882,114625,2257,3,3,91,18384,submissions/octavi_6042_onnx/task013.onnx,
14,12.629735824548343,235688,235272,416,3,3,166,14357,submissions/octavi_6042_onnx/task014.onnx,
15,18.197605236675688,900,0,900,3,3,1,3798,submissions/octavi_6042_onnx/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,submissions/octavi_6042_onnx/task016.onnx,
17,14.414476771658645,39558,38935,623,3,3,67,8620,submissions/octavi_6042_onnx/task017.onnx,
18,11.323874505438686,869893,868894,999,0,3,219,32157,submissions/octavi_6042_onnx/task018.onnx,
19,13.16583196905603,137884,136056,1828,3,3,35,17887,submissions/octavi_6042_onnx/task019.onnx,
20,13.590958363748854,90133,89863,270,3,3,245,31378,submissions/octavi_6042_onnx/task020.onnx,
21,13.823946851672325,71400,69540,1860,3,3,214,38201,submissions/octavi_6042_onnx/task021.onnx,
22,14.287072229632908,44933,44812,121,3,3,363,43895,submissions/octavi_6042_onnx/task022.onnx,
23,10.993438596587007,1210521,1210500,21,3,3,395,20163,submissions/octavi_6042_onnx/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,3233,submissions/octavi_6042_onnx/task024.onnx,
25,8.712315763556305,11848173,11782980,65193,3,3,7449,826752,submissions/octavi_6042_onnx/task025.onnx,
26,17.91997350007741,1188,1140,48,3,3,11,1622,submissions/octavi_6042_onnx/task026.onnx,
27,14.063416936047632,56195,48977,7218,3,3,22,31135,submissions/octavi_6042_onnx/task027.onnx,
28,12.830746952608363,192770,180160,12610,3,3,10,51218,submissions/octavi_6042_onnx/task028.onnx,
29,13.503437684118467,98377,98207,170,3,3,88,13589,submissions/octavi_6042_onnx/task029.onnx,
30,14.169341124493505,50547,49572,975,3,3,56,9441,submissions/octavi_6042_onnx/task030.onnx,
31,15.164363114372046,18688,18630,58,3,3,26,3417,submissions/octavi_6042_onnx/task031.onnx,
32,16.86699978141639,3405,3336,69,3,3,19,2347,submissions/octavi_6042_onnx/task032.onnx,
33,14.081988539178049,55161,55112,49,3,3,16,1510,submissions/octavi_6042_onnx/task033.onnx,
34,13.421324248376678,106796,103949,2847,3,3,87,11293,submissions/octavi_6042_onnx/task034.onnx,
35,14.410868344725078,39701,39476,225,3,3,104,12869,submissions/octavi_6042_onnx/task035.onnx,
36,13.71033059267258,79991,79832,159,3,3,56,5866,submissions/octavi_6042_onnx/task036.onnx,
37,13.937652078450405,63726,55400,8326,3,3,27,20424,submissions/octavi_6042_onnx/task037.onnx,
38,17.306974251582112,2193,2116,77,3,3,16,2357,submissions/octavi_6042_onnx/task038.onnx,
39,16.03402681578965,7832,7804,28,3,3,14,1913,submissions/octavi_6042_onnx/task039.onnx,
40,15.688186659093184,11068,11006,62,3,3,36,4104,submissions/octavi_6042_onnx/task040.onnx,
41,15.299424541873835,16327,16300,27,3,3,18,2228,submissions/octavi_6042_onnx/task041.onnx,
42,14.593648433368575,33069,32909,160,3,3,54,8398,submissions/octavi_6042_onnx/task042.onnx,
43,16.129477454896126,7119,6980,139,3,3,9,1966,submissions/octavi_6042_onnx/task043.onnx,
44,10.317261651531322,2380303,2378888,1415,3,3,1054,148684,submissions/octavi_6042_onnx/task044.onnx,
45,16.0404313464555,7782,7750,32,3,3,11,1438,submissions/octavi_6042_onnx/task045.onnx,
46,14.058960292100226,56446,55580,866,3,3,70,8963,submissions/octavi_6042_onnx/task046.onnx,
47,16.070697157756932,7550,7423,127,3,3,31,3246,submissions/octavi_6042_onnx/task047.onnx,
48,15.913976462531197,8831,8765,66,3,3,49,5695,submissions/octavi_6042_onnx/task048.onnx,
49,14.613685144124743,32413,32263,150,3,3,29,3516,submissions/octavi_6042_onnx/task049.onnx,
50,15.752845654901101,10375,10125,250,3,3,19,2540,submissions/octavi_6042_onnx/task050.onnx,
51,13.587204310448836,90472,90393,79,3,3,57,3365,submissions/octavi_6042_onnx/task051.onnx,
52,17.56751619208288,1690,1647,43,3,3,10,1277,submissions/octavi_6042_onnx/task052.onnx,
53,21.598802618337846,30,0,30,3,3,1,175,submissions/octavi_6042_onnx/task053.onnx,
54,12.887930388960946,182056,181895,161,3,3,118,9728,submissions/octavi_6042_onnx/task054.onnx,
55,14.473626799944594,37286,36292,994,3,3,164,21458,submissions/octavi_6042_onnx/task055.onnx,
56,18.672063216270807,560,460,100,3,3,7,1515,submissions/octavi_6042_onnx/task056.onnx,
57,14.24604105662701,46815,46804,11,3,3,18,1880,submissions/octavi_6042_onnx/task057.onnx,
58,15.310386592770932,16149,9704,6445,3,3,15,27439,submissions/octavi_6042_onnx/task058.onnx,
59,14.740202570153853,28561,26008,2553,3,3,20,12715,submissions/octavi_6042_onnx/task059.onnx,
60,15.779610292170815,10101,9920,181,3,3,16,3039,submissions/octavi_6042_onnx/task060.onnx,
61,15.152342332424542,18914,16942,1972,3,3,9,17030,submissions/octavi_6042_onnx/task061.onnx,
62,14.23174661574318,47489,46560,929,3,3,194,22124,submissions/octavi_6042_onnx/task062.onnx,
63,14.666940264012474,30732,30700,32,3,3,34,3709,submissions/octavi_6042_onnx/task063.onnx,
64,13.210837710262732,131816,131578,238,3,3,48,5809,submissions/octavi_6042_onnx/task064.onnx,
65,14.15231476233671,51415,51338,77,3,3,36,2705,submissions/octavi_6042_onnx/task065.onnx,
66,11.878567055313978,499535,499419,116,3,3,1642,180173,submissions/octavi_6042_onnx/task066.onnx,
67,19.247427361174367,315,282,33,3,3,7,892,submissions/octavi_6042_onnx/task067.onnx,
68,15.20459889732893,17951,17924,27,3,3,23,2335,submissions/octavi_6042_onnx/task068.onnx,
69,13.647595461864874,85170,82858,2312,3,3,380,32330,submissions/octavi_6042_onnx/task069.onnx,
70,13.90050125280863,66138,66060,78,3,3,71,11844,submissions/octavi_6042_onnx/task070.onnx,
71,13.22640401182484,129780,128850,930,3,3,49,12082,submissions/octavi_6042_onnx/task071.onnx,
72,17.34177247383865,2118,2040,78,3,3,9,1625,submissions/octavi_6042_onnx/task072.onnx,
73,18.186555400489105,910,0,910,3,3,1,3825,submissions/octavi_6042_onnx/task073.onnx,
74,15.009188619292196,21825,21780,45,3,3,18,1824,submissions/octavi_6042_onnx/task074.onnx,
75,14.128217673842922,52669,52612,57,3,3,46,7736,submissions/octavi_6042_onnx/task075.onnx,
76,10.340898873742972,2324699,2095201,229498,3,3,220,948872,submissions/octavi_6042_onnx/task076.onnx,
