task_id,file_size,node_count,init_count,init_bytes,init_byte_ratio,biggest_init_bytes,biggest_init_name,biggest_init_size,biggest_init_dtype,big_init_count_4k,big_init_count_64k,big_init_count_512k,has_fp16,has_lookup_ops,ops_top,ops_total,risk_score,risk_flags
task157,837536,415,34,795546,0.9499,783000,plac_idx_963,195750,int32,2,1,1,1,1,"Slice:83, Pad:82, Mul:67, Cast:30, Max:20",415,4.0,high_init_ratio;huge_init>=512KB;has_lookup_ops;fp16
task076,490164,221,44,459476,0.9374,456976,perm_flat,228488,float16,1,1,0,1,1,"Mul:28, Cast:25, Unsqueeze:21, Greater:16, Slice:12",221,3.0,high_init_ratio;big_init>=64KB;has_lookup_ops;fp16
task233,938648,804,105,818606,0.8721,125000,combo,15625,int64,24,1,0,1,1,"Gather:221, Reshape:117, Mul:111, MaxPool:69, ScatterND:53",804,3.0,high_init_ratio;big_init>=64KB;has_lookup_ops;fp16
task133,783434,368,167,1177928,1.5035,324000,anchor_vector_bank,81000,float32,4,4,0,0,0,"Slice:108, Mul:80, Pad:69, Conv:30, Equal:17",368,2.0,high_init_ratio;big_init>=64KB
task363,176806,240,49,155128,0.8774,144400,wk,36100,float32,1,1,0,0,0,"Mul:62, Add:34, Sub:27, Cast:22, Slice:20",240,2.0,high_init_ratio;big_init>=64KB
task009,30956,22,6,29306,0.9467,28800,v0,3600,int64,1,0,0,1,1,"MatMul:4, Greater:4, Cast:2, And:2, Transpose:2",22,2.0,high_init_ratio;has_lookup_ops;fp16
task061,17030,9,12,15754,0.9251,15552,label_bank,1944,int64,1,0,0,1,1,"ReduceSum:2, Slice:1, Greater:1, Cast:1, Sub:1",9,2.0,high_init_ratio;has_lookup_ops;fp16
task175,12985,22,12,10926,0.8414,7200,cast_15,900,int64,1,0,0,1,1,"Cast:4, Mul:3, ReduceSum:2, Add:2, Conv:1",22,2.0,high_init_ratio;has_lookup_ops;fp16
task290,42089,87,42,31842,0.7565,7200,out_r_grid,900,int64,3,0,0,1,1,"Reshape:18, Gather:16, Cast:6, ArgMax:5, And:5",87,2.0,high_init_ratio;has_lookup_ops;fp16
task301,17629,49,10,14692,0.8334,7200,row_grid,900,int64,2,0,0,1,1,"Cast:11, ReduceSum:4, Greater:4, Less:4, ReduceMax:3",49,2.0,high_init_ratio;has_lookup_ops;fp16
task330,12033,21,12,9578,0.796,4000,hist_init,1000,float32,0,0,0,1,1,"Where:7, MaxPool:4, Slice:2, Greater:1, Neg:1",21,2.0,high_init_ratio;has_lookup_ops;fp16
task366,1247277,12414,79,208952,0.1675,68440,/Constant_721_output_0,17110,float32,5,1,0,0,1,"Mul:2421, Cast:1400, Add:1287, Sub:1169, Less:1068",12414,1.5,big_init>=64KB;has_lookup_ops
task058,14221,16,11,13008,0.9147,12800,table_f,6400,float16,1,0,0,1,0,"And:3, Cast:2, Greater:2, Slice:1, ReduceMax:1",16,1.5,high_init_ratio;fp16
task027,16205,25,13,14532,0.8968,12600,zeros7,6300,float16,1,0,0,1,0,"Slice:6, Mul:4, Sub:4, Cast:3, Pad:2",25,1.5,high_init_ratio;fp16
task105,18785,52,12,14572,0.7757,12600,zero_rest,6300,float16,1,0,0,1,0,"Mul:14, Sub:8, Slice:6, MaxPool:4, Pad:4",52,1.5,high_init_ratio;fp16
task123,8805,17,13,7526,0.8547,7200,level_map,900,int64,1,0,0,1,0,"Cast:4, Slice:3, Gather:3, ReduceSum:2, Max:1",17,1.5,high_init_ratio;fp16
task037,20424,27,13,16760,0.8206,6498,identity_conv_sum_group_others_main_w,3249,float16,2,0,0,1,0,"Relu:7, Conv:6, Mul:5, Slice:2, Cast:1",27,1.5,high_init_ratio;fp16
task313,21754,34,12,18178,0.8356,3600,row_grid,900,int32,0,0,0,1,0,"Add:5, Cast:4, ReduceMax:4, Sub:4, Mul:4",34,1.5,high_init_ratio;fp16
task059,7062,21,19,5322,0.7536,2420,lines_const,1210,float16,0,0,0,1,0,"Slice:2, Cast:2, Conv:2, Sub:2, Greater:2",21,1.5,high_init_ratio;fp16
task004,2522,4,4,2040,0.8089,1800,W1,900,float16,0,0,0,1,0,"Conv:2, Cast:1, Relu:1",4,1.5,high_init_ratio;fp16
task107,31694,52,30,27694,0.8738,1800,v12,900,float16,0,0,0,1,0,"Where:19, Gather:9, Less:7, Sub:4, Mul:4",52,1.5,high_init_ratio;fp16
task180,2525,6,5,1916,0.7588,1800,W,900,float16,0,0,0,1,0,"Slice:1, Cast:1, Conv:1, ReduceMax:1, Mul:1",6,1.5,high_init_ratio;fp16
task221,13313,28,26,10198,0.766,1800,G2,900,float16,0,0,0,1,0,"Where:10, Equal:5, Slice:3, Cast:3, ReduceSum:2",28,1.5,high_init_ratio;fp16
task099,19839,1,2,19640,0.99,19600,W,4900,float32,1,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task122,10236,1,2,10040,0.9809,10000,W,2500,float32,1,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task344,10236,1,2,10040,0.9809,10000,W,2500,float32,1,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task083,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task101,39301,206,38,9696,0.2467,7200,/Constant_188_output_0,3600,float16,1,0,0,1,1,"Cast:42, Mul:23, ConvTranspose:19, Conv:18, Slice:14",206,1.0,has_lookup_ops;fp16
task108,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task142,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task152,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task194,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task211,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task214,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task223,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task307,7454,1,1,7200,0.9659,7200,grid,1800,float32,1,0,0,0,0,GridSample:1,1,1.0,high_init_ratio
task396,148123,407,160,98424,0.6645,7200,out_r_grid,900,int64,3,0,0,1,1,"Reshape:64, Gather:55, Conv:48, And:36, Equal:33",407,1.0,has_lookup_ops;fp16
task364,16744,62,21,9966,0.5952,4000,hist_init,1000,float32,0,0,0,1,1,"Where:11, MaxPool:10, And:7, Slice:6, Cast:6",62,1.0,has_lookup_ops;fp16
task015,3798,1,1,3600,0.9479,3600,conv_weight,900,float32,0,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task021,30917,215,20,7416,0.2399,3600,row_grid,900,int32,0,0,0,1,1,"Cast:53, ReduceMax:33, Equal:27, ReduceSum:20, Greater:19",215,1.0,has_lookup_ops;fp16
task073,3825,1,2,3640,0.9516,3600,W,900,float32,0,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task095,3950,1,2,3640,0.9215,3600,net.weight,900,float32,0,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task098,3836,1,2,3640,0.9489,3600,W,900,float32,0,0,0,0,0,Conv:1,1,1.0,high_init_ratio
