task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,16.591060394024016,4487,4463,24,3,3,16,1156,/tmp/ng_scott_dfa/extracted/task001.onnx,
2,13.5104148124377,97693,97200,493,3,3,95,15506,/tmp/ng_scott_dfa/extracted/task002.onnx,
3,15.786066092513687,10036,10026,10,3,3,39,4167,/tmp/ng_scott_dfa/extracted/task003.onnx,
4,14.084547965521434,55020,54000,1020,3,3,4,2522,/tmp/ng_scott_dfa/extracted/task004.onnx,
5,13.313213669153685,118989,118653,336,3,3,106,10910,/tmp/ng_scott_dfa/extracted/task005.onnx,
6,17.4404405039923,1919,1872,47,3,3,10,1364,/tmp/ng_scott_dfa/extracted/task006.onnx,
7,15.869677336009849,9231,9200,31,3,3,13,1603,/tmp/ng_scott_dfa/extracted/task007.onnx,
8,14.933331237322346,23545,23484,61,3,3,78,7667,/tmp/ng_scott_dfa/extracted/task008.onnx,
9,13.69482467517415,81241,77400,3841,3,3,22,30956,/tmp/ng_scott_dfa/extracted/task009.onnx,
10,15.983001688101238,8242,8165,77,3,3,58,6061,/tmp/ng_scott_dfa/extracted/task010.onnx,
11,13.898854540195707,66247,63916,2331,3,3,52,10170,/tmp/ng_scott_dfa/extracted/task011.onnx,
12,15.555378332299151,12640,12536,104,3,3,15,1975,/tmp/ng_scott_dfa/extracted/task012.onnx,
13,13.3310798421544,116882,114625,2257,3,3,91,18384,/tmp/ng_scott_dfa/extracted/task013.onnx,
14,0.0,,,27,3,3,52,2835,/tmp/ng_scott_dfa/extracted/task014.onnx,unmeasurable
15,18.197605236675688,900,0,900,3,3,1,3798,/tmp/ng_scott_dfa/extracted/task015.onnx,
16,22.697414907005953,10,0,10,3,3,1,158,/tmp/ng_scott_dfa/extracted/task016.onnx,
17,14.527540564604424,35329,34685,644,3,3,71,8855,/tmp/ng_scott_dfa/extracted/task017.onnx,
18,11.926438286831228,476185,475190,995,0,3,192,29359,/tmp/ng_scott_dfa/extracted/task018.onnx,
19,13.16583196905603,137884,136056,1828,3,3,35,17887,/tmp/ng_scott_dfa/extracted/task019.onnx,
20,13.590958363748854,90133,89863,270,3,3,245,31378,/tmp/ng_scott_dfa/extracted/task020.onnx,
21,13.823946851672325,71400,69540,1860,3,3,214,38201,/tmp/ng_scott_dfa/extracted/task021.onnx,
22,14.287072229632908,44933,44812,121,3,3,363,43895,/tmp/ng_scott_dfa/extracted/task022.onnx,
23,10.993438596587007,1210521,1210500,21,3,3,395,20163,/tmp/ng_scott_dfa/extracted/task023.onnx,
24,15.88617052840466,9080,8820,260,3,3,27,3233,/tmp/ng_scott_dfa/extracted/task024.onnx,
25,8.712315763556305,11848173,11782980,65193,3,3,7449,826752,/tmp/ng_scott_dfa/extracted/task025.onnx,
26,17.91997350007741,1188,1140,48,3,3,11,1622,/tmp/ng_scott_dfa/extracted/task026.onnx,
27,14.063416936047632,56195,48977,7218,3,3,22,31135,/tmp/ng_scott_dfa/extracted/task027.onnx,
28,15.315290541268443,16070,15752,318,3,3,11,2452,/tmp/ng_scott_dfa/extracted/task028.onnx,
29,13.503437684118467,98377,98207,170,3,3,88,13589,/tmp/ng_scott_dfa/extracted/task029.onnx,
30,0.0,,,60,3,3,91,5691,/tmp/ng_scott_dfa/extracted/task030.onnx,unmeasurable
31,0.0,,,18,3,3,34,1982,/tmp/ng_scott_dfa/extracted/task031.onnx,unmeasurable
32,16.86699978141639,3405,3336,69,3,3,19,2347,/tmp/ng_scott_dfa/extracted/task032.onnx,
33,14.081988539178049,55161,55112,49,3,3,16,1510,/tmp/ng_scott_dfa/extracted/task033.onnx,
34,13.421324248376678,106796,103949,2847,3,3,87,11293,/tmp/ng_scott_dfa/extracted/task034.onnx,
35,14.495179066176581,36491,36276,215,3,3,104,12860,/tmp/ng_scott_dfa/extracted/task035.onnx,
36,0.0,,,25,3,3,63,3416,/tmp/ng_scott_dfa/extracted/task036.onnx,unmeasurable
37,13.937652078450405,63726,55400,8326,3,3,27,20424,/tmp/ng_scott_dfa/extracted/task037.onnx,
38,17.306974251582112,2193,2116,77,3,3,16,2357,/tmp/ng_scott_dfa/extracted/task038.onnx,
39,16.03402681578965,7832,7804,28,3,3,14,1913,/tmp/ng_scott_dfa/extracted/task039.onnx,
40,16.02944082049105,7868,7806,62,3,3,36,4167,/tmp/ng_scott_dfa/extracted/task040.onnx,
41,15.299424541873835,16327,16300,27,3,3,18,2228,/tmp/ng_scott_dfa/extracted/task041.onnx,
42,15.940366245448521,8601,7790,811,3,3,52,9668,/tmp/ng_scott_dfa/extracted/task042.onnx,
43,16.129477454896126,7119,6980,139,3,3,9,1966,/tmp/ng_scott_dfa/extracted/task043.onnx,
44,14.251782166202938,46547,46124,423,3,3,311,22434,/tmp/ng_scott_dfa/extracted/task044.onnx,
45,16.0404313464555,7782,7750,32,3,3,11,1438,/tmp/ng_scott_dfa/extracted/task045.onnx,
46,14.058960292100226,56446,55580,866,3,3,70,8963,/tmp/ng_scott_dfa/extracted/task046.onnx,
47,16.985664262700574,3024,2988,36,3,3,30,3091,/tmp/ng_scott_dfa/extracted/task047.onnx,
48,15.913976462531197,8831,8765,66,3,3,49,5695,/tmp/ng_scott_dfa/extracted/task048.onnx,
49,0.0,,,27,3,3,52,2835,/tmp/ng_scott_dfa/extracted/task049.onnx,unmeasurable
50,15.752845654901101,10375,10125,250,3,3,19,2540,/tmp/ng_scott_dfa/extracted/task050.onnx,
51,13.587204310448836,90472,90393,79,3,3,57,3365,/tmp/ng_scott_dfa/extracted/task051.onnx,
52,17.56751619208288,1690,1647,43,3,3,10,1277,/tmp/ng_scott_dfa/extracted/task052.onnx,
53,21.598802618337846,30,0,30,3,3,1,175,/tmp/ng_scott_dfa/extracted/task053.onnx,
