source,risk_label,task_id,sha256,file_size,nodes,local_score
current_best_6122,lb-verified-current-best,task001,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,1137,14,17.041074
current_best_6122,lb-verified-current-best,task002,4c3205c0141934e8750b205f87c8622ebfd80d2fce3c665797e3b1dd39c1d0b5,15506,95,13.510415
current_best_6122,lb-verified-current-best,task003,155de80550da61e01bc0f6cc5de93f980b0473d08c29baf3bb04a2529f532c86,3120,44,15.883531
current_best_6122,lb-verified-current-best,task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,4,14.084548
current_best_6122,lb-verified-current-best,task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910,106,13.328150
current_best_6122,lb-verified-current-best,task006,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,1124,12,17.603051
current_best_6122,lb-verified-current-best,task007,f428fcccaa7c166df8066ea715126ddcc5f75122c86a8b1c5c59c3e14f1a973b,1320,14,15.981910
current_best_6122,lb-verified-current-best,task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667,78,14.944264
current_best_6122,lb-verified-current-best,task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,22,13.694825
current_best_6122,lb-verified-current-best,task010,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,4038,60,16.479612
current_best_6122,lb-verified-current-best,task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,52,13.898855
current_best_6122,lb-verified-current-best,task012,cf80b1fc317b51dbd8efa9eca069b2dccd1d58066ce1eb61dabe815a96124043,1406,16,15.468881
current_best_6122,lb-verified-current-best,task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,91,13.331080
current_best_6122,lb-verified-current-best,task014,5fbc51089f8ec3347417fc7cc5564199ca02dc5fc6d7cc2a2125273477ae3139,10787,44,13.776812
current_best_6122,lb-verified-current-best,task015,1bdf0a59883c98795d2d54262adc099a55470837e426c2ad60d49f27b069db45,3798,1,18.197605
current_best_6122,lb-verified-current-best,task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158,1,22.697415
current_best_6122,lb-verified-current-best,task017,4a7ffedcf19a4dc495a515c79b88ca30b9399af74abb9a375da3c3a778336340,8620,67,14.414477
current_best_6122,lb-verified-current-best,task018,c2e8e82b394406b4127ebd3b4e74460e0d34b69c8604a6ff6239f9a1608dd4f6,32157,219,11.323875
current_best_6122,lb-verified-current-best,task019,15ee9befb0ab0154e0ac7dbc754f11dd9fcc91ffded719e14d6f91fec78b8a84,10686,35,13.165948
current_best_6122,lb-verified-current-best,task020,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,31378,245,13.590958
current_best_6122,lb-verified-current-best,task021,1b68c55bab642f08a63f4b489c5fbaddf29c9d0eda2dd143baf3ab2374a8277c,30917,215,13.985181
current_best_6122,lb-verified-current-best,task022,fbbcf7777e1f706b0899071564e37bdb5c8b7d7908efc4f47c971a3953e03d07,43895,363,14.287072
current_best_6122,lb-verified-current-best,task023,a7f8f34470a152e1d59c320dca69d0423f7b1759ba43c87af64d876ca672639a,19054,372,11.685827
