source,risk_label,task_id,sha256,file_size,nodes,local_score
candidate_v2,v2-staging,task001,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,1137,14,17.041074
candidate_v2,v2-staging,task002,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,14560,95,13.514518
candidate_v2,v2-staging,task003,155de80550da61e01bc0f6cc5de93f980b0473d08c29baf3bb04a2529f532c86,3120,44,15.883531
candidate_v2,v2-staging,task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,4,14.084548
candidate_v2,v2-staging,task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910,106,13.328150
candidate_v2,v2-staging,task006,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,1124,12,17.603051
candidate_v2,v2-staging,task007,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,1258,13,16.108351
candidate_v2,v2-staging,task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667,78,14.944264
candidate_v2,v2-staging,task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,22,13.694825
candidate_v2,v2-staging,task010,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,4038,60,16.479612
candidate_v2,v2-staging,task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,52,13.898855
candidate_v2,v2-staging,task012,6565dbdc01b75cf0fd11dff727c2312655bcb5fb9e59a8020020ef04a7b5a80c,1951,15,15.555457
candidate_v2,v2-staging,task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,91,13.331080
candidate_v2,v2-staging,task014,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,5317,42,14.427427
candidate_v2,v2-staging,task015,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,3774,1,18.197605
candidate_v2,v2-staging,task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158,1,22.697415
candidate_v2,v2-staging,task017,fb2137630963bd757e3fa76d251d504d01fbf7b1b6106c0e123e2b4b6247e574,8855,71,14.527541
candidate_v2,v2-staging,task018,c2e8e82b394406b4127ebd3b4e74460e0d34b69c8604a6ff6239f9a1608dd4f6,32157,219,11.323875
candidate_v2,v2-staging,task019,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,2566,32,13.693533
candidate_v2,v2-staging,task020,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,31378,245,13.590958
candidate_v2,v2-staging,task021,334b1a23352e02c2ecd25acbcdf05ebb267e56bd92a775c4a47191882da99ecc,38267,214,14.156056
candidate_v2,v2-staging,task022,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,5021,67,14.542024
candidate_v2,v2-staging,task023,381d1261e875c1cddec3fdc4fdca4eff331d3edad2677ad6ba7a97a0d16be814,33067,374,13.807115
candidate_v2,v2-staging,task024,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,3233,27,15.886171
candidate_v2,v2-staging,task025,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,13460,127,13.149938
candidate_v2,v2-staging,task026,7b1677f67eb3a42b35d9d881fb5afa91618d944fae08e6ae12d4aeff0faa3601,1345,13,18.396056
candidate_v2,v2-staging,task027,63da1fe45860bc98d31a806aeabad3d8d81890198997b6d66fe5343ab004d658,16205,25,14.486991
candidate_v2,v2-staging,task028,5882fa43bf7f98d605e8098fc72437800e43705b6484f0675c3c72fae26e9e30,1867,13,15.896132
candidate_v2,v2-staging,task029,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,13589,88,13.516328
candidate_v2,v2-staging,task030,4b0ea4d8a95bcc8bebb70823b35c19ca796ec33edf66cb97a3421c6e43ad143c,4901,64,15.607505
candidate_v2,v2-staging,task031,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,3417,26,15.168223
candidate_v2,v2-staging,task032,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,2347,19,16.867000
candidate_v2,v2-staging,task033,60ab4cceeab38a8952d0157e862ec2f374a51c7d70c00bdecdf9833a703455b5,1510,16,14.081989
candidate_v2,v2-staging,task034,7400b12dcb940f16d35589b5657e932c80b9aa92e8aed8c1f41a38cdff070b08,11293,87,13.421324
candidate_v2,v2-staging,task035,15a9c474e70c83253daaa3ff80387d3b29feadebd4ec8018b87fc277cf69f62a,3707,38,15.360283
candidate_v2,v2-staging,task036,8ad069570318576344e7e26773ca8c93f34a12bc4d8ac98bb1e9cefbccb0c819,5632,56,13.710693
candidate_v2,v2-staging,task037,e19669c0dec2c6b73986d1bd07ec5c19bb0bc452edb6cf3d006f85657ae46d12,20424,27,13.937652
candidate_v2,v2-staging,task038,a83d43302a9ef7e5b284cc1e38fc4ce8deedb152481de569220ea69b94855018,2357,16,17.306974
candidate_v2,v2-staging,task039,4e9c2db4798edb627e65601fb59b0b194a91b536746f1a97fab3a7317054d3be,1913,14,16.041717
candidate_v2,v2-staging,task040,f75c35724647ee41a691e8449bf8b38434ce9912519b1b33845a1eeb08cebff5,4167,36,16.029441
candidate_v2,v2-staging,task041,2ae5ccde56d9118ad549ef2a4383dfc5a74e4b8fcbbd3b3dc4d09c92209444a6,2110,20,15.626776
candidate_v2,v2-staging,task042,ef03e8f8fc1c3d00a4fb8e89f1dc70bc68cf2c46e4d75b1cf83777750aacf344,8543,52,15.950063
candidate_v2,v2-staging,task043,16b05e98645b4d8da6cf555ed59cb2165317fe07248f91dd11f6747c0b38c22b,1966,9,16.129477
candidate_v2,v2-staging,task044,03106f9bd502a04c7aa0acade34deaefdba103fbb21dcfc6ce3d362f74afc6fc,22434,311,14.251782
candidate_v2,v2-staging,task045,c2c9b466ef5bb57994383690491a94770ade65cb13d59fd093064984d2ca44b4,1041,14,16.086988
candidate_v2,v2-staging,task046,776e40c71ae05f511e59e234f5f52931c7f966c95b139fed312451a249a5f138,5299,73,14.582911
candidate_v2,v2-staging,task047,51caa99fe3ce9cb3e122d3a78119ede0e5beb0d8940d7959bece25bbe098d26a,3091,30,16.985664
candidate_v2,v2-staging,task048,5acf8ce760fa9bf51285e7e58505b654e9443d4a70ff885dbf5ecb5fcf8e2723,5917,52,16.368586
candidate_v2,v2-staging,task049,d742f5db9437894536afe2db2b87d8b3899117c92daf69927ab3854301d03698,3516,29,14.674879
candidate_v2,v2-staging,task050,a43a64896f788cffb0e83ee188a7680ae80f27578b1bb607a36e32c9a39258ab,2006,21,15.843588
candidate_v2,v2-staging,task051,1fccc900903384492e825dfc74d6952195755b48411dd42c988cf3bb64ea878c,3372,58,13.866331
candidate_v2,v2-staging,task052,195c01dfdaae84b9a7a585295b8d44c1c3741ab522a7e9d472753ad121d8014d,986,11,17.886858
candidate_v2,v2-staging,task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,175,1,21.598803
candidate_v2,v2-staging,task054,da0ea9c4a4e7de7d20e8867f669de546f57874c7e6fa83c850aad07683855ecc,5551,107,13.077963
candidate_v2,v2-staging,task055,92d4ce9193151139ddee430dfbe552e5a2aa41d1172f6842569d1e37ca664ded,13497,166,14.815477
candidate_v2,v2-staging,task056,9d687659145a785dd2d111cccd06fc2b802bcaaae0c2926b7d39a51406e1254b,815,9,19.638708
candidate_v2,v2-staging,task057,c1e43aa7b8f024cb83ec8144fb50cf67b6ffe8126f4e6abf15f467ecf685b4ba,1616,16,14.714521
candidate_v2,v2-staging,task058,7a4b47e465104bb5b576167d51d642e539c3f9d5bafef55faac8d1987475593b,14221,16,15.313115
candidate_v2,v2-staging,task059,75ad1518669f36600bb72e0eeb074051895d744f7075f6835c090dcbb2a58abe,7062,21,15.076171
candidate_v2,v2-staging,task060,03687375b7e8938e4f841fe856da30c83884468ff07c648d7021c6b6748784bd,2458,20,16.372877
candidate_v2,v2-staging,task061,27289ea0d11a669fe413e1b05826321af3d079ce8a5555fa2610a93704612c2e,17030,9,15.152342
candidate_v2,v2-staging,task062,0a2e640c0671d137a38ff13794cbaaf44ed872742a534c52771f99d309757432,14479,217,14.670951
candidate_v2,v2-staging,task063,5c8811b2da8473750953376c6dbdd913b50bc29b96f9a16a09cf201df9a483ce,3709,34,14.666940
candidate_v2,v2-staging,task064,e218f014e0f41fbf58f0a21d6c18ab365d24b6b93f7c8bb533378039b355a02c,7151,68,13.354705
candidate_v2,v2-staging,task065,4275daec8a235c2656d266c872c9928cf33288d784e4904be2564aa68306a857,2835,37,14.543288
candidate_v2,v2-staging,task066,528e107ac7c8644aeb3a04cb1079719bfeeb25486d89be5e08a4e0b391fd4387,18653,326,13.455004
candidate_v2,v2-staging,task067,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,892,7,19.247427
candidate_v2,v2-staging,task068,e490818d91a162474f9a9ed4c4d7a03517788fb18760e2fe6ca209f592660a82,1602,24,15.559421
candidate_v2,v2-staging,task069,bfa11e10a1b7754b93ff268324f4bdacfe5ca600d6eaecd3d7ecc21b94d2e194,30432,380,13.658456
candidate_v2,v2-staging,task070,c09e95105072fd97b2106ecebc5fdb42c86bd41e9994b310781aa321351ec9d5,11844,71,13.900501
candidate_v2,v2-staging,task071,2d696d39af281a3a0ca1582e413672e8ef38ef9f06d584f19844a45a6e2aa4a2,12082,49,13.226404
candidate_v2,v2-staging,task072,ce9138206dc060641e07a1ee45e8b332b0e4bcdfe0a06d625d8668c10d6d33e5,1289,11,17.822981
candidate_v2,v2-staging,task073,c974fda7fe3001de4bd2200b9065826ac44cf359fcb1949954b82f28411b5b63,3825,1,18.186555
candidate_v2,v2-staging,task074,8194b1eba8a395566d686766b74869219cdfdaec5105dbad5f36b6ef32435be8,1824,18,15.009189
candidate_v2,v2-staging,task075,211a2ab0ea4cb67b9b8714d411d361e7eab6ec1192f0f74155bd9bd9c043c7d1,6812,57,14.742797
candidate_v2,v2-staging,task076,419bbf22d94034edf9dc1d2eed86480945abad297d08dbdaaaaf87ef5d7e2ef5,24619,377,12.292867
candidate_v2,v2-staging,task077,17691436bc7996bb9aa5b6b77bf34cfcc7674700abc8e4d69f7ec65ff4351709,7690,68,13.030200
candidate_v2,v2-staging,task078,c33e2e8bb8525ee7c4bfa0aca9ec69955cdd9a97837985fb38efdb309903089a,1974,25,15.650246
candidate_v2,v2-staging,task079,4a4f6c8381af1ed692a1d279af1ebacd591befb7b825933520d08519653c1d13,2695,20,15.029649
candidate_v2,v2-staging,task080,4b1cd7ffeaf85f936d62097216c4e457e14af1917b41aa32e4ee223cee3ff670,10636,123,14.352625
candidate_v2,v2-staging,task081,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,3749,35,17.256297
candidate_v2,v2-staging,task082,5f994c35d189c6fc8c7c8733202150cd5bd5bb9aa686ef9497ce5a384641de47,1645,20,14.936138
candidate_v2,v2-staging,task083,3526144719574eafa02b2d1fa33a4be836ec96c267520ddd982697e447b8bc98,7454,1,17.504458
candidate_v2,v2-staging,task084,5bd28bac4f427d16b03dfcb9d4ae68237ccb4bb720b534e0e14b2768658ee6a0,2820,23,15.121164
candidate_v2,v2-staging,task085,0cf2b40dcd4fe9bb85de2e251fdca74496734e7c804425012cb1c1110d27505c,2547,20,13.363283
candidate_v2,v2-staging,task086,fb8e2c6895c9222d8bc4c7bef5d953312ac8807d49bf81aae502dff77d8f755a,4384,42,14.885239
candidate_v2,v2-staging,task087,fd8bb9f6e85cbfcd68c2edb1cfd2b2968f4ef9066816b2763110e0086381148b,394,2,19.091917
