source,risk_label,task_id,sha256,file_size,nodes,local_score
nadeem_6252,public-anchor-candidate,task001,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,1137,14,17.041074
nadeem_6252,public-anchor-candidate,task002,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,14560,95,13.514518
nadeem_6252,public-anchor-candidate,task003,f7b1e9c321fcb23c216feb2476ddc69b220eb381e49e0edca3208bd9a8373693,4167,39,15.786066
nadeem_6252,public-anchor-candidate,task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,4,14.084548
nadeem_6252,public-anchor-candidate,task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910,106,13.328150
nadeem_6252,public-anchor-candidate,task006,730e2188defecad529681f66c74dcbe4bc3ea104d8fa752a6f1e719e3bf622bb,1364,10,17.440441
nadeem_6252,public-anchor-candidate,task007,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,1258,13,16.108351
nadeem_6252,public-anchor-candidate,task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667,78,14.944264
nadeem_6252,public-anchor-candidate,task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,22,13.694825
nadeem_6252,public-anchor-candidate,task010,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,4038,60,16.479612
nadeem_6252,public-anchor-candidate,task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,52,13.898855
nadeem_6252,public-anchor-candidate,task012,6565dbdc01b75cf0fd11dff727c2312655bcb5fb9e59a8020020ef04a7b5a80c,1951,15,15.555457
nadeem_6252,public-anchor-candidate,task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,91,13.331080
nadeem_6252,public-anchor-candidate,task014,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,5317,42,14.427427
nadeem_6252,public-anchor-candidate,task015,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,3774,1,18.197605
nadeem_6252,public-anchor-candidate,task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158,1,22.697415
nadeem_6252,public-anchor-candidate,task017,fb2137630963bd757e3fa76d251d504d01fbf7b1b6106c0e123e2b4b6247e574,8855,71,14.527541
nadeem_6252,public-anchor-candidate,task018,5f2d48dfb685523b95f6728e7537afda1089560ef90a4040dd4d493d426b24fc,29359,192,11.926438
nadeem_6252,public-anchor-candidate,task019,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,2566,32,13.693533
nadeem_6252,public-anchor-candidate,task020,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,31378,245,13.590958
nadeem_6252,public-anchor-candidate,task021,334b1a23352e02c2ecd25acbcdf05ebb267e56bd92a775c4a47191882da99ecc,38267,214,14.156056
nadeem_6252,public-anchor-candidate,task022,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,5021,67,14.542024
nadeem_6252,public-anchor-candidate,task023,381d1261e875c1cddec3fdc4fdca4eff331d3edad2677ad6ba7a97a0d16be814,33067,374,13.807115
nadeem_6252,public-anchor-candidate,task024,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,3233,27,15.886171
nadeem_6252,public-anchor-candidate,task025,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,13460,127,13.149938
nadeem_6252,public-anchor-candidate,task026,7b1677f67eb3a42b35d9d881fb5afa91618d944fae08e6ae12d4aeff0faa3601,1345,13,18.396056
nadeem_6252,public-anchor-candidate,task027,63da1fe45860bc98d31a806aeabad3d8d81890198997b6d66fe5343ab004d658,16205,25,14.486991
nadeem_6252,public-anchor-candidate,task028,5882fa43bf7f98d605e8098fc72437800e43705b6484f0675c3c72fae26e9e30,1867,13,15.896132
nadeem_6252,public-anchor-candidate,task029,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,13589,88,13.516328
nadeem_6252,public-anchor-candidate,task030,4b0ea4d8a95bcc8bebb70823b35c19ca796ec33edf66cb97a3421c6e43ad143c,4901,64,15.607505
nadeem_6252,public-anchor-candidate,task031,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,3417,26,15.168223
nadeem_6252,public-anchor-candidate,task032,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,2347,19,16.867000
nadeem_6252,public-anchor-candidate,task033,60ab4cceeab38a8952d0157e862ec2f374a51c7d70c00bdecdf9833a703455b5,1510,16,14.081989
nadeem_6252,public-anchor-candidate,task034,7400b12dcb940f16d35589b5657e932c80b9aa92e8aed8c1f41a38cdff070b08,11293,87,13.421324
nadeem_6252,public-anchor-candidate,task035,15a9c474e70c83253daaa3ff80387d3b29feadebd4ec8018b87fc277cf69f62a,3707,38,15.360283
nadeem_6252,public-anchor-candidate,task036,8ad069570318576344e7e26773ca8c93f34a12bc4d8ac98bb1e9cefbccb0c819,5632,56,13.710693
nadeem_6252,public-anchor-candidate,task037,e19669c0dec2c6b73986d1bd07ec5c19bb0bc452edb6cf3d006f85657ae46d12,20424,27,13.937652
nadeem_6252,public-anchor-candidate,task038,a83d43302a9ef7e5b284cc1e38fc4ce8deedb152481de569220ea69b94855018,2357,16,17.306974
nadeem_6252,public-anchor-candidate,task039,4e9c2db4798edb627e65601fb59b0b194a91b536746f1a97fab3a7317054d3be,1913,14,16.041717
nadeem_6252,public-anchor-candidate,task040,f75c35724647ee41a691e8449bf8b38434ce9912519b1b33845a1eeb08cebff5,4167,36,16.029441
nadeem_6252,public-anchor-candidate,task041,2ae5ccde56d9118ad549ef2a4383dfc5a74e4b8fcbbd3b3dc4d09c92209444a6,2110,20,15.626776
nadeem_6252,public-anchor-candidate,task042,ef03e8f8fc1c3d00a4fb8e89f1dc70bc68cf2c46e4d75b1cf83777750aacf344,8543,52,15.950063
nadeem_6252,public-anchor-candidate,task043,16b05e98645b4d8da6cf555ed59cb2165317fe07248f91dd11f6747c0b38c22b,1966,9,16.129477
nadeem_6252,public-anchor-candidate,task044,03106f9bd502a04c7aa0acade34deaefdba103fbb21dcfc6ce3d362f74afc6fc,22434,311,14.251782
nadeem_6252,public-anchor-candidate,task045,c2c9b466ef5bb57994383690491a94770ade65cb13d59fd093064984d2ca44b4,1041,14,16.086988
nadeem_6252,public-anchor-candidate,task046,776e40c71ae05f511e59e234f5f52931c7f966c95b139fed312451a249a5f138,5299,73,14.582911
nadeem_6252,public-anchor-candidate,task047,51caa99fe3ce9cb3e122d3a78119ede0e5beb0d8940d7959bece25bbe098d26a,3091,30,16.985664
nadeem_6252,public-anchor-candidate,task048,9423c02033058a1188fae998353c04f6fbf4e48361dbee5461896ddd5d49ac28,4058,52,16.367872
nadeem_6252,public-anchor-candidate,task049,d742f5db9437894536afe2db2b87d8b3899117c92daf69927ab3854301d03698,3516,29,14.674879
nadeem_6252,public-anchor-candidate,task050,817ceed6eed8f8639a03c7d8fc0b41ca1fc3ca5ef6ff87cb970dba5a510cd4be,2540,19,15.752846
nadeem_6252,public-anchor-candidate,task051,1fccc900903384492e825dfc74d6952195755b48411dd42c988cf3bb64ea878c,3372,58,13.866331
nadeem_6252,public-anchor-candidate,task052,195c01dfdaae84b9a7a585295b8d44c1c3741ab522a7e9d472753ad121d8014d,986,11,17.886858
nadeem_6252,public-anchor-candidate,task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,175,1,21.598803
nadeem_6252,public-anchor-candidate,task054,da0ea9c4a4e7de7d20e8867f669de546f57874c7e6fa83c850aad07683855ecc,5551,107,13.077963
nadeem_6252,public-anchor-candidate,task055,92d4ce9193151139ddee430dfbe552e5a2aa41d1172f6842569d1e37ca664ded,13497,166,14.815477
nadeem_6252,public-anchor-candidate,task056,9d687659145a785dd2d111cccd06fc2b802bcaaae0c2926b7d39a51406e1254b,815,9,19.638708
nadeem_6252,public-anchor-candidate,task057,c1e43aa7b8f024cb83ec8144fb50cf67b6ffe8126f4e6abf15f467ecf685b4ba,1616,16,14.714521
