source,risk_label,task_id,sha256,file_size,nodes,local_score
needless090_v31,untested-public,task001,ebb36ea9b0192061cbd3c703bd1392b39a07386bf9fd576e8a8d52d0fa1cbaa3,3329,69,
needless090_v31,untested-public,task002,f5310af76c4c138f07be633a42602dd5725c54deaf1607da1d26c44c41047af6,12396,137,
needless090_v31,untested-public,task003,dedb52fe2c700d62eec4a38f2a55039b6002f9d72d11cac9b0c51599ee1727da,9191,138,
needless090_v31,untested-public,task004,ad03b18c372b973509804f4c529287226375c3abccba00c5a92c5042512fe1f1,17700,7,
needless090_v31,untested-public,task006,557c40695617b064f44aa9f0c80321b13d01093a23d00b173911a17a90f1a0fb,1432,20,
needless090_v31,untested-public,task007,dba0489ea14d0dec27ca9939aed220f820fa816b52b7112f4c48f71de43d3ab2,12841,35,
needless090_v31,untested-public,task008,a1eb807d6e7112705489d718925fc4993386d34c44a2055da74fafcc1aa43c1c,5686,103,
needless090_v31,untested-public,task009,70a94f622f607eeabf61eff27d19f692ba4c9d1204c76b068bf3a345d798299f,11215,131,
needless090_v31,untested-public,task010,422f8123ad2ffe44abe17f858e92942ec8d81b5f85b8da17098db58b34f89951,4283,73,
needless090_v31,untested-public,task011,fcedb80c94ccfc7f9001476e4ba00d4f5406294fb5d231c851aff0d77c1b7788,14159,85,
needless090_v31,untested-public,task014,7d9a7150512ebb89fecbf85776d89b16124ded5b5bc73da9b8cbe2ee6031b21e,3586,49,
needless090_v31,untested-public,task015,16fd26359de4f6365cc8846378212fa5d106b4a9ba2c687e9d3f7bc8b667915f,3804,2,
needless090_v31,untested-public,task016,83910c7182c90febad7c942be07b8a1a2a093c83399ddafb8d9b08be95ed6c91,211,2,
needless090_v31,untested-public,task019,b2b87688a4c5e62c56fdf77ed1b90f6566b8ccebfa9fa9f6870240401aa4f00f,2773,45,
needless090_v31,untested-public,task020,3ae5375cb04ffb3997af805ac71bbf6197389d0b1314e544decf595f544cb1c9,6547,53,
needless090_v31,untested-public,task022,85bbd919b7d5921340d79c84c185280391d617f260e59eb4337f550e61987ad5,52655,492,
needless090_v31,untested-public,task024,1cf65efd59864af5805490e996933a641aae133ce655c3c778818ee6583d03bc,1855,9,
needless090_v31,untested-public,task025,4b4bae76b956e5c4dbfa0c9dc9c4f8f3ec95ef5a754dd530668451f2ebc213d3,63962,1075,
needless090_v31,untested-public,task026,d7df7bec062761d807666a7d97c10c47b1746124c6e2a8510a5e39a66e40f49b,1551,23,
needless090_v31,untested-public,task028,83b0e4b96e1b243c4be5579d1979312da35033df56d387bd83e52199d009a292,2174,25,
needless090_v31,untested-public,task029,072922c129588945f7086df2049b027cc482e16ec0c6639eedf305a60ac9bf4a,55728,1014,
needless090_v31,untested-public,task030,7adc83ab0344fafe18d2028b5fe56026915de25a9a0879ce9edaed177499f2e8,5745,92,
needless090_v31,untested-public,task031,4ab1267ec5e8cb1183df2903d6e95bb6ea4ba735e4564c127d0f0d0111e9e061,2676,34,
needless090_v31,untested-public,task032,2bc7da69b5de5ce93ee735931ef0d38ffcd77c817d20d8b0c7fbae8f92799250,1659,25,
needless090_v31,untested-public,task033,f1cb438b2dd173ef2d8672d9bea8196e6895ee32c4ec1c48c3c22842a8fa8483,4937,103,
needless090_v31,untested-public,task035,22cb9b233492771fb216109220e14e57e9550c2280f9d38b1a49f46892186602,7661,118,
needless090_v31,untested-public,task036,96f7dd07d4fee63c41d0043d343a348298b0b2422e4628d53303c4e2ea157e62,4194,59,
needless090_v31,untested-public,task037,b26e273cb68532c72e1aa70d56ada8104822ce67922ae83b9aa8d3d01c30062c,36691,607,
needless090_v31,untested-public,task038,51cac4cf5df344efbb24f900905917ff0019d2528c1b31d22e12647fe2480b0a,1699,33,
needless090_v31,untested-public,task039,3d8f38b60c0ceacb86d290b965ddb0a832dbc402e7a216d40909f60dc23c4207,56106,34,
needless090_v31,untested-public,task040,79360cae3f3c5d38fe8438570b6837fadce7ca7d8d1d9c7a431263fbbe149c10,3994,49,
needless090_v31,untested-public,task041,c5c5d7f7683adb8800ecbd0c71fc464bcc560a3b1c5eb49b5eda7919bd5f4567,51887,165,
needless090_v31,untested-public,task042,af2453d3b68495c9a427053587edce49ebb86d86915bb7d9fb88f6cd124f9033,36041,490,
needless090_v31,untested-public,task043,7e4843a0874d752829d40387c43010c4692db511b6acd93001b2189969731272,1184,23,
needless090_v31,untested-public,task045,8a9c35b81775884a1c289cadea5602babd38370b25a7a7e4b6d1b2b4964af567,17460,47,
needless090_v31,untested-public,task047,2e447b4a48ffa6fcf1fc7a6a1457c5c096d4138443219c0f2a21c79ae5b5f541,22209,119,
needless090_v31,untested-public,task048,151fb938926891d67f285a35131ab8ad554ff9bf9f6e7ced6f1c3cc1ab7f7054,43094,556,
needless090_v31,untested-public,task049,172415c28f57be6bcd04222b748ec95ed482b6f7ee567b02f1a2120d22c23c91,2586,30,
needless090_v31,untested-public,task050,4c68dbd9a76cadece381308fcba3aebf5b264efea4e2c72e9b5224519585a0a0,2033,41,
needless090_v31,untested-public,task051,33569a2c72b29b05f08299009dd54e8c83607a88fc77d84123d3bb690955d6be,24213,389,
needless090_v31,untested-public,task052,711319a80f42b69be1fe9ad7985de6fc83963af9712dbe5f54d772c279cea993,15537,19,
needless090_v31,untested-public,task053,20283d9c1b721c874c3ff3292910afb5c9eca34e2235d6c0381ff4987df8e56f,3834,2,
needless090_v31,untested-public,task056,9b9c9f471085d34bccb55b3e0dd7765a7011c957630fa06a1e40facc389e119f,2088,37,
needless090_v31,untested-public,task057,6ceb982a4799751c281875aabcc8ea0444c6eda63d7f50413fed6b3c51d2a907,1031,15,
needless090_v31,untested-public,task058,fb1ffa08dd169a1d4b36dee82c7d9c6f6817c9d53846d5e8010627591bf26411,1058090,413,
needless090_v31,untested-public,task059,8c6ff5fa19a7adedd56ab543341f6bd51719443e2ca066f78083747e88f3bed1,2903,45,
needless090_v31,untested-public,task060,2e881d9912c9cb0a33f2f56b30840122d6ce2d2d1fe7b34048c7470221594f2a,28407,49,
needless090_v31,untested-public,task061,7a8357e8fd12ef34732c12e53b25ed7d7e732974ed4143d1d097cd9d71fc6881,55242,70,
needless090_v31,untested-public,task062,1397db52e6dd708616a69095a0af901c2fcc75fc7668149e3ed5611717e853c4,16353,245,
needless090_v31,untested-public,task063,1f18007cef815a1f02715803ea12b6558126fc0204256b6a10053b6673e72231,2197,43,
needless090_v31,untested-public,task064,3b96fc7b01ea1b4dea769b9791c06aa19f5a776b89c3140d5179ffd88828730b,13937,229,
needless090_v31,untested-public,task067,190e66222a3ed7c56c46a798f2b82649322e360fcac3f55eda225b6d85d6b9c4,15512,18,
needless090_v31,untested-public,task068,f808f008870a89b10e002afa8d0fe8e644daced77e7729e3a0942c9927b91247,1708,35,
needless090_v31,untested-public,task070,3125bb5869f2c9499ae092240bb355718c86bfde218857616d252387fa850b85,7416,92,
