source,risk_label,task_id,sha256,file_size,nodes,local_score
octavi_6042,untested-public,task001,0fa36f41592b9d78fb9dffa6f03ad41663311c7414ee3ee0ca9a0787ee7553aa,1433,12,16.624601
octavi_6042,untested-public,task002,4c3205c0141934e8750b205f87c8622ebfd80d2fce3c665797e3b1dd39c1d0b5,15506,95,13.510415
octavi_6042,untested-public,task003,f7b1e9c321fcb23c216feb2476ddc69b220eb381e49e0edca3208bd9a8373693,4167,39,15.786066
octavi_6042,untested-public,task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,4,14.084548
octavi_6042,untested-public,task005,dd5681549124eb6d60c83f24b1bd80499fef4bcd62156e5b133ee6069e17f92e,10910,106,13.313214
octavi_6042,untested-public,task006,730e2188defecad529681f66c74dcbe4bc3ea104d8fa752a6f1e719e3bf622bb,1364,10,17.440441
octavi_6042,untested-public,task007,8e0308e58a7da64f203a04e83bc622cfe30b84e06cf914f0feb6c5d4238ced60,1603,13,15.869677
octavi_6042,untested-public,task008,662af396ddc9ba7a33d3a0179ae26ef1ac06a69bc0c08ef6be718fa379001d10,7667,78,14.933331
octavi_6042,untested-public,task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,22,13.694825
octavi_6042,untested-public,task010,a5dd47c7b1bf11a5f9b073d7147d66749b67169969a9eb7befc020d4dc21116f,6061,58,15.983002
octavi_6042,untested-public,task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,52,13.898855
octavi_6042,untested-public,task012,35326b3a2dcb8e024ed7dbf141f6b861694663c1339546fd0adb3ad8e2ff5e77,1948,15,15.448200
octavi_6042,untested-public,task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,91,13.331080
octavi_6042,untested-public,task014,d81dcec7f3d336ac99f0d2ab79de21ef8ec5cac2d6d4e1d007e4a3621d5601f1,14357,166,12.629736
octavi_6042,untested-public,task015,1bdf0a59883c98795d2d54262adc099a55470837e426c2ad60d49f27b069db45,3798,1,18.197605
octavi_6042,untested-public,task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158,1,22.697415
octavi_6042,untested-public,task017,4a7ffedcf19a4dc495a515c79b88ca30b9399af74abb9a375da3c3a778336340,8620,67,14.414477
octavi_6042,untested-public,task018,c2e8e82b394406b4127ebd3b4e74460e0d34b69c8604a6ff6239f9a1608dd4f6,32157,219,11.323875
octavi_6042,untested-public,task019,eecf7625da383cb85e5c0579fb3b8635767d444eff594d0b30dfd79b2d44ffb1,17887,35,13.165832
octavi_6042,untested-public,task020,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,31378,245,13.590958
octavi_6042,untested-public,task021,ad3a9c687f16064647945d87ed6dafabd97fd47d1996f7b05524117c9c9ea6c2,38201,214,13.823947
octavi_6042,untested-public,task022,fbbcf7777e1f706b0899071564e37bdb5c8b7d7908efc4f47c971a3953e03d07,43895,363,14.287072
octavi_6042,untested-public,task023,ef622078bd8c8defacc123a095e675192e57f75e2ad92f0c8e65b9e6ee7dcda2,20163,395,10.993439
octavi_6042,untested-public,task024,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,3233,27,15.886171
octavi_6042,untested-public,task025,7169ae516d8a1713e7374289de88cd61af87c43411175c42827a4e2ef09a117d,826752,7449,8.712316
octavi_6042,untested-public,task026,55fef566fec33039e2cd8b0d9c807e31312de241a47ce0510f3f2add6aa3c844,1622,11,17.919974
octavi_6042,untested-public,task027,cd99565e3aecbf39b54548dda245a23f47f986f704cadf8b4eb1103c2227d324,31135,22,14.063417
octavi_6042,untested-public,task028,ff8e899132d21f24310c765b663d1fef6199fd6490f672beeac53d97a10db770,51218,10,12.830747
octavi_6042,untested-public,task029,25fd930dd65d6c39e3db30c12b581ca4e5dd8c8aea1ce2a272e893b8ea92fac5,13589,88,13.503438
octavi_6042,untested-public,task030,76e48b2967fe619c83c5b215c89d8aee30008e2d7f263137f5af078b6135d592,9441,56,14.169341
octavi_6042,untested-public,task031,b90c3fc6af40739352e474797fcd60c161bf6ecf6e4312dd7060ba0ff8383f7a,3417,26,15.164363
octavi_6042,untested-public,task032,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,2347,19,16.867000
octavi_6042,untested-public,task033,60ab4cceeab38a8952d0157e862ec2f374a51c7d70c00bdecdf9833a703455b5,1510,16,14.081989
octavi_6042,untested-public,task034,7400b12dcb940f16d35589b5657e932c80b9aa92e8aed8c1f41a38cdff070b08,11293,87,13.421324
octavi_6042,untested-public,task035,642759a6cd0998d967d7e85356f0cf80fd0c469cf314344c5a9a6ada44a385c9,12869,104,14.410868
octavi_6042,untested-public,task036,76facc8f1d2b1b6691dc621f3160abfd35d151bfaf74961ef3d21abebefdb575,5866,56,13.710331
octavi_6042,untested-public,task037,e19669c0dec2c6b73986d1bd07ec5c19bb0bc452edb6cf3d006f85657ae46d12,20424,27,13.937652
octavi_6042,untested-public,task038,a83d43302a9ef7e5b284cc1e38fc4ce8deedb152481de569220ea69b94855018,2357,16,17.306974
octavi_6042,untested-public,task039,3bac77b4053405c006f1695572c1a8853909392131b90cc60df799a75bef2677,1913,14,16.034027
octavi_6042,untested-public,task040,b2981947dbae7b221cfedb86a55a6b82613d48908ff0ba0862ea2e06deb9befb,4104,36,15.688187
octavi_6042,untested-public,task041,b84ce39398538ef8f1ecee3d2e64c3e0d80db902edf7e23098fcb22c816e3c8d,2228,18,15.299425
octavi_6042,untested-public,task042,61704243d0814f6344a7541e90aec41f9e115f16368a7d57bc896bc807d12eca,8398,54,14.593648
octavi_6042,untested-public,task043,16b05e98645b4d8da6cf555ed59cb2165317fe07248f91dd11f6747c0b38c22b,1966,9,16.129477
octavi_6042,untested-public,task044,d7be538649eb0e8a61367a01fdbdf5446c5aa4d1cbb20ee5b0fd67c3b5abc7c9,148684,1054,10.317262
octavi_6042,untested-public,task045,43dc4b647f1683ea779fb39571b0cdbbad8fdcfd27c8713aaa44314281d7c131,1438,11,16.040431
octavi_6042,untested-public,task046,902e4e1129d73fe4576d763127cc56d0574b72b02f96a7f8e1fe84e5f6e0eaf0,8963,70,14.058960
octavi_6042,untested-public,task047,47a46e508c02fcb38993c9c78919ba4f305ff5f3d9149399dbaf51657f0d10ec,3246,31,16.070697
octavi_6042,untested-public,task048,d4c7088b8aa6bf4b2b226ce0dacecda44faf247049312f97e6d3e0d87574fa0a,5695,49,15.913976
octavi_6042,untested-public,task049,a37e8cb1f6134fded24f6bb205efbdfe9c4b4f96f2b9195d9db3108653eadb0c,3516,29,14.613685
octavi_6042,untested-public,task050,817ceed6eed8f8639a03c7d8fc0b41ca1fc3ca5ef6ff87cb970dba5a510cd4be,2540,19,15.752846
octavi_6042,untested-public,task051,86c7a1f4a9e1078f7176aac19c741859d1d72d5c8deeca5cd5fea73bfa951c7c,3365,57,13.587204
octavi_6042,untested-public,task052,a506cc379f43f613ec0879da1737edf134628e2d759c6d40c886ba16e97ef73b,1277,10,17.567516
octavi_6042,untested-public,task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,175,1,21.598803
octavi_6042,untested-public,task054,a2e77f3a92ad3273e4de5710e47222a0da5f4948d3fcf9860f0675f88f35a8c6,9728,118,12.887930
