source,risk_label,task_id,sha256,file_size,nodes,local_score
octaviograu_6154,cherrypick-unsafe,task001,0fa36f41592b9d78fb9dffa6f03ad41663311c7414ee3ee0ca9a0787ee7553aa,1433,12,16.624601
octaviograu_6154,cherrypick-unsafe,task002,4c3205c0141934e8750b205f87c8622ebfd80d2fce3c665797e3b1dd39c1d0b5,15506,95,13.510415
octaviograu_6154,cherrypick-unsafe,task003,f7b1e9c321fcb23c216feb2476ddc69b220eb381e49e0edca3208bd9a8373693,4167,39,15.786066
octaviograu_6154,cherrypick-unsafe,task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,4,14.084548
octaviograu_6154,cherrypick-unsafe,task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910,106,13.328150
octaviograu_6154,cherrypick-unsafe,task006,730e2188defecad529681f66c74dcbe4bc3ea104d8fa752a6f1e719e3bf622bb,1364,10,17.440441
octaviograu_6154,cherrypick-unsafe,task007,8e0308e58a7da64f203a04e83bc622cfe30b84e06cf914f0feb6c5d4238ced60,1603,13,15.869677
octaviograu_6154,cherrypick-unsafe,task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667,78,14.944264
octaviograu_6154,cherrypick-unsafe,task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,22,13.694825
octaviograu_6154,cherrypick-unsafe,task010,a5dd47c7b1bf11a5f9b073d7147d66749b67169969a9eb7befc020d4dc21116f,6061,58,15.983002
octaviograu_6154,cherrypick-unsafe,task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,52,13.898855
octaviograu_6154,cherrypick-unsafe,task012,8640eb9bb99f42035cb8d1dcd01054394706bac095af83170bf95a5d05a0d203,1975,15,15.555378
octaviograu_6154,cherrypick-unsafe,task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,91,13.331080
