source,task_id,pass,total,score,cost,anchor_score,anchor_cost,delta,error,path
biohack44_superior,1,268,268,17.04107350694989,2861,17.04107350694989,2861,0.0,,submissions/biohack44_superior_onnx/task001.onnx
biohack44_superior,2,268,268,13.5104148124377,97693,13.514517676859928,97293,-0.004102864422227626,,submissions/biohack44_superior_onnx/task002.onnx
biohack44_superior,3,265,265,15.883750551423413,9102,15.883530843633888,9104,0.0002197077895242927,,submissions/biohack44_superior_onnx/task003.onnx
biohack44_superior,4,265,265,14.084547965521434,55020,14.084547965521434,55020,0.0,,submissions/biohack44_superior_onnx/task004.onnx
biohack44_superior,5,266,266,13.328149556042213,117225,13.328149556042213,117225,0.0,,submissions/biohack44_superior_onnx/task005.onnx
biohack44_superior,6,266,266,17.603051397378987,1631,17.603051397378987,1631,0.0,,submissions/biohack44_superior_onnx/task006.onnx
biohack44_superior,7,266,266,15.981910315895657,8251,16.108350887349943,7271,-0.12644057145428533,,submissions/biohack44_superior_onnx/task007.onnx
biohack44_superior,8,266,266,14.94426357492621,23289,14.94426357492621,23289,0.0,,submissions/biohack44_superior_onnx/task008.onnx
biohack44_superior,9,265,265,13.69482467517415,81241,13.69482467517415,81241,0.0,,submissions/biohack44_superior_onnx/task009.onnx
biohack44_superior,10,265,265,16.479611917687244,5016,16.479611917687244,5016,0.0,,submissions/biohack44_superior_onnx/task010.onnx
biohack44_superior,11,267,267,13.898854540195707,66247,13.898854540195707,66247,0.0,,submissions/biohack44_superior_onnx/task011.onnx
biohack44_superior,12,265,265,15.555378332299151,12640,15.556090611226026,12631,-0.0007122789268745322,,submissions/biohack44_superior_onnx/task012.onnx
biohack44_superior,13,267,267,13.3310798421544,116882,13.3310798421544,116882,0.0,,submissions/biohack44_superior_onnx/task013.onnx
biohack44_superior,14,266,266,14.344789801999697,42413,14.427427453254685,39049,-0.08263765125498779,,submissions/biohack44_superior_onnx/task014.onnx
biohack44_superior,15,265,265,18.197605236675688,900,18.197605236675688,900,0.0,,submissions/biohack44_superior_onnx/task015.onnx
biohack44_superior,16,267,267,22.697414907005953,10,22.697414907005953,10,0.0,,submissions/biohack44_superior_onnx/task016.onnx
biohack44_superior,17,266,266,14.527540564604424,35329,14.545245701700358,34709,-0.01770513709593402,,submissions/biohack44_superior_onnx/task017.onnx
biohack44_superior,18,0,266,11.926438286831228,476185,11.926438286831228,476185,0.0,,submissions/biohack44_superior_onnx/task018.onnx
biohack44_superior,19,267,267,13.16583196905603,137884,13.69353305881371,81346,-0.527701089757679,,submissions/biohack44_superior_onnx/task019.onnx
biohack44_superior,20,266,266,13.590958363748854,90133,13.590958363748854,90133,0.0,,submissions/biohack44_superior_onnx/task020.onnx
biohack44_superior,21,0,266,0.0,,14.225072648727613,47807,-14.225072648727613,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 286, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 3 with size 30",submissions/biohack44_superior_onnx/task021.onnx
biohack44_superior,22,266,266,14.287673304907853,44906,14.542024067963268,34821,-0.25435076305541493,,submissions/biohack44_superior_onnx/task022.onnx
biohack44_superior,23,266,266,13.798953676207402,73207,13.807114523589679,72612,-0.008160847382276515,,submissions/biohack44_superior_onnx/task023.onnx
biohack44_superior,24,266,266,15.88617052840466,9080,15.88617052840466,9080,0.0,,submissions/biohack44_superior_onnx/task024.onnx
biohack44_superior,25,266,266,13.149938233234366,140093,13.149938233234366,140093,0.0,,submissions/biohack44_superior_onnx/task025.onnx
