task_id,pass,total,score,cost,anchor_score,anchor_cost,delta,error,path
1,268,268,17.047384888349,2843,17.04107350694989,2861,0.006311381399111582,,/tmp/ng_seddik_precision/submission/task001.onnx
2,268,268,13.514517676859928,97293,13.514517676859928,97293,0.0,,/tmp/ng_seddik_precision/submission/task002.onnx
3,265,265,15.786066092513687,10036,15.883750551423413,9102,-0.09768445890972544,,/tmp/ng_seddik_precision/submission/task003.onnx
4,265,265,14.084547965521434,55020,14.084547965521434,55020,0.0,,/tmp/ng_seddik_precision/submission/task004.onnx
5,266,266,13.328149556042213,117225,13.328149556042213,117225,0.0,,/tmp/ng_seddik_precision/submission/task005.onnx
6,266,266,17.4404405039923,1919,17.603051397378987,1631,-0.1626108933866881,,/tmp/ng_seddik_precision/submission/task006.onnx
7,266,266,16.108350887349943,7271,16.108350887349943,7271,0.0,,/tmp/ng_seddik_precision/submission/task007.onnx
8,266,266,14.94426357492621,23289,14.94426357492621,23289,0.0,,/tmp/ng_seddik_precision/submission/task008.onnx
9,265,265,13.69482467517415,81241,13.69482467517415,81241,0.0,,/tmp/ng_seddik_precision/submission/task009.onnx
10,265,265,16.479611917687244,5016,16.479611917687244,5016,0.0,,/tmp/ng_seddik_precision/submission/task010.onnx
11,267,267,13.898854540195707,66247,13.898854540195707,66247,0.0,,/tmp/ng_seddik_precision/submission/task011.onnx
12,265,265,15.555457449352874,12639,15.556090611226026,12631,-0.0006331618731518773,,/tmp/ng_seddik_precision/submission/task012.onnx
13,267,267,13.3310798421544,116882,13.3310798421544,116882,0.0,,/tmp/ng_seddik_precision/submission/task013.onnx
14,266,266,14.427427453254685,39049,14.427427453254685,39049,0.0,,/tmp/ng_seddik_precision/submission/task014.onnx
15,265,265,18.197605236675688,900,18.197605236675688,900,0.0,,/tmp/ng_seddik_precision/submission/task015.onnx
16,267,267,22.697414907005953,10,22.697414907005953,10,0.0,,/tmp/ng_seddik_precision/submission/task016.onnx
17,266,266,14.540073127737525,34889,14.545245701700358,34709,-0.005172573962832772,,/tmp/ng_seddik_precision/submission/task017.onnx
18,0,266,11.926440386857584,476184,11.926438286831228,476185,2.100026355478235e-06,,/tmp/ng_seddik_precision/submission/task018.onnx
19,267,267,13.69353305881371,81346,13.69353305881371,81346,0.0,,/tmp/ng_seddik_precision/submission/task019.onnx
20,266,266,13.590958363748854,90133,13.590958363748854,90133,0.0,,/tmp/ng_seddik_precision/submission/task020.onnx
21,0,266,0.0,,14.225072648727613,47807,-14.225072648727613,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 286, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 3 with size 30",/tmp/ng_seddik_precision/submission/task021.onnx
22,266,266,14.542024067963268,34821,14.542024067963268,34821,0.0,,/tmp/ng_seddik_precision/submission/task022.onnx
23,266,266,13.807114523589679,72612,13.807114523589679,72612,0.0,,/tmp/ng_seddik_precision/submission/task023.onnx
24,266,266,15.88617052840466,9080,15.88617052840466,9080,0.0,,/tmp/ng_seddik_precision/submission/task024.onnx
25,266,266,13.149938233234366,140093,13.149938233234366,140093,0.0,,/tmp/ng_seddik_precision/submission/task025.onnx
26,268,268,18.415208607614282,724,18.415208607614282,724,0.0,,/tmp/ng_seddik_precision/submission/task026.onnx
27,265,265,14.486991470971319,36791,14.486991470971319,36791,0.0,,/tmp/ng_seddik_precision/submission/task027.onnx
28,265,265,15.896131872534333,8990,15.896131872534333,8990,0.0,,/tmp/ng_seddik_precision/submission/task028.onnx
29,266,266,13.516328283804857,97117,13.516328283804857,97117,0.0,,/tmp/ng_seddik_precision/submission/task029.onnx
30,266,266,15.607504751786962,11998,15.77240927461729,10174,-0.1649045228303283,,/tmp/ng_seddik_precision/submission/task030.onnx
31,266,266,15.168223295017873,18616,15.168223295017873,18616,0.0,,/tmp/ng_seddik_precision/submission/task031.onnx
32,266,266,16.86699978141639,3405,16.86699978141639,3405,0.0,,/tmp/ng_seddik_precision/submission/task032.onnx
33,265,265,14.081988539178049,55161,14.081988539178049,55161,0.0,,/tmp/ng_seddik_precision/submission/task033.onnx
34,267,267,13.421324248376678,106796,13.425828929592994,106316,-0.0045046812163160865,,/tmp/ng_seddik_precision/submission/task034.onnx
35,266,266,15.36028269986934,15363,15.36028269986934,15363,0.0,,/tmp/ng_seddik_precision/submission/task035.onnx
36,265,265,13.710918331458375,79944,13.710918331458375,79944,0.0,,/tmp/ng_seddik_precision/submission/task036.onnx
37,266,266,13.937652078450405,63726,13.937652078450405,63726,0.0,,/tmp/ng_seddik_precision/submission/task037.onnx
38,266,266,17.306974251582112,2193,17.306974251582112,2193,0.0,,/tmp/ng_seddik_precision/submission/task038.onnx
39,264,264,16.04171718950267,7772,16.04171718950267,7772,0.0,,/tmp/ng_seddik_precision/submission/task039.onnx
40,266,266,16.02944082049105,7868,16.02944082049105,7868,0.0,,/tmp/ng_seddik_precision/submission/task040.onnx
41,266,266,15.626775765122337,11769,15.626775765122337,11769,0.0,,/tmp/ng_seddik_precision/submission/task041.onnx
42,266,266,15.950063149516842,8518,15.950063149516842,8518,0.0,,/tmp/ng_seddik_precision/submission/task042.onnx
43,266,266,16.129477454896126,7119,16.129477454896126,7119,0.0,,/tmp/ng_seddik_precision/submission/task043.onnx
44,266,266,14.252104473063342,46532,14.30926035860212,43947,-0.05715588553877815,,/tmp/ng_seddik_precision/submission/task044.onnx
45,265,265,16.0873920363291,7425,16.0873920363291,7425,0.0,,/tmp/ng_seddik_precision/submission/task045.onnx
46,267,267,14.58291068075113,33426,14.58291068075113,33426,0.0,,/tmp/ng_seddik_precision/submission/task046.onnx
47,265,265,16.985664262700574,3024,16.985664262700574,3024,0.0,,/tmp/ng_seddik_precision/submission/task047.onnx
48,270,270,16.367872270491663,5609,16.36858566449374,5605,-0.000713394002076484,,/tmp/ng_seddik_precision/submission/task048.onnx
49,268,268,14.674878758194124,30489,14.674878758194124,30489,0.0,,/tmp/ng_seddik_precision/submission/task049.onnx
