task,source,score,cost,delta_vs_cur
1,current,17.04107350694989,2861.0,0.0
2,current,13.5104148124377,97693.0,0.0
3,current,15.883530843633888,9104.0,0.0
4,current,14.084547965521434,55020.0,0.0
5,current,13.328149556042211,117225.0,0.0
6,current,17.603051397378987,1631.0,0.0
7,current,15.981910315895655,8251.0,0.0
8,current,14.94426357492621,23289.0,0.0
9,current,13.69482467517415,81241.0,0.0
10,current,16.479611917687244,5016.0,0.0
11,current,13.898854540195709,66247.0,0.0
12,current,15.468881328082846,13782.0,0.0
13,current,13.3310798421544,116882.0,0.0
14,current,13.776812051793966,74846.0,0.0
15,current,18.197605236675688,900.0,0.0
16,current,22.697414907005953,10.0,0.0
17,current,14.414476771658643,39558.0,0.0
18,konbu,13.223695401101164,130132.0,1.8998208956624776
19,current,13.165948015358635,137868.0,0.0
20,current,13.590958363748854,90133.0,0.0
21,current,13.985181386387987,60768.0,0.0
22,current,14.287072229632908,44933.0,0.0
23,konbu,15.009051171693878,21828.0,3.3232242837644694
24,current,15.88617052840466,9080.0,0.0
25,konbu,13.600400020341894,89286.0,1.3393454548967316
26,current,18.39605617539953,738.0,0.0
27,current,14.48699147097132,36791.0,0.0
28,current,15.896131872534331,8990.0,0.0
29,current,13.503437684118468,98377.0,0.0
30,current,14.250923188762702,46587.0,0.0
31,current,15.164363114372046,18688.0,0.0
32,current,16.86699978141639,3405.0,0.0
33,current,14.081988539178049,55161.0,0.0
34,current,13.421324248376678,106796.0,0.0
35,current,14.846026139757956,25693.0,0.0
36,current,13.71033059267258,79991.0,0.0
37,current,13.937652078450403,63726.0,0.0
38,current,17.306974251582112,2193.0,0.0
39,current,16.03402681578965,7832.0,0.0
40,current,15.77792870514812,10118.0,0.0
41,current,15.299424541873837,16327.0,0.0
42,current,15.255097946581245,17067.0,0.0
43,current,16.129477454896126,7119.0,0.0
44,konbu,14.632621210887097,31805.0,4.315359559355775
45,current,16.0404313464555,7782.0,0.0
46,current,14.58291068075113,33426.0,0.0
47,current,16.492857144437266,4950.0,0.0
48,current,16.36858566449374,5605.0,0.0
49,current,14.613685144124744,32413.0,0.0
50,current,15.843587970049374,9475.0,0.0
51,current,13.866331106969804,68437.0,0.0
52,current,17.886857891292912,1228.0,0.0
53,current,21.59880261833785,30.0,0.0
54,current,12.887930388960946,182056.0,0.0
55,current,14.815477417733884,26490.0,0.0
56,current,18.672063216270807,560.0,0.0
57,current,14.24604105662701,46815.0,0.0
58,current,15.3131149382347,16105.0,0.0
59,current,15.076170749805955,20411.0,0.0
60,current,16.372876749211567,5581.0,0.0
61,current,15.152342332424542,18914.0,0.0
62,current,14.670950637656585,30609.0,0.0
63,current,14.666940264012474,30732.0,0.0
64,current,13.210837710262732,131816.0,0.0
65,current,14.543288472281263,34777.0,0.0
66,konbu,15.028480037072043,21408.0,3.1499129817580656
67,current,19.247427361174367,315.0,0.0
68,current,15.55942130423374,12589.0,0.0
69,current,13.657032832840327,84370.0,0.0
70,current,13.90050125280863,66138.0,0.0
71,current,13.22640401182484,129780.0,0.0
72,current,17.801068759311825,1338.0,0.0
73,current,18.186555400489105,910.0,0.0
74,current,15.009188619292196,21825.0,0.0
75,current,14.742796878157792,28487.0,0.0
76,konbu,14.503627688842322,36184.0,3.6687530263345955
77,current,12.83291249537243,192353.0,0.0
78,current,15.65024557224114,11496.0,0.0
79,current,14.87525066556768,24953.0,0.0
80,current,13.047884557519986,155145.0,0.0
81,current,17.256296741826247,2307.0,0.0
82,current,14.936138316402742,23479.0,0.0
83,current,17.504458056115745,1800.0,0.0
84,biohack,15.121163810905,19513.0,0.435700849843192
85,current,13.36328292042622,113178.0,0.0
86,current,14.88523906872015,24705.0,0.0
87,current,19.070410856610103,376.0,0.0
88,current,13.468547230415888,101870.0,0.0
89,current,14.179382068192274,50042.0,0.0
90,current,13.94350667496543,63354.0,0.0
91,current,14.150760005440098,51495.0,0.0
92,current,13.071487493631263,151526.0,0.0
93,current,14.579416523184522,33543.0,0.0
94,current,14.351722033752088,42120.0,0.0
95,current,18.186555400489105,910.0,0.0
96,konbu,14.71233907482333,29368.0,2.794036695501644
97,current,13.85348240488441,69322.0,0.0
98,current,18.186555400489105,910.0,0.0
99,current,16.500970779211436,4910.0,0.0
100,current,16.135535944720324,7076.0,0.0
101,konbu,13.904424994937168,65879.0,2.952544565063107
102,current,14.292472581952298,44691.0,0.0
103,current,19.454822555520437,256.0,0.0
104,current,16.767293990139024,3762.0,0.0
105,current,14.495480555811731,36480.0,0.0
106,current,17.940382371708615,1164.0,0.0
107,current,13.806577566471388,72651.0,0.0
108,current,17.504458056115745,1800.0,0.0
109,current,13.542048278177983,94651.0,0.0
110,current,13.329165213468928,117106.0,0.0
111,current,18.319145321209785,797.0,0.0
112,current,14.010141445218116,59270.0,0.0
113,current,21.59880261833785,30.0,0.0
114,current,17.865906278807135,1254.0,0.0
115,current,16.675906238549594,4122.0,0.0
116,current,21.59880261833785,30.0,0.0
117,current,15.193794570270423,18146.0,0.0
118,konbu,13.979847427688313,61093.0,3.563508273327672
119,current,14.224215401275607,47848.0,0.0
120,current,18.186555400489105,910.0,0.0
121,current,16.215837777729526,6530.0,0.0
122,current,17.17196196787417,2510.0,0.0
123,current,16.680282613149394,4104.0,0.0
124,current,15.70596206900225,10873.0,0.0
125,current,15.495722161409528,13417.0,0.0
126,current,13.636839844664504,86091.0,0.0
127,current,18.197605236675688,900.0,0.0
128,current,13.537925821853902,95042.0,0.0
129,biohack,18.306676331730053,807.0,0.013538668332799375
130,current,15.322911291498754,15948.0,0.0
131,current,14.295632567101045,44550.0,0.0
132,current,14.709279200950512,29458.0,0.0
133,konbu,12.824783547959548,193923.0,3.875097236841242
134,current,15.259207863122649,16997.0,0.0
135,current,19.097366666598635,366.0,0.0
136,current,15.571890493047064,12433.0,0.0
137,current,14.031215675327037,58034.0,0.0
138,current,12.804159525036075,197964.0,0.0
139,current,16.803012072741105,3630.0,0.0
140,current,19.070410856610103,376.0,0.0
141,current,15.33103297180142,15819.0,0.0
142,current,17.504458056115745,1800.0,0.0
143,current,15.12486048297936,19441.0,0.0
144,current,18.333043207570793,786.0,0.0
145,current,13.796906788126128,73357.0,0.0
146,current,17.27865138738205,2256.0,0.0
147,current,18.186555400489105,910.0,0.0
148,current,14.99988495388028,22029.0,0.0
149,current,16.45538621300777,5139.0,0.0
150,current,18.01899425927827,1076.0,0.0
151,current,18.186555400489105,910.0,0.0
152,current,17.504458056115745,1800.0,0.0
153,konbu,15.64989768564866,11500.0,4.18510951374766
154,current,14.07194146650494,55718.0,0.0
