task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,17.047384888349,2843,2819,24,1,1,13,1082,/tmp/surgical_onnx/submission/task001.onnx,
2,13.514517676859928,97293,97200,93,1,1,95,14560,/tmp/surgical_onnx/submission/task002.onnx,
3,15.786066092513687,10036,10026,10,1,1,39,4167,/tmp/surgical_onnx/submission/task003.onnx,
4,14.084547965521434,55020,54000,1020,1,1,4,2522,/tmp/surgical_onnx/submission/task004.onnx,
5,13.328149556042213,117225,116889,336,1,1,106,10910,/tmp/surgical_onnx/submission/task005.onnx,
6,17.4404405039923,1919,1872,47,1,1,10,1364,/tmp/surgical_onnx/submission/task006.onnx,
7,16.108350887349943,7271,7240,31,1,1,13,1258,/tmp/surgical_onnx/submission/task007.onnx,
8,14.94426357492621,23289,23228,61,1,1,78,7667,/tmp/surgical_onnx/submission/task008.onnx,
9,13.69482467517415,81241,77400,3841,1,1,22,30956,/tmp/surgical_onnx/submission/task009.onnx,
10,16.479611917687244,5016,4939,77,1,1,60,4038,/tmp/surgical_onnx/submission/task010.onnx,
11,13.898854540195707,66247,63916,2331,1,1,52,10170,/tmp/surgical_onnx/submission/task011.onnx,
12,15.555457449352874,12639,12536,103,1,1,15,1951,/tmp/surgical_onnx/submission/task012.onnx,
13,13.3310798421544,116882,114625,2257,1,1,91,18384,/tmp/surgical_onnx/submission/task013.onnx,
14,14.427427453254685,39049,38399,650,1,1,42,5317,/tmp/surgical_onnx/submission/task014.onnx,
15,18.197605236675688,900,0,900,1,1,1,3774,/tmp/surgical_onnx/submission/task015.onnx,
16,22.697414907005953,10,0,10,1,1,1,158,/tmp/surgical_onnx/submission/task016.onnx,
17,14.540073127737525,34889,34685,204,1,1,71,8405,/tmp/surgical_onnx/submission/task017.onnx,
18,11.926440386857584,476184,475190,994,0,1,192,29293,/tmp/surgical_onnx/submission/task018.onnx,
19,13.69353305881371,81346,81276,70,1,1,32,2566,/tmp/surgical_onnx/submission/task019.onnx,
20,13.590958363748854,90133,89863,270,1,1,245,31378,/tmp/surgical_onnx/submission/task020.onnx,
21,14.156056071090937,51223,49362,1861,1,1,214,38267,/tmp/surgical_onnx/submission/task021.onnx,
22,14.542024067963268,34821,34628,193,1,1,67,5021,/tmp/surgical_onnx/submission/task022.onnx,
23,13.807114523589679,72612,72567,45,1,1,374,33067,/tmp/surgical_onnx/submission/task023.onnx,
24,15.88617052840466,9080,8820,260,1,1,27,3233,/tmp/surgical_onnx/submission/task024.onnx,
25,13.149938233234366,140093,140028,65,1,1,127,13460,/tmp/surgical_onnx/submission/task025.onnx,
26,18.415208607614282,724,690,34,1,1,13,1309,/tmp/surgical_onnx/submission/task026.onnx,
27,14.486991470971319,36791,29573,7218,1,1,25,16205,/tmp/surgical_onnx/submission/task027.onnx,
28,15.896131872534333,8990,8676,314,1,1,13,1867,/tmp/surgical_onnx/submission/task028.onnx,
29,13.516328283804857,97117,96947,170,1,1,88,13589,/tmp/surgical_onnx/submission/task029.onnx,
30,15.607504751786962,11998,11828,170,1,1,64,4901,/tmp/surgical_onnx/submission/task030.onnx,
