source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
0,ex0,original,True,False,ok,"(16, 12)","(16, 12)","(16, 12)",0,v4_plus9_compiler
0,ex0,task133_color_bijection,True,False,ok,"(16, 12)","(16, 12)","(16, 12)",0,v4_plus9_compiler
0,ex0,task133_transpose,True,False,ok,"(12, 16)","(12, 16)","(12, 16)",0,v4_plus9_compiler
0,ex0,task133_mirror_lr,True,False,ok,"(16, 12)","(16, 12)","(16, 12)",0,v4_plus9_compiler
0,ex0,task133_mirror_ud,True,False,ok,"(16, 12)","(16, 12)","(16, 12)",0,v4_plus9_compiler
0,ex0,task133_zero_pad_top_left,True,False,ok,"(17, 13)","(17, 13)","(17, 13)",0,v4_plus9_compiler
0,ex0,task133_zero_pad_bottom_right,True,False,ok,"(17, 13)","(17, 13)","(17, 13)",0,v4_plus9_compiler
1,ex1,original,True,False,ok,"(16, 18)","(16, 18)","(16, 18)",0,v4_plus9_compiler
1,ex1,task133_color_bijection,True,False,ok,"(16, 18)","(16, 18)","(16, 18)",0,v4_plus9_compiler
1,ex1,task133_transpose,True,False,ok,"(18, 16)","(18, 16)","(18, 16)",0,v4_plus9_compiler
1,ex1,task133_mirror_lr,True,False,ok,"(16, 18)","(16, 18)","(16, 18)",0,v4_plus9_compiler
1,ex1,task133_mirror_ud,True,False,ok,"(16, 18)","(16, 18)","(16, 18)",0,v4_plus9_compiler
1,ex1,task133_zero_pad_top_left,True,False,ok,"(17, 19)","(17, 19)","(17, 19)",0,v4_plus9_compiler
1,ex1,task133_zero_pad_bottom_right,True,False,ok,"(17, 19)","(17, 19)","(17, 19)",0,v4_plus9_compiler
2,ex2,original,True,False,ok,"(17, 18)","(17, 18)","(17, 18)",0,v4_plus9_compiler
2,ex2,task133_color_bijection,True,False,ok,"(17, 18)","(17, 18)","(17, 18)",0,v4_plus9_compiler
2,ex2,task133_transpose,True,False,ok,"(18, 17)","(18, 17)","(18, 17)",0,v4_plus9_compiler
2,ex2,task133_mirror_lr,True,False,ok,"(17, 18)","(17, 18)","(17, 18)",0,v4_plus9_compiler
2,ex2,task133_mirror_ud,True,False,ok,"(17, 18)","(17, 18)","(17, 18)",0,v4_plus9_compiler
2,ex2,task133_zero_pad_top_left,True,False,ok,"(18, 19)","(18, 19)","(18, 19)",0,v4_plus9_compiler
2,ex2,task133_zero_pad_bottom_right,True,False,ok,"(18, 19)","(18, 19)","(18, 19)",0,v4_plus9_compiler
3,ex3,original,True,False,ok,"(15, 18)","(15, 18)","(15, 18)",0,v4_plus9_compiler
3,ex3,task133_color_bijection,True,False,ok,"(15, 18)","(15, 18)","(15, 18)",0,v4_plus9_compiler
3,ex3,task133_transpose,True,False,ok,"(18, 15)","(18, 15)","(18, 15)",0,v4_plus9_compiler
3,ex3,task133_mirror_lr,True,False,ok,"(15, 18)","(15, 18)","(15, 18)",0,v4_plus9_compiler
3,ex3,task133_mirror_ud,True,False,ok,"(15, 18)","(15, 18)","(15, 18)",0,v4_plus9_compiler
3,ex3,task133_zero_pad_top_left,True,False,ok,"(16, 19)","(16, 19)","(16, 19)",0,v4_plus9_compiler
3,ex3,task133_zero_pad_bottom_right,True,False,ok,"(16, 19)","(16, 19)","(16, 19)",0,v4_plus9_compiler
4,ex4,original,True,False,ok,"(19, 30)","(19, 30)","(19, 30)",0,v4_plus9_compiler
4,ex4,task133_color_bijection,True,False,ok,"(19, 30)","(19, 30)","(19, 30)",0,v4_plus9_compiler
4,ex4,task133_transpose,True,False,ok,"(30, 19)","(30, 19)","(30, 19)",0,v4_plus9_compiler
4,ex4,task133_mirror_lr,True,False,ok,"(19, 30)","(19, 30)","(19, 30)",0,v4_plus9_compiler
4,ex4,task133_mirror_ud,True,False,ok,"(19, 30)","(19, 30)","(19, 30)",0,v4_plus9_compiler
4,ex4,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(20, 31)>(30, 30)","(20, 31)","(20, 31)",,,
4,ex4,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(20, 31)>(30, 30)","(20, 31)","(20, 31)",,,
5,ex5,original,True,False,ok,"(27, 25)","(27, 25)","(27, 25)",0,v4_plus9_compiler
5,ex5,task133_color_bijection,True,False,ok,"(27, 25)","(27, 25)","(27, 25)",0,v4_plus9_compiler
5,ex5,task133_transpose,True,False,ok,"(25, 27)","(25, 27)","(25, 27)",0,v4_plus9_compiler
5,ex5,task133_mirror_lr,True,False,ok,"(27, 25)","(27, 25)","(27, 25)",0,v4_plus9_compiler
5,ex5,task133_mirror_ud,True,False,ok,"(27, 25)","(27, 25)","(27, 25)",0,v4_plus9_compiler
5,ex5,task133_zero_pad_top_left,True,False,ok,"(28, 26)","(28, 26)","(28, 26)",0,v4_plus9_compiler
5,ex5,task133_zero_pad_bottom_right,True,False,ok,"(28, 26)","(28, 26)","(28, 26)",0,v4_plus9_compiler
6,ex6,original,True,False,ok,"(26, 20)","(26, 20)","(26, 20)",0,v4_plus9_compiler
6,ex6,task133_color_bijection,True,False,ok,"(26, 20)","(26, 20)","(26, 20)",0,v4_plus9_compiler
