split,index,component,anchor_color,payload_color,anchor_shape,observed_tiles,completed_tiles,input_tile_count,output_tile_count,is_template
train,0,1,1,3,1x1,-1:-1 0:-2 0:-1 0:0 1:-1,-1:-1 0:-2 0:-1 0:0 1:-1,5,5,1
train,0,2,1,4,2x2,0:-1 0:0,-1:-1 0:-2 0:-1 0:0 1:-1,2,5,0
train,1,1,2,8,1x1,-1:3 0:0 0:1 0:2 0:3 1:3,-1:3 0:0 0:1 0:2 0:3 1:3,6,6,1
train,1,2,2,6,1x1,0:0 0:1,-1:3 0:0 0:1 0:2 0:3 1:3,2,6,0
train,1,3,2,3,1x1,0:0 0:1,-1:3 0:0 0:1 0:2 0:3 1:3,2,6,0
train,2,1,4,1,1x1,-1:-1 -1:0 -1:1 0:-1 0:0 0:1 1:-1 1:1,-1:-1 -1:0 -1:1 0:-1 0:0 0:1 1:-1 1:1,8,8,1
train,2,2,4,8,3x3,-1:0 0:0,-1:-1 -1:0 -1:1 0:-1 0:0 0:1 1:-1 1:1,2,8,0
train,3,1,2,3,1x1,0:-1 0:0,-1:0 0:-2 0:-1 0:0 1:0,2,5,0
train,3,2,2,8,1x1,-1:0 0:-2 0:-1 0:0 1:0,-1:0 0:-2 0:-1 0:0 1:0,5,5,1
train,3,3,2,4,2x2,-1:0 0:0,-1:0 0:-2 0:-1 0:0 1:0,2,5,0
test,0,1,1,8,1x1,-1:0 -1:1 0:-1 0:0 0:1 1:-1 1:0,-1:0 -1:1 0:-1 0:0 0:1 1:-1 1:0,7,7,1
test,0,2,1,4,3x3,0:-1 0:0,0:-1 0:0,2,2,0
test,0,3,1,2,4x4,0:0 0:1,0:0 0:1,2,2,0
test,0,4,1,3,2x2,0:0 1:0,0:0 1:0,2,2,0
arc-gen,0,1,1,4,1x1,0:0 0:1 0:2 1:0 2:0,0:0 0:1 0:2 1:0 2:0,5,5,1
arc-gen,0,2,1,8,3x3,0:0 0:1,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,0,3,1,3,1x1,0:0 1:0,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,0,4,1,5,1x1,0:0 1:0,0:0 0:1 0:2 1:0 2:0,2,5,0
arc-gen,1,1,3,7,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,1,2,3,1,1x1,0:0 0:1 0:2 1:0 1:1,0:0 0:1 0:2 1:0 1:1,5,5,1
arc-gen,2,1,6,7,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,2,2,6,2,3x3,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,3,1,5,3,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,3,2,5,1,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,3,3,5,6,4x4,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,4,1,1,4,1x1,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,4,2,1,3,3x3,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,4,3,1,7,1x1,0:0 0:1 0:2 1:2,0:0 0:1 0:2 1:2,4,4,1
arc-gen,4,4,1,8,2x2,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,5,1,9,8,3x3,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,5,2,9,3,3x3,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,5,3,9,5,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
arc-gen,6,1,5,6,1x1,0:0 1:0,0:0 0:1 1:0 1:1 2:1,2,5,0
arc-gen,6,2,5,2,1x1,0:0 0:1 1:0 1:1 2:1,0:0 0:1 1:0 1:1 2:1,5,5,1
arc-gen,6,3,5,9,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:1,2,5,0
arc-gen,6,4,5,4,2x2,0:0 1:0,0:0 0:1 1:0 1:1 2:1,2,5,0
arc-gen,7,1,1,8,4x4,0:0 1:0,0:0 1:0 1:1 2:0 2:1,2,5,0
arc-gen,7,2,1,4,1x1,0:0 1:0 1:1 2:0 2:1,0:0 1:0 1:1 2:0 2:1,5,5,1
arc-gen,8,1,6,8,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,8,2,6,4,3x3,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,8,3,6,9,3x3,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,9,1,1,2,1x1,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,9,2,1,5,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,10,1,5,3,1x1,0:0 0:1 1:0 1:1 2:1,0:0 0:1 1:0 1:1 2:1,5,5,1
arc-gen,10,2,5,9,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:1,2,5,0
arc-gen,10,3,5,7,2x2,0:0 0:1,0:0 0:1 1:0 1:1 2:1,2,5,0
arc-gen,11,1,3,4,1x1,0:0 1:0 1:1 1:2,0:0 1:0 1:1 1:2,4,4,1
arc-gen,11,2,3,2,1x1,0:0 1:0,0:0 1:0 1:1 1:2,2,4,0
arc-gen,12,1,4,9,1x1,0:0 1:0,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,12,2,4,1,1x1,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,12,3,4,2,1x1,0:0 0:1 1:0 2:0 2:1,0:0 0:1 1:0 2:0 2:1,5,5,1
arc-gen,13,1,6,4,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,13,2,6,5,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,14,1,5,2,3x3,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,14,2,5,4,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,14,3,5,9,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,14,4,5,6,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,15,1,3,9,1x1,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,15,2,3,2,1x1,0:0 1:0 1:1 2:0,0:0 1:0 1:1 2:0,4,4,1
arc-gen,15,3,3,5,1x1,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,16,1,5,6,2x2,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,16,2,5,7,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,17,1,8,9,1x1,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,17,2,8,4,3x3,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,17,3,8,5,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
arc-gen,18,1,2,4,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,18,2,2,1,3x3,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,18,3,2,5,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,19,1,8,5,4x4,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,19,2,8,2,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
arc-gen,20,1,7,4,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,20,2,7,6,4x4,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,21,1,2,4,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,21,2,2,5,4x4,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,21,3,2,3,3x3,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,21,4,2,1,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,22,1,6,7,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,22,2,6,5,2x2,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,22,3,6,3,2x2,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,22,4,6,4,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,23,1,5,9,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,23,2,5,1,2x2,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,23,3,5,3,2x2,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,24,1,3,9,1x1,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,24,2,3,2,1x1,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,24,3,3,6,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,24,4,3,8,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,25,1,5,6,3x3,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,25,2,5,9,1x1,0:0 1:0,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,25,3,5,8,1x1,0:0 0:1 1:0 1:1 2:0,0:0 0:1 1:0 1:1 2:0,5,5,1
arc-gen,25,4,5,1,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,26,1,9,5,1x1,0:0 0:1 1:1 1:2 2:2,0:0 0:1 1:1 1:2 2:2,5,5,1
arc-gen,26,2,9,8,3x3,0:0 0:1,0:0 0:1 1:1 1:2 2:2,2,5,0
arc-gen,27,1,6,5,2x2,0:0 1:0,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,27,2,6,9,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,27,3,6,4,1x1,0:0 0:1 1:0 1:1 2:0,0:0 0:1 1:0 1:1 2:0,5,5,1
arc-gen,27,4,6,3,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,28,1,5,1,1x1,0:0 0:1 1:0 1:1 2:0,0:0 0:1 1:0 1:1 2:0,5,5,1
arc-gen,28,2,5,6,1x1,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,28,3,5,4,3x3,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,29,1,7,6,3x3,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,29,2,7,5,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,30,1,2,4,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,30,2,2,6,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,31,1,5,7,1x1,0:0 1:0 1:1 2:1,0:0 1:0 1:1 2:1,4,4,1
arc-gen,31,2,5,8,2x2,0:0 1:0,0:0 1:0 1:1 2:1,2,4,0
arc-gen,31,3,5,1,1x1,0:0 1:0,0:0 1:0 1:1 2:1,2,4,0
arc-gen,31,4,5,2,2x2,0:0 1:0,0:0 1:0 1:1 2:1,2,4,0
arc-gen,32,1,5,6,3x3,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,32,2,5,8,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,32,3,5,4,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,32,4,5,9,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,33,1,5,3,4x4,0:0 0:1,0:0 0:1 0:2 1:1,2,4,0
arc-gen,33,2,5,2,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
arc-gen,34,1,1,4,2x2,0:0 1:0,0:0 1:0 1:1 2:1,2,4,0
arc-gen,34,2,1,5,1x1,0:0 1:0,0:0 1:0 1:1 2:1,2,4,0
arc-gen,34,3,1,8,1x1,0:0 1:0 1:1 2:1,0:0 1:0 1:1 2:1,4,4,1
arc-gen,35,1,6,1,1x1,0:0 0:1,0:0 0:1 0:2 1:1 1:2,2,5,0
