iterations,pass,total,score,cost,memory,params,nodes,file_size,error,path
1,0,265,14.559639032216388,34213,32400,1813,13,15838,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter01.onnx
2,0,265,14.305490197425001,44113,42300,1813,18,16279,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter02.onnx
3,1,265,14.10301996268625,54013,52200,1813,23,16721,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter03.onnx
4,4,265,13.934721937446572,63913,62100,1813,28,17162,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter04.onnx
5,16,265,13.790709853162818,73813,72000,1813,33,17603,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter05.onnx
6,40,265,13.66485043897588,83713,81900,1813,38,18044,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter06.onnx
7,76,265,13.553075458289596,93613,91800,1813,43,18485,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter07.onnx
8,112,265,13.45254751233521,103513,101700,1813,48,18926,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter08.onnx
9,145,265,13.361208697846724,113413,111600,1813,53,19367,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter09.onnx
10,176,265,13.277518882504273,123313,121500,1813,58,19813,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter10.onnx
11,203,265,13.200295370076311,133213,131400,1813,63,20274,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter11.onnx
12,230,265,13.128610193019123,143113,141300,1813,68,20735,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter12.onnx
13,241,265,13.061721835914684,153013,151200,1813,73,21196,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter13.onnx
14,250,265,12.999028405033531,162913,161100,1813,78,21657,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter14.onnx
15,255,265,12.940034635996172,172813,171000,1813,83,22118,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter15.onnx
16,259,265,12.884328105266551,182713,180900,1813,88,22579,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter16.onnx
17,262,265,12.831561726527738,192613,190800,1813,93,23040,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter17.onnx
18,263,265,12.781440639000978,202513,200700,1813,98,23501,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter18.onnx
19,263,265,12.733712228249976,212413,210600,1813,103,23962,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter19.onnx
20,263,265,12.68815842222541,222313,220500,1813,108,24423,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter20.onnx
21,263,265,12.644589667102466,232213,230400,1813,113,24884,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter21.onnx
22,263,265,12.602840161695976,242113,240300,1813,118,25345,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter22.onnx
23,263,265,12.562764047535431,252013,250200,1813,123,25806,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter23.onnx
24,263,265,12.524232333469953,261913,260100,1813,128,26267,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter24.onnx
25,263,265,12.487130391158363,271813,270000,1813,133,26728,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter25.onnx
26,263,265,12.451355898815534,281713,279900,1813,138,27189,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter26.onnx
27,264,265,12.416817140258434,291613,289800,1813,143,27650,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter27.onnx
28,265,265,12.383431588035556,301513,299700,1813,148,28111,,$HOME/Desktop/kaggleonnx/submissions/task243_iter_sweep/task243_iter28.onnx
