check,split,index,variant,eligible,exact,pixel_errors,false_positive_3,false_negative_3,details
leave_one_out_fixed_geometry,train,0,"support=[1, 2]",1,1,0,0,0,"{""rectangles"": [{""axis"": ""h"", ""c0"": 9, ""c1"": 29, ""r0"": 10, ""r1"": 11}, {""axis"": ""h"", ""c0"": 0, ""c1"": 15, ""r0"": 20, ""r1"": 21}, {""axis"": ""v"", ""c0"": 9, ""c1"": 15, ""r0"": 5, ""r1"": 29}], ""selected_min_run"": 14, ""support_exact_min_runs"": [14, 15, 16]}"
leave_one_out_fixed_geometry,train,1,"support=[0, 2]",1,1,0,0,0,"{""rectangles"": [{""axis"": ""h"", ""c0"": 6, ""c1"": 29, ""r0"": 7, ""r1"": 7}, {""axis"": ""h"", ""c0"": 6, ""c1"": 29, ""r0"": 17, ""r1"": 18}, {""axis"": ""v"", ""c0"": 6, ""c1"": 12, ""r0"": 0, ""r1"": 29}], ""selected_min_run"": 14, ""support_exact_min_runs"": [14, 15, 16]}"
leave_one_out_fixed_geometry,train,2,"support=[0, 1]",1,1,0,0,0,"{""rectangles"": [{""axis"": ""h"", ""c0"": 0, ""c1"": 15, ""r0"": 9, ""r1"": 18}, {""axis"": ""v"", ""c0"": 8, ""c1"": 15, ""r0"": 0, ""r1"": 29}], ""selected_min_run"": 14, ""support_exact_min_runs"": [12, 13, 14, 15, 16]}"
foreground_color_permutation,train,0,fg_8_to_1,1,1,0,0,0,
foreground_color_permutation,train,0,fg_8_to_2,1,1,0,0,0,
foreground_color_permutation,train,0,fg_8_to_4,1,1,0,0,0,
foreground_color_permutation,train,0,fg_8_to_5,1,1,0,0,0,
foreground_color_permutation,train,0,fg_8_to_6,1,1,0,0,0,
foreground_color_permutation,train,0,fg_8_to_7,1,1,0,0,0,
foreground_color_permutation,train,0,fg_8_to_9,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_2,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_4,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_5,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_6,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_7,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_8,1,1,0,0,0,
foreground_color_permutation,train,1,fg_1_to_9,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_1,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_4,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_5,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_6,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_7,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_8,1,1,0,0,0,
foreground_color_permutation,train,2,fg_2_to_9,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_1,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_2,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_5,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_6,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_7,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_8,1,1,0,0,0,
foreground_color_permutation,test,0,fg_4_to_9,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_1,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_4,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_5,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_6,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_7,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_8,1,1,0,0,0,
foreground_color_permutation,arc-gen,0,fg_2_to_9,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_1,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_2,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_5,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_6,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_7,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_8,1,1,0,0,0,
foreground_color_permutation,arc-gen,1,fg_4_to_9,1,1,0,0,0,
foreground_color_permutation,arc-gen,2,fg_1_to_2,1,1,0,0,0,
foreground_color_permutation,arc-gen,2,fg_1_to_4,1,1,0,0,0,
