split,index,rect_id,r0,r1,c0,c1,axis,area,core_cells_in_rect
train,0,0,10,11,9,29,h,42,42
train,0,1,20,21,0,15,h,32,32
train,0,2,5,29,9,15,v,175,175
train,1,0,7,7,6,29,h,24,24
train,1,1,17,18,6,29,h,48,48
train,1,2,0,29,6,12,v,210,210
train,2,0,9,18,0,15,h,160,160
train,2,1,0,29,8,15,v,240,240
test,0,0,10,14,0,29,h,150,150
test,0,1,0,29,11,12,v,60,60
test,0,2,0,14,20,20,v,15,15
arc-gen,0,0,13,22,0,20,h,210,210
arc-gen,0,1,0,29,11,20,v,300,300
arc-gen,1,0,0,29,10,17,v,240,240
arc-gen,2,0,7,7,10,29,h,20,20
arc-gen,2,1,21,21,10,29,h,20,20
arc-gen,2,2,0,29,10,16,v,210,210
arc-gen,3,0,15,15,10,29,h,20,20
arc-gen,3,1,0,24,10,13,v,100,100
arc-gen,4,0,9,9,11,29,h,19,19
arc-gen,4,1,0,29,11,17,v,210,210
arc-gen,5,0,18,21,0,29,h,120,120
arc-gen,5,1,0,21,8,9,v,44,44
arc-gen,5,2,0,21,20,20,v,22,22
arc-gen,6,0,16,21,0,29,h,180,180
arc-gen,6,1,0,21,6,6,v,22,22
arc-gen,6,2,16,29,8,9,v,28,28
arc-gen,6,3,16,29,14,15,v,28,28
arc-gen,6,4,0,21,21,21,v,22,22
arc-gen,7,0,0,29,9,17,v,270,270
arc-gen,8,0,9,14,0,29,h,180,180
arc-gen,8,1,9,29,22,22,v,21,21
arc-gen,9,0,0,29,6,11,v,180,180
arc-gen,10,0,21,21,10,29,h,20,20
arc-gen,10,1,0,29,10,16,v,210,210
arc-gen,11,0,9,16,0,29,h,240,240
arc-gen,12,0,18,21,0,29,h,120,120
arc-gen,12,1,0,21,24,24,v,22,22
arc-gen,13,0,7,14,0,29,h,240,240
arc-gen,14,0,18,23,0,29,h,180,180
arc-gen,14,1,0,23,21,21,v,24,24
arc-gen,15,0,10,13,0,29,h,120,120
arc-gen,15,1,10,29,6,6,v,20,20
arc-gen,15,2,0,13,8,8,v,14,14
arc-gen,15,3,0,13,14,15,v,28,28
arc-gen,15,4,10,29,23,23,v,20,20
arc-gen,16,0,18,21,0,29,h,120,120
arc-gen,16,1,0,21,18,18,v,22,22
arc-gen,17,0,5,6,9,29,h,42,42
arc-gen,17,1,0,29,9,18,v,300,300
arc-gen,18,0,15,18,0,29,h,120,120
arc-gen,18,1,0,18,9,10,v,38,38
arc-gen,19,0,7,8,10,29,h,40,40
arc-gen,19,1,16,17,0,13,h,28,28
arc-gen,19,2,23,23,0,13,h,14,14
arc-gen,19,3,0,29,10,13,v,120,120
