solver,split,index,exact,pixel_errors,false_positive_3,false_negative_3,target_3,predicted_3,rectangles
legacy_stub,train,0,0,221,0,221,221,0,0
core8_upper_bound,train,0,0,10,10,0,221,231,0
v2_train_only_rect_corridor,train,0,1,0,0,0,221,221,3
legacy_stub,train,1,0,261,0,261,261,0,0
core8_upper_bound,train,1,0,20,20,0,261,281,0
v2_train_only_rect_corridor,train,1,1,0,0,0,261,261,3
legacy_stub,train,2,0,320,0,320,320,0,0
core8_upper_bound,train,2,0,31,31,0,320,351,0
v2_train_only_rect_corridor,train,2,1,0,0,0,320,320,2
legacy_stub,test,0,0,210,0,210,210,0,0
core8_upper_bound,test,0,0,32,32,0,210,242,0
v2_train_only_rect_corridor,test,0,1,0,0,0,210,210,3
legacy_stub,arc-gen,0,0,410,0,410,410,0,0
core8_upper_bound,arc-gen,0,0,10,10,0,410,420,0
v2_train_only_rect_corridor,arc-gen,0,1,0,0,0,410,410,2
legacy_stub,arc-gen,1,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,1,0,17,17,0,240,257,0
v2_train_only_rect_corridor,arc-gen,1,1,0,0,0,240,240,1
legacy_stub,arc-gen,2,0,236,0,236,236,0,0
core8_upper_bound,arc-gen,2,0,21,21,0,236,257,0
v2_train_only_rect_corridor,arc-gen,2,1,0,0,0,236,236,3
legacy_stub,arc-gen,3,0,116,0,116,116,0,0
core8_upper_bound,arc-gen,3,0,25,25,0,116,141,0
v2_train_only_rect_corridor,arc-gen,3,1,0,0,0,116,116,2
legacy_stub,arc-gen,4,0,222,0,222,222,0,0
core8_upper_bound,arc-gen,4,0,9,9,0,222,231,0
v2_train_only_rect_corridor,arc-gen,4,1,0,0,0,222,222,2
legacy_stub,arc-gen,5,0,174,0,174,174,0,0
core8_upper_bound,arc-gen,5,0,20,20,0,174,194,0
v2_train_only_rect_corridor,arc-gen,5,1,0,0,0,174,174,3
legacy_stub,arc-gen,6,0,244,0,244,244,0,0
core8_upper_bound,arc-gen,6,0,26,26,0,244,270,0
v2_train_only_rect_corridor,arc-gen,6,1,0,0,0,244,244,5
legacy_stub,arc-gen,7,0,270,0,270,270,0,0
core8_upper_bound,arc-gen,7,0,15,15,0,270,285,0
v2_train_only_rect_corridor,arc-gen,7,1,0,0,0,270,270,1
legacy_stub,arc-gen,8,0,195,0,195,195,0,0
core8_upper_bound,arc-gen,8,0,14,14,0,195,209,0
v2_train_only_rect_corridor,arc-gen,8,1,0,0,0,195,195,2
legacy_stub,arc-gen,9,0,204,0,204,204,0,0
core8_upper_bound,arc-gen,9,0,14,14,0,204,218,0
v2_train_only_rect_corridor,arc-gen,9,0,24,0,24,204,180,1
legacy_stub,arc-gen,10,0,223,0,223,223,0,0
core8_upper_bound,arc-gen,10,0,24,24,0,223,247,0
v2_train_only_rect_corridor,arc-gen,10,1,0,0,0,223,223,2
legacy_stub,arc-gen,11,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,11,0,11,11,0,240,251,0
v2_train_only_rect_corridor,arc-gen,11,1,0,0,0,240,240,1
legacy_stub,arc-gen,12,0,138,0,138,138,0,0
core8_upper_bound,arc-gen,12,0,21,21,0,138,159,0
v2_train_only_rect_corridor,arc-gen,12,1,0,0,0,138,138,2
legacy_stub,arc-gen,13,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,13,0,17,17,0,240,257,0
v2_train_only_rect_corridor,arc-gen,13,1,0,0,0,240,240,1
legacy_stub,arc-gen,14,0,216,0,216,216,0,0
core8_upper_bound,arc-gen,14,0,24,24,0,216,240,0
v2_train_only_rect_corridor,arc-gen,14,0,18,0,18,216,198,2
legacy_stub,arc-gen,15,0,182,0,182,182,0,0
core8_upper_bound,arc-gen,15,0,42,42,0,182,224,0
v2_train_only_rect_corridor,arc-gen,15,1,0,0,0,182,182,5
legacy_stub,arc-gen,16,0,138,0,138,138,0,0
core8_upper_bound,arc-gen,16,0,15,15,0,138,153,0
v2_train_only_rect_corridor,arc-gen,16,1,0,0,0,138,138,2
legacy_stub,arc-gen,17,0,322,0,322,322,0,0
core8_upper_bound,arc-gen,17,0,18,18,0,322,340,0
v2_train_only_rect_corridor,arc-gen,17,1,0,0,0,322,322,2
legacy_stub,arc-gen,18,0,150,0,150,150,0,0
core8_upper_bound,arc-gen,18,0,20,20,0,150,170,0
v2_train_only_rect_corridor,arc-gen,18,1,0,0,0,150,150,2
legacy_stub,arc-gen,19,0,182,0,182,182,0,0
core8_upper_bound,arc-gen,19,0,27,27,0,182,209,0
v2_train_only_rect_corridor,arc-gen,19,1,0,0,0,182,182,4
legacy_stub,arc-gen,20,0,270,0,270,270,0,0
