split,index,shape,components,anchor_cells,copied_cells,added_cells,unique_majority,max_body_cells,max_markers
train,0,30x30,3,8,47,39,1,8,3
train,1,20x20,1,3,27,24,1,9,3
train,2,14x14,2,4,22,18,1,6,2
test,0,24x24,3,8,46,38,1,8,3
arc-gen,0,30x30,3,9,45,36,1,6,3
arc-gen,1,22x22,1,3,24,21,1,8,3
arc-gen,2,26x26,1,3,12,9,1,4,3
arc-gen,3,25x25,2,6,39,33,1,8,3
arc-gen,4,30x30,3,8,42,34,1,6,3
arc-gen,5,29x29,2,5,31,26,1,8,3
arc-gen,6,28x28,3,7,36,29,1,6,3
arc-gen,7,30x30,1,3,21,18,1,7,3
arc-gen,8,30x30,2,6,36,30,1,8,3
arc-gen,9,23x23,1,3,18,15,1,6,3
arc-gen,10,20x20,2,5,30,25,1,6,3
arc-gen,11,30x30,1,2,16,14,1,8,2
arc-gen,12,24x24,2,5,29,24,1,7,3
arc-gen,13,27x27,1,3,12,9,1,4,3
arc-gen,14,29x29,3,8,62,54,1,8,3
arc-gen,15,29x29,2,4,20,16,1,6,2
arc-gen,16,26x26,1,3,24,21,1,8,3
arc-gen,17,27x27,2,5,29,24,1,7,3
arc-gen,18,23x23,2,6,36,30,1,8,3
arc-gen,19,22x22,1,3,12,9,1,4,3
arc-gen,20,25x25,1,2,8,6,1,4,2
arc-gen,21,29x29,3,9,60,51,1,8,3
arc-gen,22,26x26,3,8,44,36,1,7,3
arc-gen,23,28x28,2,5,29,24,1,7,3
arc-gen,24,30x30,3,8,61,53,1,8,3
arc-gen,25,25x25,3,7,42,35,1,8,3
arc-gen,26,25x25,1,3,24,21,1,8,3
arc-gen,27,24x24,3,8,36,28,1,6,3
arc-gen,28,30x30,2,5,26,21,1,6,3
arc-gen,29,29x29,1,3,12,9,1,4,3
arc-gen,30,20x20,1,3,15,12,1,5,3
arc-gen,31,28x28,3,8,51,43,1,8,3
arc-gen,32,28x28,3,7,52,45,1,8,3
arc-gen,33,13x13,1,3,12,9,1,4,3
arc-gen,34,28x28,2,6,42,36,1,8,3
arc-gen,35,21x21,3,8,50,42,1,7,3
arc-gen,36,29x29,2,6,36,30,1,8,3
arc-gen,37,26x26,2,5,40,35,1,8,3
arc-gen,38,17x17,1,2,16,14,1,8,2
arc-gen,39,28x28,3,8,41,33,1,7,3
arc-gen,40,27x27,3,9,66,57,1,8,3
arc-gen,41,22x22,3,9,45,36,1,7,3
arc-gen,42,28x28,1,2,10,8,1,5,2
arc-gen,43,24x24,3,7,41,34,1,8,3
arc-gen,44,20x20,2,6,48,42,1,8,3
arc-gen,45,25x25,2,4,16,12,1,4,2
arc-gen,46,16x16,1,3,24,21,1,8,3
arc-gen,47,21x21,2,6,36,30,1,7,3
arc-gen,48,30x30,1,3,24,21,1,8,3
arc-gen,49,28x28,3,8,44,36,1,7,3
arc-gen,50,24x24,3,7,50,43,1,8,3
arc-gen,51,28x28,1,2,8,6,1,4,2
arc-gen,52,21x21,2,4,22,18,1,7,2
arc-gen,53,18x18,1,3,12,9,1,4,3
arc-gen,54,29x29,2,5,32,27,1,8,3
arc-gen,55,24x24,1,3,21,18,1,7,3
arc-gen,56,28x28,2,5,29,24,1,7,3
arc-gen,57,27x27,3,9,54,45,1,8,3
arc-gen,58,15x15,1,2,8,6,1,4,2
arc-gen,59,22x22,2,5,35,30,1,7,3
arc-gen,60,17x17,1,3,15,12,1,5,3
arc-gen,61,28x28,3,7,49,42,1,8,3
arc-gen,62,19x19,1,3,15,12,1,5,3
arc-gen,63,26x26,3,9,45,36,1,6,3
arc-gen,64,23x23,2,5,26,21,1,6,3
arc-gen,65,23x23,1,3,21,18,1,7,3
arc-gen,66,22x22,2,5,26,21,1,6,3
arc-gen,67,29x29,3,9,42,33,1,5,3
arc-gen,68,29x29,2,5,30,25,1,6,3
arc-gen,69,21x21,1,2,8,6,1,4,2
arc-gen,70,24x24,3,7,41,34,1,7,3
arc-gen,71,15x15,1,3,18,15,1,6,3
arc-gen,72,24x24,1,3,12,9,1,4,3
arc-gen,73,30x30,1,3,24,21,1,8,3
arc-gen,74,27x27,2,4,28,24,1,8,2
arc-gen,75,27x27,2,6,30,24,1,6,3
arc-gen,76,29x29,3,9,60,51,1,7,3
arc-gen,77,26x26,2,5,31,26,1,8,3
arc-gen,78,28x28,1,3,18,15,1,6,3
arc-gen,79,28x28,1,2,10,8,1,5,2
arc-gen,80,25x25,1,3,12,9,1,4,3
arc-gen,81,29x29,2,6,45,39,1,8,3
arc-gen,82,18x18,1,3,24,21,1,8,3
arc-gen,83,25x25,2,4,24,20,1,7,2
arc-gen,84,29x29,2,6,42,36,1,7,3
arc-gen,85,19x19,1,3,21,18,1,7,3
arc-gen,86,27x27,2,6,36,30,1,6,3
arc-gen,87,27x27,1,2,12,10,1,6,2
arc-gen,88,20x20,1,3,18,15,1,6,3
arc-gen,89,18x18,1,2,14,12,1,7,2
arc-gen,90,23x23,2,6,24,18,1,4,3
arc-gen,91,29x29,3,9,57,48,1,8,3
arc-gen,92,27x27,1,3,21,18,1,7,3
arc-gen,93,29x29,2,5,27,22,1,6,3
arc-gen,94,20x20,1,3,24,21,1,8,3
arc-gen,95,26x26,3,8,45,37,1,7,3
arc-gen,96,13x13,1,2,12,10,1,6,2
arc-gen,97,26x26,2,4,18,14,1,5,2
arc-gen,98,29x29,3,8,53,45,1,8,3
arc-gen,99,13x13,1,3,15,12,1,5,3
arc-gen,100,30x30,2,5,32,27,1,8,3
arc-gen,101,15x15,1,3,24,21,1,8,3
arc-gen,102,30x30,1,3,24,21,1,8,3
arc-gen,103,18x18,1,3,21,18,1,7,3
arc-gen,104,27x27,1,3,18,15,1,6,3
arc-gen,105,21x21,1,3,12,9,1,4,3
arc-gen,106,29x29,3,9,54,45,1,8,3
arc-gen,107,29x29,2,4,26,22,1,7,2
arc-gen,108,22x22,1,2,12,10,1,6,2
arc-gen,109,27x27,2,5,37,32,1,8,3
arc-gen,110,22x22,3,9,54,45,1,8,3
arc-gen,111,12x12,1,3,24,21,1,8,3
arc-gen,112,28x28,3,9,45,36,1,7,3
arc-gen,113,27x27,3,8,49,41,1,7,3
arc-gen,114,28x28,3,7,44,37,1,7,3
arc-gen,115,29x29,3,8,41,33,1,6,3
arc-gen,116,29x29,2,6,45,39,1,8,3
arc-gen,117,30x30,3,7,40,33,1,7,3
arc-gen,118,29x29,3,8,41,33,1,7,3
arc-gen,119,23x23,2,5,25,20,1,5,3
arc-gen,120,28x28,2,6,27,21,1,5,3
arc-gen,121,22x22,1,3,21,18,1,7,3
arc-gen,122,23x23,1,2,14,12,1,7,2
arc-gen,123,19x19,2,5,40,35,1,8,3
arc-gen,124,29x29,3,7,37,30,1,7,3
arc-gen,125,29x29,2,6,39,33,1,7,3
arc-gen,126,30x30,3,8,38,30,1,5,3
arc-gen,127,23x23,2,4,22,18,1,6,2
arc-gen,128,12x12,1,3,15,12,1,5,3
arc-gen,129,29x29,3,7,36,29,1,8,3
arc-gen,130,19x19,1,2,14,12,1,7,2
arc-gen,131,28x28,3,9,51,42,1,7,3
arc-gen,132,29x29,3,7,44,37,1,8,3
arc-gen,133,26x26,3,8,32,24,1,4,3
arc-gen,134,24x24,2,5,22,17,1,5,3
arc-gen,135,25x25,2,5,26,21,1,7,3
arc-gen,136,28x28,3,7,42,35,1,6,3
arc-gen,137,30x30,3,8,61,53,1,8,3
arc-gen,138,27x27,3,7,37,30,1,6,3
arc-gen,139,20x20,2,4,26,22,1,7,2
arc-gen,140,30x30,2,6,45,39,1,8,3
arc-gen,141,29x29,1,3,12,9,1,4,3
arc-gen,142,28x28,3,8,34,26,1,5,3
arc-gen,143,15x15,1,3,18,15,1,6,3
arc-gen,144,29x29,2,6,36,30,1,7,3
arc-gen,145,26x26,2,5,28,23,1,8,3
arc-gen,146,24x24,1,3,24,21,1,8,3
arc-gen,147,30x30,3,7,36,29,1,6,3
arc-gen,148,24x24,3,9,57,48,1,8,3
arc-gen,149,12x12,1,3,15,12,1,5,3
arc-gen,150,24x24,2,6,24,18,1,4,3
arc-gen,151,29x29,1,2,8,6,1,4,2
arc-gen,152,26x26,3,8,50,42,1,8,3
arc-gen,153,25x25,3,8,32,24,1,4,3
arc-gen,154,27x27,2,5,30,25,1,6,3
arc-gen,155,30x30,1,3,12,9,1,4,3
arc-gen,156,29x29,1,2,14,12,1,7,2
arc-gen,157,23x23,2,6,36,30,1,7,3
arc-gen,158,30x30,3,8,43,35,1,8,3
arc-gen,159,18x18,1,2,8,6,1,4,2
arc-gen,160,29x29,2,5,36,31,1,8,3
arc-gen,161,21x21,1,3,15,12,1,5,3
arc-gen,162,23x23,1,3,12,9,1,4,3
arc-gen,163,22x22,2,6,39,33,1,7,3
arc-gen,164,27x27,1,3,15,12,1,5,3
arc-gen,165,28x28,3,6,30,24,1,6,2
arc-gen,166,29x29,1,3,18,15,1,6,3
arc-gen,167,23x23,2,5,27,22,1,6,3
arc-gen,168,27x27,3,9,60,51,1,8,3
arc-gen,169,25x25,2,4,18,14,1,5,2
arc-gen,170,29x29,3,6,42,36,1,8,2
arc-gen,171,28x28,1,2,12,10,1,6,2
arc-gen,172,30x30,3,6,40,34,1,8,2
arc-gen,173,27x27,3,8,47,39,1,8,3
arc-gen,174,21x21,3,7,39,32,1,7,3
arc-gen,175,29x29,2,6,42,36,1,8,3
arc-gen,176,25x25,1,3,15,12,1,5,3
arc-gen,177,14x14,1,2,16,14,1,8,2
arc-gen,178,28x28,3,8,47,39,1,7,3
arc-gen,179,14x14,1,3,18,15,1,6,3
arc-gen,180,29x29,3,8,37,29,1,5,3
