solver,split,exact,total,same_as_label,pixel_errors
bounded_rectangles_max6,arc-gen,198,262,198,1350
bounded_rectangles_max6,test,1,1,1,0
bounded_rectangles_max6,train,2,3,2,11
bounded_rectangles_max7,arc-gen,262,262,262,0
bounded_rectangles_max7,test,1,1,1,0
bounded_rectangles_max7,train,3,3,3,0
first_panel_is_source,arc-gen,139,262,139,18995
first_panel_is_source,test,0,1,0,136
first_panel_is_source,train,2,3,2,80
label_components_reference,arc-gen,262,262,262,0
label_components_reference,test,1,1,1,0
label_components_reference,train,3,3,3,0
no_anchor_locking,arc-gen,248,262,248,246
no_anchor_locking,test,0,1,0,3
no_anchor_locking,train,3,3,3,0
no_pattern_priority,arc-gen,256,262,256,133
no_pattern_priority,test,0,1,0,11
no_pattern_priority,train,3,3,3,0
