task_id,anchor_score,anchor_cost,anchor_memory,anchor_params,anchor_nodes,anchor_file_size,local_pass,local_total,source_label,source_risk,source_matches,known_match_summary,best_seen_score,best_seen_cost,best_seen_attempt,attempt_count,family_primary,family_tags,family_features,shape_profile,public_tail_tags,pseudo_hidden_status,pseudo_hidden_summary,known_prototypes,known_builders,known_reports,next_allowed_action,priority_score
task001,17.041074,2861,2837,24,14,1137,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",17.047385,2843,massim_part4_6255_score_n1,76,tiling,tiling,"train=5;test=1;tile,out_larger,color_subset,color_superset,color_same",in 3-3x3-3 -> out 9-9x9-9; pal 5->5,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task002,13.514518,97293,97200,93,95,14560,3,3,nadeem_6252,public-anchor-candidate,candidate_v2;nadeem_6252,nadeem_6252,13.514518,97293,candidate_nadeem6252_plus_ours_38_score_n3,76,other,other,"train=5;test=1;shape_preserving,color_superset",in 6-20x6-20 -> out 6-20x6-20; pal 2->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,7
task003,15.883531,9104,9094,10,44,3120,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111,"current_best_6122,candidate_v4,biohack44_6113,massimiliano_eda111,biohack44_6080",15.883751,9102,afr1ste_5689_score_n3,76,expand,expand,"train=3;test=1;out_larger,expand",in 6-6x3-3 -> out 9-9x3-3; pal 2->2,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task004,14.084548,55020,54000,1020,4,2522,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",14.084548,55020,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=2;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 8-14x9-9 -> out 8-14x9-9; pal 4->4,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,15
task005,13.328150,117225,116889,336,106,10910,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_super;candidate_v2;candidate_v4;current_best_6122;nadeem_6252;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super",13.328150,117225,biohack44_super_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 21-21x21-21 -> out 21-21x21-21; pal 8->8,cost_monster_top30;low_score_bottom30;matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,58
task006,17.603051,1631,1584,47,12,1124,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111,"current_best_6122,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",17.603051,1631,afr1ste_5689_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,reduce",in 3-3x7-7 -> out 3-3x3-3; pal 3->2,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task007,16.108351,7271,7240,31,13,1258,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",16.108351,7271,candidate_nadeem6252_plus_ours_38_score_n3,76,color_remap,color_remap,"train=3;test=1;shape_preserving,color_subset,color_remap",in 7-7x7-7 -> out 7-7x7-7; pal 6->5,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task008,14.944264,23289,23228,61,78,7667,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_super;candidate_v2;candidate_v4;current_best_6122;nadeem_6252;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super",14.944264,23289,biohack44_super_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 9-14x9-10 -> out 9-14x9-10; pal 3->3,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,12
task009,13.694825,81241,77400,3841,22,30956,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.694825,81241,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 20-23x20-23 -> out 20-23x20-23; pal 7->7,public_slowest;matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,17
task010,16.479612,5016,4939,77,60,4038,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",16.479612,5016,afr1ste_5689_score_n3,76,color_fill,color_fill,"train=2;test=1;shape_preserving,color_fill",in 9-9x9-9 -> out 9-9x9-9; pal 2->5,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
