task_id,v2_sha256,v2_score,v2_source_label,v2_risk_label,matches_current_best_6122,matches_nadeem_6252,matches_candidate_v4,matches_biohack44_6113,matches_biohack44_6067,matches_konbu17_v36,matches_afr1ste_6335,matches_octaviograu_6154,matches_needless090_v31,matches_cdeotte,matches_yash9439,matches_jsrdcht_6029,matches_massimiliano_eda111,matches_octavi_6042,matches_haoranran_6100,matches_afr1ste_5689,matches_biohack44_super,matches_biohack44_6080,matches_biohack44_superior,known_match_summary
task001,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,17.041074,current_best_6122,lb-verified-current-best,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080"
task002,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,13.514518,nadeem_6252,public-anchor-candidate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nadeem_6252
task003,155de80550da61e01bc0f6cc5de93f980b0473d08c29baf3bb04a2529f532c86,15.883531,current_best_6122,lb-verified-current-best,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"current_best_6122,candidate_v4,biohack44_6113,massimiliano_eda111,biohack44_6080"
task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,14.084548,current_best_6122,lb-verified-current-best,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080"
task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,13.328150,current_best_6122,lb-verified-current-best,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"current_best_6122,nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super"
task006,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,17.603051,current_best_6122,lb-verified-current-best,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"current_best_6122,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080"
task007,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,16.108351,nadeem_6252,public-anchor-candidate,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nadeem_6252,candidate_v4"
task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,14.944264,current_best_6122,lb-verified-current-best,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"current_best_6122,nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super"
task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,13.694825,current_best_6122,lb-verified-current-best,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080"
task010,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,16.479612,current_best_6122,lb-verified-current-best,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080"
task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,13.898855,current_best_6122,lb-verified-current-best,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080"
task012,6565dbdc01b75cf0fd11dff727c2312655bcb5fb9e59a8020020ef04a7b5a80c,15.555457,nadeem_6252,public-anchor-candidate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nadeem_6252
task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,13.331080,current_best_6122,lb-verified-current-best,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080"
task014,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,14.427427,nadeem_6252,public-anchor-candidate,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nadeem_6252,candidate_v4"
task015,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,18.197605,nadeem_6252,public-anchor-candidate,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"nadeem_6252,biohack44_6113,massimiliano_eda111,biohack44_6080"
task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,22.697415,current_best_6122,lb-verified-current-best,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080"
task017,fb2137630963bd757e3fa76d251d504d01fbf7b1b6106c0e123e2b4b6247e574,14.527541,nadeem_6252,public-anchor-candidate,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"nadeem_6252,octaviograu_6154,biohack44_super"
