task_id,n_train,n_test,min_h_in,max_h_in,min_w_in,max_w_in,min_h_out,max_h_out,min_w_out,max_w_out,in_palette_size,out_palette_size,shape_preserving,transposed,tile,crop,trim_border,out_larger,out_smaller,color_subset,color_superset,color_same,color_disjoint,scalar_output,counting,counting_value,symmetry_candidate,color_remap,color_fill,expand,reduce
1,5,1,3,3,3,3,9,9,9,9,5,5,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
2,5,1,6,20,6,20,6,20,6,20,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
3,3,1,6,6,3,3,9,9,3,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,None,False,False,False,True,False
4,2,1,8,14,9,9,8,14,9,9,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
5,3,1,21,21,21,21,21,21,21,21,8,8,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
6,3,1,3,3,7,7,3,3,3,3,3,2,False,False,False,False,False,False,True,False,False,False,False,False,False,None,False,False,False,False,True
7,3,1,7,7,7,7,7,7,7,7,6,5,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
8,3,1,9,14,9,10,9,14,9,10,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
9,3,1,20,23,20,23,20,23,20,23,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
10,2,1,9,9,9,9,9,9,9,9,2,5,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
11,4,1,11,11,11,11,11,11,11,11,7,6,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
12,2,1,12,12,12,12,12,12,12,12,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
13,4,1,7,24,8,25,7,24,8,25,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
14,3,1,18,21,17,21,7,10,6,10,6,4,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
15,3,1,9,9,9,9,9,9,9,9,5,7,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
16,4,1,3,3,3,3,3,3,3,3,8,8,True,False,False,False,False,False,False,False,False,False,True,False,False,None,False,False,True,False,False
17,3,1,21,21,21,21,21,21,21,21,8,7,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
18,3,1,14,16,14,18,14,16,14,18,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
19,4,1,2,5,3,4,4,10,6,8,5,6,False,False,True,False,False,True,False,False,True,False,False,False,False,None,False,False,False,False,False
20,3,1,10,10,10,10,10,10,10,10,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
21,3,1,11,27,11,27,2,6,2,5,4,2,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
22,3,1,11,11,11,11,3,3,3,3,9,9,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
23,3,1,8,9,9,11,8,9,9,11,2,3,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
24,3,1,9,10,8,11,9,10,8,11,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
25,3,1,15,18,14,19,15,18,14,19,6,6,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
26,5,1,5,5,7,7,5,5,3,3,3,2,False,False,False,False,False,False,True,False,False,False,False,False,False,None,False,False,False,False,True
27,3,1,10,10,10,10,10,10,10,10,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
28,2,1,10,10,10,10,10,10,10,10,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
29,3,1,13,23,16,21,5,8,3,10,9,8,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
30,3,1,5,10,10,10,5,10,10,10,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
31,3,1,10,12,12,12,3,5,3,5,4,4,False,False,False,True,False,False,True,True,True,True,False,False,False,None,False,False,False,False,False
32,3,1,4,6,4,6,4,6,4,6,9,9,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
33,3,1,17,17,17,17,17,17,17,17,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
34,4,1,9,9,9,9,9,9,9,9,6,5,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
35,3,1,10,10,10,10,10,10,10,10,9,9,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
36,2,1,30,30,30,30,3,5,3,3,6,3,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
37,3,1,10,10,10,10,10,10,10,10,8,8,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
38,3,1,9,9,9,9,1,1,5,5,3,2,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
39,2,1,10,10,10,10,3,3,3,3,9,9,False,False,False,True,False,False,True,True,True,True,False,False,False,None,False,False,False,False,False
40,3,1,10,10,10,10,10,10,10,10,8,7,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
41,3,1,10,10,10,10,10,10,10,10,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
42,3,1,10,10,10,10,10,10,10,10,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
43,3,1,10,10,10,10,10,10,10,10,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
44,3,1,10,10,10,10,10,10,10,10,9,9,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
45,3,1,10,10,10,10,10,10,10,10,9,9,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
46,4,1,3,3,9,11,3,3,7,9,7,6,False,False,False,False,True,False,True,True,False,False,False,False,False,None,False,False,False,False,True
47,2,1,9,9,9,9,9,9,9,9,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
48,6,2,5,6,5,7,1,1,1,1,3,2,False,False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,False,False
49,5,1,10,20,10,20,2,3,2,4,8,5,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
50,8,1,3,12,3,13,3,12,3,13,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
51,3,1,10,15,12,15,10,15,12,15,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
52,4,1,3,3,3,3,3,3,3,3,7,2,True,False,False,False,False,False,False,False,False,False,True,False,False,None,False,False,True,False,False
53,4,2,3,3,3,3,3,3,3,3,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
54,3,1,30,30,30,30,30,30,30,30,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
55,2,1,12,18,14,19,12,18,14,19,2,7,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
56,7,3,3,3,3,3,1,1,1,1,5,4,False,False,False,False,True,False,True,False,False,False,True,True,False,1,False,False,False,False,True
57,3,1,8,8,8,8,3,3,6,6,4,4,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
58,5,1,6,15,6,15,6,15,6,15,1,2,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
59,3,1,11,11,11,11,11,11,11,11,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
60,2,1,5,5,11,11,5,5,11,11,5,6,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
61,4,1,18,18,18,18,18,18,18,18,9,8,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
62,4,1,10,10,10,10,10,10,10,10,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
63,3,1,10,12,10,12,10,12,10,12,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
64,4,1,9,14,12,18,9,14,12,18,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
65,3,1,5,11,5,11,2,5,2,5,5,4,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
66,3,1,10,20,10,20,10,20,10,20,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
67,3,1,2,4,6,12,2,4,2,4,6,6,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
68,3,1,10,10,10,10,10,10,10,10,10,5,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
69,2,1,10,10,10,10,10,10,10,10,6,5,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
70,3,1,17,17,17,17,17,17,17,17,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
71,2,1,16,16,16,16,16,16,16,16,5,3,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
72,4,2,13,13,5,5,6,6,5,5,3,2,False,False,False,False,False,False,True,False,False,False,False,False,False,None,False,False,False,False,True
73,3,1,5,5,5,5,5,5,5,5,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
74,4,1,30,30,30,30,30,30,30,30,10,9,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
75,3,1,9,9,13,13,9,9,13,13,10,9,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
76,3,1,13,13,13,13,13,13,13,13,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
77,3,1,15,17,14,18,15,17,14,18,5,6,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
78,3,1,10,10,10,10,10,10,10,10,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
79,3,1,14,14,14,14,3,3,3,3,6,3,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
80,3,1,24,27,24,27,24,27,24,27,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
81,2,1,7,7,7,7,7,7,7,7,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
82,2,1,6,6,7,10,6,6,7,10,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
83,3,1,3,3,4,4,6,6,8,8,3,3,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
84,3,1,3,15,3,15,3,15,3,15,4,6,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
85,2,1,8,8,20,30,8,8,20,30,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
86,3,1,10,10,10,10,10,10,10,10,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
