task_id,file_size,node_count,init_count,init_bytes,init_byte_ratio,biggest_init_bytes,biggest_init_name,biggest_init_size,biggest_init_dtype,big_init_count_4k,big_init_count_64k,big_init_count_512k,has_fp16,has_lookup_ops,ops_top,ops_total,risk_score,risk_flags
task255,306705,153,32,291734,0.9512,211250,score_static,105625,float16,5,1,0,1,0,"Reshape:23, And:23, Where:14, LessOrEqual:12, Cast:10",153,2.5,high_init_ratio;big_init>=64KB;fp16
task184,43202,71,20,38375,0.8883,36000,out_zero,9000,float32,1,0,0,1,1,"ReduceMax:11, And:11, Where:9, Cast:6, Greater:6",71,2.0,high_init_ratio;has_lookup_ops;fp16
task240,66169,11,11,65032,0.9828,36000,base_bg,9000,float32,2,0,0,1,1,"Cast:2, Mul:2, ReduceMax:2, Slice:1, Conv:1",11,2.0,high_init_ratio;has_lookup_ops;fp16
task301,19261,48,11,14718,0.7641,7200,row_grid,900,int64,2,0,0,1,1,"Cast:10, ReduceSum:4, Greater:4, Less:4, ReduceMax:3",48,2.0,high_init_ratio;has_lookup_ops;fp16
task396,27286,68,22,20893,0.7657,3604,hist_min_init,901,float32,0,0,0,1,1,"Cast:10, Mul:10, MaxPool:7, Where:5, Add:5",68,2.0,high_init_ratio;has_lookup_ops;fp16
task349,8067,25,11,6340,0.7859,3000,beam_kernel,1500,float16,0,0,0,1,0,"And:6, Cast:5, Greater:4, Not:3, ConvTranspose:2",25,1.5,high_init_ratio;fp16
task366,90138,713,45,15486,0.1718,6962,desc_idx_59,3481,float16,1,0,0,1,1,"Where:145, And:111, Equal:77, Cast:61, ReduceSum:44",713,1.0,has_lookup_ops;fp16
task233,283250,2141,94,27183,0.096,3608,hist_2_init,902,float32,0,0,0,1,1,"And:536, Where:315, Or:224, Equal:201, Slice:174",2141,1.0,has_lookup_ops;fp16
task015,3774,1,1,3600,0.9539,3600,W,900,float32,0,0,0,0,0,Conv:1,1,1.0,high_init_ratio
task021,30934,214,21,7462,0.2412,3600,row_grid,900,int32,0,0,0,1,1,"Cast:52, ReduceMax:33, Equal:27, ReduceSum:20, Greater:19",214,1.0,has_lookup_ops;fp16
task364,10636,62,23,3718,0.3496,1760,hist_init,440,float32,0,0,0,1,1,"Where:12, MaxPool:10, And:7, Slice:6, Pad:5",62,1.0,has_lookup_ops;fp16
task096,59216,456,46,3753,0.0634,1210,inside,605,float16,0,0,0,1,1,"Mul:99, Sub:59, Cast:51, ReduceSum:33, ReduceMax:24",456,1.0,has_lookup_ops;fp16
task367,9982,135,26,4270,0.4278,968,row_idx,484,float16,0,0,0,1,1,"Gather:24, Add:16, Cast:15, Sub:13, Where:12",135,1.0,has_lookup_ops;fp16
task204,11457,71,23,3917,0.3419,800,row_idx_full,400,float16,0,0,0,1,1,"And:11, Cast:9, Greater:8, Concat:5, Where:4",71,1.0,has_lookup_ops;fp16
task153,11982,103,46,1509,0.1259,513,V_init,513,int8,0,0,0,1,1,"Cast:24, Reshape:13, Mul:12, Slice:8, Where:7",103,1.0,has_lookup_ops;fp16
task044,33172,298,39,2337,0.0705,512,hist_init,128,float32,0,0,0,1,1,"Where:76, And:29, ReduceMax:24, Equal:24, Greater:23",298,1.0,has_lookup_ops;fp16
task374,5849,46,13,846,0.1446,400,hist_init,100,float32,0,0,0,1,1,"Where:12, MaxPool:9, Cast:5, And:3, Slice:2",46,1.0,has_lookup_ops;fp16
task019,2566,32,13,500,0.1949,240,arange30,30,int64,0,0,0,1,1,"Cast:4, ReduceSum:4, Add:3, ReduceMax:2, Mod:2",32,1.0,has_lookup_ops;fp16
task066,16477,291,21,1098,0.0666,240,row1,30,int64,0,0,0,1,1,"And:71, Or:25, Greater:24, LessOrEqual:20, Equal:19",291,1.0,has_lookup_ops;fp16
task069,30645,380,41,2926,0.0955,200,v36,100,float16,0,0,0,1,1,"Mul:176, Gather:74, ReduceSum:28, Where:25, Sub:23",380,1.0,has_lookup_ops;fp16
task319,5710,66,25,642,0.1124,96,arange_y,12,int64,0,0,0,1,1,"Cast:10, ReduceMax:6, ArgMax:5, Squeeze:5, Gather:5",66,1.0,has_lookup_ops;fp16
task007,1258,13,13,236,0.1876,64,pads,8,int64,0,0,0,1,1,"Reshape:4, Slice:2, ArgMax:1, Concat:1, ReduceMax:1",13,1.0,has_lookup_ops;fp16
task101,19538,125,27,488,0.025,64,/Reshape_1_output_0,8,int64,0,0,0,1,1,"Mul:14, Cast:13, Conv:13, ConvTranspose:11, Clip:10",125,1.0,has_lookup_ops;fp16
task335,3440,36,11,384,0.1116,60,ROW,30,float16,0,0,0,1,1,"Cast:5, Mul:5, ReduceSum:4, And:4, Slice:3",36,1.0,has_lookup_ops;fp16
task262,903,8,10,180,0.1993,48,pads,6,int64,0,0,0,1,1,"Slice:1, ArgMax:1, Squeeze:1, Gather:1, Unsqueeze:1",8,1.0,has_lookup_ops;fp16
task393,1538,25,8,54,0.0351,8,ch_starts,1,int64,0,0,0,1,1,"OneHot:5, ArgMax:3, Add:3, Unsqueeze:3, Mul:2",25,1.0,has_lookup_ops;fp16
task154,7883,44,14,4056,0.5145,3600,grid_mask,900,float32,0,0,0,0,1,"Mul:8, Sub:8, ReduceMax:4, Where:4, Slice:2",44,0.5,has_lookup_ops
task377,22242,196,14,3968,0.1784,3600,dist_a,900,float32,0,0,0,0,1,"Cast:28, Reshape:23, Less:22, Where:20, Not:20",196,0.5,has_lookup_ops
task324,6861,52,18,3638,0.5302,3042,x_kernel,1521,float16,0,0,0,1,0,"Cast:7, Reshape:7, Greater:6, And:4, ReduceMax:4",52,0.5,fp16
task256,4780,40,17,2308,0.4828,2028,zeros_6,1014,float16,0,0,0,1,0,"Mul:10, Sub:7, Relu:5, ReduceSum:4, Min:4",40,0.5,fp16
task285,50998,279,52,23262,0.4561,1800,ONE_HW,900,float16,0,0,0,1,0,"And:49, Where:40, Equal:28, Cast:21, Greater:21",279,0.5,fp16
task345,10079,89,23,4042,0.401,1800,zero_ch,900,float16,0,0,0,1,0,"Slice:22, Add:19, Cast:12, Sub:12, Pad:12",89,0.5,fp16
task390,4736,43,11,2158,0.4557,1800,grid_mask,900,float16,0,0,0,1,0,"Add:6, Where:5, Sub:5, ArgMax:4, Gather:4",43,0.5,fp16
task363,7690,44,19,3420,0.4447,1568,edge_pad,784,float16,0,0,0,1,0,"And:8, Greater:6, Conv:6, Cast:4, Not:4",44,0.5,fp16
task323,2497,10,6,1412,0.5655,1250,k_stamp,625,float16,0,0,0,1,0,"Cast:2, Slice:1, Conv:1, Greater:1, Or:1",10,0.5,fp16
task191,15711,200,28,3344,0.2128,1200,v23,150,int64,0,0,0,1,0,"MatMul:46, Cast:22, Reshape:21, Mul:21, ArgMax:18",200,0.5,fp16
task104,3505,21,16,2076,0.5923,972,zeros_6ch,486,float16,0,0,0,1,0,"Mul:8, Sub:4, Slice:3, ReduceMax:2, Cast:1",21,0.5,fp16
task076,39997,365,34,3786,0.0947,900,p0_idx,225,int32,0,0,0,1,0,"Where:54, Add:42, Slice:33, Gather:32, Cast:29",365,0.5,fp16
task187,5758,87,14,984,0.1709,900,border_b,900,bool,0,0,0,1,0,"Greater:24, And:17, Cast:15, MaxPool:14, Gather:10",87,0.5,fp16
task270,13845,96,23,3172,0.2291,900,ZERO15_F,225,float32,0,0,0,1,0,"Mul:28, Reshape:20, MatMul:16, ReduceSum:12, Cast:6",96,0.5,fp16
task110,21295,162,52,3439,0.1615,841,zero_label29,841,uint8,0,0,0,1,0,"Equal:29, Gather:21, Cast:15, ReduceMax:15, Reshape:14",162,0.5,fp16
task077,7690,68,20,4759,0.6189,840,v21,420,float16,0,0,0,1,0,"Mul:15, Sub:9, MaxPool:8, Cast:7, Reshape:6",68,0.5,fp16
task182,11272,136,40,2535,0.2249,840,k_combined_pack,420,float16,0,0,0,1,0,"And:41, Equal:32, Cast:14, Or:12, Slice:11",136,0.5,fp16
task280,10565,144,16,1982,0.1876,800,lin_idx,400,float16,0,0,0,1,0,"Where:32, And:22, MaxPool:15, Or:10, Not:7",144,0.5,fp16
task157,117601,2422,69,2400,0.0204,600,zero_r,150,float32,0,0,0,1,0,"And:389, Equal:233, Where:220, Cast:211, Add:180",2422,0.5,fp16
task252,3201,38,19,734,0.2293,450,parity_mask,225,float16,0,0,0,1,0,"Slice:11, Cast:11, Mul:10, Sub:2, ReduceSum:1",38,0.5,fp16
