task_id,chosen,delta,v2_score,chosen_score,v2_cost,chosen_cost
task001,v2,0.0,,,,
task002,v2,0.0,,,,
task003,v2,0.0,,,,
task004,v2,0.0,,,,
task005,v2,0.0,,,,
task006,v2,0.0,,,,
task007,v2,0.0,,,,
task008,v2,0.0,,,,
task009,v2,0.0,,,,
task010,v2,0.0,,,,
task011,v2,0.0,,,,
task012,opt,+0.000633,15.555457,15.556091,12639,12631
task013,v2,0.0,,,,
task014,v2,0.0,,,,
task015,v2,0.0,,,,
task016,v2,0.0,,,,
task017,opt,+0.005108,14.527541,14.532649,35329,35149
task018,v2,0.0,,,,
task019,v2,0.0,,,,
task020,v2,0.0,,,,
task021,int,+0.069017,14.156056,14.225073,51223,47807
task022,v2,0.0,,,,
task023,v2,0.0,,,,
task024,v2,0.0,,,,
task025,v2,0.0,,,,
task026,v2,0.0,,,,
task027,v2,0.0,,,,
task028,v2,0.0,,,,
task029,v2,0.0,,,,
task030,int,+0.164905,15.607505,15.772409,11998,10174
task031,v2,0.0,,,,
task032,v2,0.0,,,,
task033,v2,0.0,,,,
task034,v2,0.0,,,,
task035,v2,0.0,,,,
task036,v2,0.0,,,,
task037,v2,0.0,,,,
task038,v2,0.0,,,,
task039,v2,0.0,,,,
task040,v2,0.0,,,,
task041,v2,0.0,,,,
task042,v2,0.0,,,,
task043,v2,0.0,,,,
task044,sim,+0.057478,14.251782,14.309260,46547,43947
task045,opt,+0.000404,16.086988,16.087392,7428,7425
task046,v2,0.0,,,,
task047,v2,0.0,,,,
task048,v2,0.0,,,,
task049,v2,0.0,,,,
task050,v2,0.0,,,,
task051,v2,0.0,,,,
task052,v2,0.0,,,,
task053,v2,0.0,,,,
task054,v2,0.0,,,,
task055,v2,0.0,,,,
task056,v2,0.0,,,,
task057,v2,0.0,,,,
task058,v2,0.0,,,,
task059,v2,0.0,,,,
task060,v2,0.0,,,,
task061,v2,0.0,,,,
task062,v2,0.0,,,,
task063,v2,0.0,,,,
task064,v2,0.0,,,,
task065,v2,0.0,,,,
task066,opt,+0.034734,13.455004,13.489738,103259,99734
task067,v2,0.0,,,,
task068,v2,0.0,,,,
task069,int,+0.009541,13.658456,13.667997,84250,83450
task070,v2,0.0,,,,
task071,v2,0.0,,,,
task072,v2,0.0,,,,
task073,v2,0.0,,,,
task074,v2,0.0,,,,
task075,v2,0.0,,,,
task076,sim,+0.009292,12.292867,12.302159,330094,327041
task077,v2,0.0,,,,
task078,v2,0.0,,,,
task079,v2,0.0,,,,
task080,opt,+0.000642,14.352625,14.353266,42082,42055
task081,v2,0.0,,,,
task082,v2,0.0,,,,
task083,v2,0.0,,,,
task084,v2,0.0,,,,
task085,v2,0.0,,,,
task086,v2,0.0,,,,
task087,v2,0.0,,,,
task088,v2,0.0,,,,
task089,v2,0.0,,,,
task090,v2,0.0,,,,
task091,v2,0.0,,,,
task092,opt,+0.000022,14.257319,14.257340,46290,46289
task093,v2,0.0,,,,
task094,v2,0.0,,,,
task095,v2,0.0,,,,
task096,opt,+0.046619,12.825227,12.871846,193837,185008
task097,opt,+0.000036,14.070256,14.070292,55812,55810
task098,v2,0.0,,,,
task099,v2,0.0,,,,
task100,v2,0.0,,,,
task101,v2,0.0,,,,
task102,v2,0.0,,,,
task103,int,+0.020943,19.737310,19.758253,193,189
task104,v2,0.0,,,,
task105,v2,0.0,,,,
task106,v2,0.0,,,,
task107,v2,0.0,,,,
task108,v2,0.0,,,,
task109,v2,0.0,,,,
task110,opt,+0.004626,13.399055,13.403681,109201,108697
task111,v2,0.0,,,,
task112,v2,0.0,,,,
task113,v2,0.0,,,,
task114,v2,0.0,,,,
task115,v2,0.0,,,,
task116,v2,0.0,,,,
task117,v2,0.0,,,,
task118,sim,+0.000361,13.336192,13.336553,116286,116244
task119,v2,0.0,,,,
task120,v2,0.0,,,,
task121,v2,0.0,,,,
task122,v2,0.0,,,,
task123,v2,0.0,,,,
task124,v2,0.0,,,,
task125,v2,0.0,,,,
task126,v2,0.0,,,,
task127,v2,0.0,,,,
task128,v2,0.0,,,,
task129,v2,0.0,,,,
task130,v2,0.0,,,,
task131,v2,0.0,,,,
task132,v2,0.0,,,,
task133,opt,+0.000595,12.810072,12.810667,196797,196680
task134,v2,0.0,,,,
task135,v2,0.0,,,,
task136,v2,0.0,,,,
task137,v2,0.0,,,,
task138,opt,+0.003321,14.209445,14.212766,48560,48399
task139,v2,0.0,,,,
task140,v2,0.0,,,,
task141,v2,0.0,,,,
task142,v2,0.0,,,,
task143,v2,0.0,,,,
task144,v2,0.0,,,,
task145,v2,0.0,,,,
task146,v2,0.0,,,,
task147,v2,0.0,,,,
task148,v2,0.0,,,,
task149,v2,0.0,,,,
task150,v2,0.0,,,,
task151,v2,0.0,,,,
task152,v2,0.0,,,,
task153,sim,+0.006685,15.012033,15.018718,21763,21618
task154,int,+0.049293,14.272907,14.322200,45574,43382
task155,v2,0.0,,,,
task156,sim,+0.007637,14.813140,14.820776,26552,26350
task157,opt,+0.118725,13.651336,13.770061,84852,75353
task158,opt,+0.011171,12.827210,12.838381,193453,191304
task159,v2,0.0,,,,
task160,v2,0.0,,,,
task161,opt,+0.000124,13.923303,13.923427,64647,64639
task162,v2,0.0,,,,
task163,v2,0.0,,,,
task164,v2,0.0,,,,
task165,v2,0.0,,,,
task166,v2,0.0,,,,
task167,v2,0.0,,,,
task168,v2,0.0,,,,
task169,v2,0.0,,,,
task170,v2,0.0,,,,
task171,v2,0.0,,,,
task172,v2,0.0,,,,
task173,v2,0.0,,,,
task174,v2,0.0,,,,
task175,v2,0.0,,,,
task176,v2,0.0,,,,
task177,int,+0.022609,13.978196,14.000804,61194,59826
task178,v2,0.0,,,,
task179,v2,0.0,,,,
task180,v2,0.0,,,,
task181,v2,0.0,,,,
task182,opt,+0.000798,14.228887,14.229685,47625,47587
task183,v2,0.0,,,,
task184,v2,0.0,,,,
task185,v2,0.0,,,,
task186,int,+0.011050,19.102846,19.113896,364,360
task187,v2,0.0,,,,
task188,v2,0.0,,,,
task189,v2,0.0,,,,
task190,v2,0.0,,,,
task191,sim,+0.036040,13.602800,13.638840,89072,85919
task192,v2,0.0,,,,
