task_id,v3_train_pass,v3_test_pass,v3_argen_pass,v3_total_pass_ratio,v3_status,v3_cost,v3_score,ours_total_pass_ratio,ours_status,ours_cost,ours_score,risk_label
task002,5/5,1/1,262/262,268/268,ok,97293,13.5145,268/268,ok,97693,13.5104,ok
task007,3/3,1/1,262/262,266/266,ok,7271,16.1084,266/266,ok,8251,15.9819,ok
task012,2/2,1/1,262/262,265/265,ok,12631,15.5561,265/265,ok,13782,15.4689,ok
task014,3/3,1/1,262/262,266/266,ok,39049,14.4274,266/266,ok,74846,13.7768,ok
task015,3/3,1/1,261/261,265/265,ok,900,18.1976,265/265,ok,900,18.1976,ok
task017,3/3,1/1,262/262,266/266,ok,35149,14.5326,266/266,ok,39558,14.4145,ok
task019,4/4,1/1,262/262,267/267,ok,81346,13.6935,267/267,ok,137868,13.1659,ok
task021,3/3,1/1,73/73,77/77,ok,47807,14.2251,77/77,ok,60768,13.9852,ok
task022,3/3,1/1,262/262,266/266,ok,34821,14.5420,266/266,ok,44933,14.2871,ok
task023,3/3,1/1,262/262,266/266,ok,72612,13.8071,266/266,ok,605720,11.6858,ok
task025,3/3,1/1,262/262,266/266,ok,140093,13.1499,266/266,ok,340764,12.2611,ok
task029,3/3,1/1,262/262,266/266,ok,97117,13.5163,266/266,ok,98377,13.5034,ok
task030,3/3,1/1,262/262,266/266,ok,10174,15.7724,266/266,ok,46587,14.2509,ok
task031,3/3,1/1,262/262,266/266,ok,18616,15.1682,266/266,ok,18688,15.1644,ok
task035,3/3,1/1,262/262,266/266,ok,15363,15.3603,266/266,ok,25693,14.8460,ok
task036,2/2,1/1,262/262,265/265,ok,79962,13.7107,265/265,ok,79991,13.7103,ok
task039,2/2,1/1,261/261,264/264,ok,7772,16.0417,264/264,ok,7832,16.0340,ok
task040,3/3,1/1,262/262,266/266,ok,7868,16.0294,266/266,ok,10118,15.7779,ok
task041,3/3,1/1,262/262,266/266,ok,11769,15.6268,266/266,ok,16327,15.2994,ok
task042,3/3,1/1,262/262,266/266,ok,8518,15.9501,266/266,ok,17067,15.2551,ok
task044,3/3,1/1,262/262,266/266,ok,43947,14.3093,266/266,ok,2380303,10.3173,ok
task045,3/3,1/1,261/261,265/265,ok,7425,16.0874,265/265,ok,7782,16.0404,ok
task047,2/2,1/1,262/262,265/265,ok,3024,16.9857,265/265,ok,4950,16.4929,ok
task049,5/5,1/1,262/262,268/268,ok,30489,14.6749,268/268,ok,32413,14.6137,ok
task054,3/3,1/1,262/262,266/266,ok,150548,13.0780,266/266,ok,182056,12.8879,ok
task056,7/7,3/3,36/36,46/46,ok,213,19.6387,46/46,ok,560,18.6721,ok
task057,3/3,1/1,261/261,265/265,ok,29304,14.7145,265/265,ok,46815,14.2460,ok
task064,4/4,1/1,262/262,267/267,ok,114153,13.3547,267/267,ok,131816,13.2108,ok
task066,3/3,1/1,262/262,266/266,ok,99734,13.4897,266/266,ok,499535,11.8786,ok
task069,2/2,1/1,261/261,264/264,ok,83450,13.6680,264/264,ok,84370,13.6570,ok
task072,4/4,2/2,262/262,268/268,ok,1309,17.8230,268/268,ok,1338,17.8011,ok
task076,3/3,1/1,262/262,266/266,ok,327041,12.3022,266/266,ok,1418521,10.8349,ok
task077,3/3,1/1,262/262,266/266,ok,157913,13.0302,266/266,ok,192353,12.8329,ok
task079,3/3,1/1,262/262,266/266,ok,21383,15.0296,266/266,ok,24953,14.8753,ok
task080,3/3,1/1,227/227,231/231,ok,42055,14.3533,231/231,ok,155145,13.0479,ok
task087,4/4,1/1,261/261,266/266,ok,368,19.0919,266/266,ok,376,19.0704,ok
task088,4/4,1/1,262/262,267/267,ok,72766,13.8050,267/267,ok,101870,13.4685,ok
task091,3/3,1/1,262/262,266/266,ok,51466,14.1513,266/266,ok,51495,14.1508,ok
task092,2/2,1/1,262/262,265/265,ok,46289,14.2573,265/265,ok,151526,13.0715,ok
task093,3/3,1/1,261/261,265/265,ok,15458,15.3541,265/265,ok,33543,14.5794,ok
task094,2/2,1/1,262/262,265/265,ok,10453,15.7454,265/265,ok,42120,14.3517,ok
task096,3/3,1/1,262/262,266/266,ok,185008,12.8718,266/266,ok,480075,11.9183,ok
task097,4/4,1/1,262/262,267/267,ok,55810,14.0703,267/267,ok,69322,13.8535,ok
task100,3/3,1/1,262/262,266/266,ok,6536,16.2149,266/266,ok,7076,16.1355,ok
task101,3/3,1/1,262/262,266/266,ok,374431,12.1668,266/266,ok,1261888,10.9519,ok
task102,4/4,1/1,262/262,267/267,ok,12607,15.5580,267/267,ok,44691,14.2925,ok
task103,6/6,2/2,215/215,223/223,ok,189,19.7583,223/223,ok,256,19.4548,ok
task104,2/2,1/1,4/4,7/7,ok,3682,16.7888,7/7,ok,3762,16.7673,ok
task105,3/3,1/1,262/262,266/266,ok,7055,16.1385,266/266,ok,36480,14.4955,ok
task110,3/3,1/1,262/262,266/266,ok,108697,13.4037,266/266,ok,117106,13.3292,ok
task118,4/4,1/1,262/262,267/267,ok,116244,13.3366,267/267,ok,2155775,10.4163,ok
task119,3/3,1/1,262/262,266/266,ok,16640,15.2804,266/266,ok,47848,14.2242,ok
task133,4/4,1/1,262/262,267/267,ok,196680,12.8107,267/267,ok,9344642,8.9497,ok
task134,3/3,1/1,262/262,266/266,ok,12388,15.5755,266/266,ok,16997,15.2592,ok
task135,4/4,1/1,261/261,266/266,ok,360,19.1139,266/266,ok,366,19.0974,ok
task136,3/3,1/1,262/262,266/266,ok,4837,16.5160,266/266,ok,12433,15.5719,ok
