task_id,source,delta_local_vs_v4,audit_pass_ratio,v4_audit_pass_ratio,audit_perfect,v4_perfect,reason,decision
task001,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task002,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task003,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task004,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task005,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task006,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task007,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task008,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task009,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task010,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task011,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task012,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task013,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task014,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task015,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task016,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task017,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task018,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task019,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task020,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task021,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task022,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task023,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task024,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task025,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task026,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task027,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task028,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task029,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task030,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task031,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task032,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task033,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task034,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task035,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task036,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task037,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task038,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task039,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task040,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task041,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task042,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task043,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task044,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task045,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task046,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task047,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task048,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task049,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task050,v4,0.0000,,,1,1,inherit_v4,inherit_v4
