task_id,train,test,argen,total_pass,perfect
task007,3/3,1/1,262/262,266/266,1
task014,3/3,1/1,262/262,266/266,1
task017,3/3,1/1,262/262,266/266,1
task019,4/4,1/1,262/262,267/267,1
task021,3/3,1/1,73/73,77/77,1
task022,3/3,1/1,262/262,266/266,1
task023,3/3,1/1,262/262,266/266,1
task025,3/3,1/1,262/262,266/266,1
task030,3/3,1/1,262/262,266/266,1
task035,3/3,1/1,262/262,266/266,1
task040,3/3,1/1,262/262,266/266,1
task041,3/3,1/1,262/262,266/266,1
task042,3/3,1/1,262/262,266/266,1
task044,3/3,1/1,262/262,266/266,1
task047,2/2,1/1,262/262,265/265,1
task054,3/3,1/1,262/262,266/266,1
task056,7/7,3/3,36/36,46/46,1
task057,3/3,1/1,261/261,265/265,1
task064,4/4,1/1,262/262,267/267,1
task066,3/3,1/1,262/262,266/266,1
task076,3/3,1/1,262/262,266/266,1
task077,3/3,1/1,262/262,266/266,1
task079,3/3,1/1,262/262,266/266,1
task080,3/3,1/1,227/227,231/231,1
task088,4/4,1/1,262/262,267/267,1
task092,2/2,1/1,262/262,265/265,1
task093,3/3,1/1,261/261,265/265,1
task094,2/2,1/1,262/262,265/265,1
task096,3/3,1/1,262/262,266/266,1
task097,4/4,1/1,262/262,267/267,1
task101,3/3,1/1,262/262,266/266,1
task102,4/4,1/1,262/262,267/267,1
task103,6/6,2/2,215/215,223/223,1
task105,3/3,1/1,262/262,266/266,1
task118,4/4,1/1,262/262,267/267,1
task119,3/3,1/1,262/262,266/266,1
task133,4/4,1/1,262/262,267/267,1
task134,3/3,1/1,262/262,266/266,1
task136,3/3,1/1,262/262,266/266,1
task138,3/3,1/1,262/262,266/266,1
task153,3/3,1/1,261/261,265/265,1
task154,3/3,1/1,262/262,266/266,1
task156,2/2,1/1,262/262,265/265,1
task157,2/2,1/1,262/262,265/265,1
task158,3/3,1/1,262/262,266/266,1
task160,2/2,1/1,262/262,265/265,1
task161,3/3,1/1,262/262,266/266,1
task169,3/3,1/1,262/262,266/266,1
task177,3/3,1/1,261/261,265/265,1
task182,4/4,1/1,262/262,267/267,1
task185,4/4,1/1,262/262,267/267,1
task186,10/10,2/2,255/255,267/267,1
task200,3/3,1/1,80/80,84/84,1
task204,5/5,1/1,262/262,268/268,1
task205,3/3,1/1,262/262,266/266,1
task209,3/3,1/1,262/262,266/266,1
task215,2/2,1/1,262/262,265/265,1
task217,3/3,1/1,262/262,266/266,1
task219,3/3,1/1,261/261,265/265,1
task233,3/3,1/1,262/262,266/266,1
task234,3/3,1/1,262/262,266/266,1
task236,4/4,1/1,262/262,267/267,1
task242,3/3,1/1,262/262,266/266,1
task243,3/3,1/1,261/261,265/265,1
task245,4/4,1/1,262/262,267/267,1
task262,4/4,1/1,6/6,11/11,1
task277,3/3,1/1,262/262,266/266,1
task280,4/4,1/1,262/262,267/267,1
task284,3/3,1/1,262/262,266/266,1
task285,3/3,1/1,261/261,265/265,1
task290,3/3,1/1,262/262,266/266,1
task302,3/3,1/1,262/262,266/266,1
task306,2/2,1/1,262/262,265/265,1
task308,3/3,1/1,262/262,266/266,1
task310,3/3,1/1,262/262,266/266,1
task315,3/3,1/1,262/262,266/266,1
task316,3/3,1/1,262/262,266/266,1
task319,4/4,1/1,262/262,267/267,1
task322,3/3,1/1,262/262,266/266,1
task323,2/2,1/1,169/169,172/172,1
task324,3/3,1/1,262/262,266/266,1
task334,7/7,2/2,262/262,271/271,1
task345,2/2,1/1,261/261,264/264,1
task350,4/4,1/1,262/262,267/267,1
task354,3/3,1/1,262/262,266/266,1
task355,4/4,1/1,262/262,267/267,1
task359,3/3,1/1,262/262,266/266,1
task363,3/3,1/1,261/261,265/265,1
task364,3/3,1/1,262/262,266/266,1
task366,3/3,1/1,251/251,255/255,1
task367,3/3,1/1,262/262,266/266,1
task370,3/3,1/1,262/262,266/266,1
task372,3/3,1/1,262/262,266/266,1
task373,2/2,1/1,72/72,75/75,1
task374,4/4,1/1,262/262,267/267,1
task376,2/2,1/1,36/36,39/39,1
task381,3/3,1/1,261/261,265/265,1
task382,3/3,1/1,262/262,266/266,1
task387,4/4,1/1,261/261,266/266,1
task388,3/3,1/1,262/262,266/266,1
task393,3/3,1/1,261/261,265/265,1
