task_id,v4p3_train_pass,v4p3_test_pass,v4p3_argen_pass,v4p3_total_pass_ratio,v4p3_status,v4p3_cost,v4p3_score,v4plus_total_pass_ratio,v4plus_status,v4plus_cost,v4plus_score,risk_label,perfect
task001,5/5,1/1,262/262,268/268,ok,2861,17.0411,268/268,ok,2861,17.0411,ok,1
task002,5/5,1/1,262/262,268/268,ok,97693,13.5104,268/268,ok,97693,13.5104,ok,1
task003,3/3,1/1,261/261,265/265,ok,9104,15.8835,265/265,ok,9104,15.8835,ok,1
task004,2/2,1/1,262/262,265/265,ok,55020,14.0845,265/265,ok,55020,14.0845,ok,1
task005,3/3,1/1,262/262,266/266,ok,117225,13.3281,266/266,ok,117225,13.3281,ok,1
task006,3/3,1/1,262/262,266/266,ok,1631,17.6031,266/266,ok,1631,17.6031,ok,1
task007,3/3,1/1,262/262,266/266,ok,7271,16.1084,266/266,ok,7271,16.1084,ok,1
task008,3/3,1/1,262/262,266/266,ok,23289,14.9443,266/266,ok,23289,14.9443,ok,1
task009,3/3,1/1,261/261,265/265,ok,81241,13.6948,265/265,ok,81241,13.6948,ok,1
task010,2/2,1/1,262/262,265/265,ok,5016,16.4796,265/265,ok,5016,16.4796,ok,1
task011,4/4,1/1,262/262,267/267,ok,66247,13.8989,267/267,ok,66247,13.8989,ok,1
task012,2/2,1/1,262/262,265/265,ok,13782,15.4689,265/265,ok,13782,15.4689,ok,1
task013,4/4,1/1,262/262,267/267,ok,116882,13.3311,267/267,ok,116882,13.3311,ok,1
task014,3/3,1/1,262/262,266/266,ok,39049,14.4274,266/266,ok,39049,14.4274,ok,1
task015,3/3,1/1,261/261,265/265,ok,900,18.1976,265/265,ok,900,18.1976,ok,1
task016,4/4,1/1,262/262,267/267,ok,10,22.6974,267/267,ok,10,22.6974,ok,1
task017,3/3,1/1,262/262,266/266,ok,35149,14.5326,266/266,ok,35149,14.5326,ok,1
task018,0/3,0/1,0/262,0/266,ok,476185,11.9264,0/266,ok,476185,11.9264,BOTH_VISIBLE_FAIL_TIED,0
task019,4/4,1/1,262/262,267/267,ok,81346,13.6935,267/267,ok,81346,13.6935,ok,1
task020,3/3,1/1,262/262,266/266,ok,90133,13.5910,266/266,ok,90133,13.5910,ok,1
task021,3/3,1/1,73/73,77/77,ok,47807,14.2251,77/77,ok,47807,14.2251,ok,1
task022,3/3,1/1,262/262,266/266,ok,34821,14.5420,266/266,ok,34821,14.5420,ok,1
task023,3/3,1/1,262/262,266/266,ok,72612,13.8071,266/266,ok,72612,13.8071,ok,1
task024,3/3,1/1,262/262,266/266,ok,9080,15.8862,266/266,ok,9080,15.8862,ok,1
task025,3/3,1/1,262/262,266/266,ok,140093,13.1499,266/266,ok,140093,13.1499,ok,1
task026,5/5,1/1,262/262,268/268,ok,738,18.3961,268/268,ok,738,18.3961,ok,1
task027,3/3,1/1,261/261,265/265,ok,36791,14.4870,265/265,ok,36791,14.4870,ok,1
task028,2/2,1/1,262/262,265/265,ok,8990,15.8961,265/265,ok,8990,15.8961,ok,1
task029,3/3,1/1,262/262,266/266,ok,98377,13.5034,266/266,ok,98377,13.5034,ok,1
task030,3/3,1/1,262/262,266/266,ok,10174,15.7724,266/266,ok,10174,15.7724,ok,1
task031,3/3,1/1,262/262,266/266,ok,18688,15.1644,266/266,ok,18688,15.1644,ok,1
task032,3/3,1/1,262/262,266/266,ok,3405,16.8670,266/266,ok,3405,16.8670,ok,1
task033,3/3,1/1,261/261,265/265,ok,55161,14.0820,265/265,ok,55161,14.0820,ok,1
