task_id,source,v4plus3_visible_pass,v3_visible_pass,v4plus3_cost,v3_cost,v4plus3_score,v3_score,delta_score,accepted,reject_reason
task002,v3-raw-nadeem,268/268,268/268,97693,97293,13.5104,13.5145,+0.0041,True,
task012,v3-lossless(opt),265/265,265/265,13782,12631,15.4689,15.5561,+0.0872,True,
task015,v3-raw-nadeem,265/265,265/265,900,900,18.1976,18.1976,+0.0000,True,
task029,v3-raw-nadeem,266/266,266/266,98377,97117,13.5034,13.5163,+0.0129,True,
task031,v3-raw-nadeem,266/266,266/266,18688,18616,15.1644,15.1682,+0.0039,True,
task036,v3-raw-nadeem,265/265,265/265,79991,79962,13.7103,13.7107,+0.0004,True,
task039,v3-raw-nadeem,264/264,264/264,7832,7772,16.0340,16.0417,+0.0077,True,
task045,v3-lossless(opt),265/265,265/265,7782,7425,16.0404,16.0874,+0.0470,True,
task049,v3-raw-nadeem,268/268,268/268,32413,30489,14.6137,14.6749,+0.0612,True,
task069,v3-lossless(int),264/264,264/264,84370,83450,13.6570,13.6680,+0.0110,True,
task072,v3-raw-nadeem,268/268,268/268,1338,1309,17.8011,17.8230,+0.0219,True,
task087,v3-raw-nadeem,266/266,266/266,376,368,19.0704,19.0919,+0.0215,True,
task091,v3-raw-nadeem,266/266,266/266,51495,51466,14.1508,14.1513,+0.0006,True,
task100,v3-raw-nadeem,266/266,266/266,7076,6536,16.1355,16.2149,+0.0794,True,
task104,v3-raw-nadeem,7/7,7/7,3762,3682,16.7673,16.7888,+0.0215,True,
task110,v3-lossless(opt),266/266,266/266,117106,108697,13.3292,13.4037,+0.0745,True,
task135,v3-raw-nadeem,266/266,266/266,366,360,19.0974,19.1139,+0.0165,True,
task140,v3-raw-nadeem,265/265,265/265,376,368,19.0704,19.0919,+0.0215,True,
task150,v3-raw-nadeem,266/266,266/266,1076,1014,18.0190,18.0783,+0.0593,True,
task155,v3-raw-nadeem,266/266,266/266,1076,1014,18.0190,18.0783,+0.0593,True,
task168,v3-raw-nadeem,265/265,265/265,20503,20403,15.0717,15.0766,+0.0049,True,
task170,v3-raw-nadeem,266/266,266/266,82130,78564,13.6839,13.7283,+0.0444,True,
task173,v3-raw-nadeem,266/266,266/266,181492,175243,12.8910,12.9261,+0.0350,True,
task174,v3-raw-nadeem,266/266,266/266,53099,52019,14.1201,14.1406,+0.0205,True,
task187,v3-raw-nadeem,266/266,266/266,106213,105313,13.4268,13.4353,+0.0085,True,
task189,v3-raw-nadeem,266/266,266/266,24684,24649,14.8861,14.8875,+0.0014,True,
task192,v3-raw-nadeem,265/265,265/265,54535,51968,14.0934,14.1416,+0.0482,True,
task201,v3-raw-nadeem,266/266,266/266,93480,92700,13.5545,13.5629,+0.0084,True,
task206,v3-raw-nadeem,266/266,266/266,66480,61387,13.8953,13.9750,+0.0797,True,
task212,v3-raw-nadeem,265/265,265/265,10069,9970,15.7828,15.7927,+0.0099,True,
task213,v3-lossless(int),265/265,265/265,52361,50117,14.1341,14.1779,+0.0438,True,
task216,v3-raw-nadeem,266/266,266/266,104412,103812,13.4439,13.4497,+0.0058,True,
task225,v3-raw-nadeem,265/265,265/265,11240,11078,15.6728,15.6873,+0.0145,True,
task244,v3-lossless(int),266/266,266/266,32612,31770,14.6076,14.6337,+0.0262,True,
task250,v3-raw-nadeem,265/265,265/265,13401,12141,15.4969,15.5957,+0.0987,True,
task251,v3-raw-nadeem,266/266,266/266,101479,100580,13.4724,13.4813,+0.0089,True,
task252,v3-raw-nadeem,266/266,266/266,38286,38062,14.4472,14.4530,+0.0059,True,
task256,v3-raw-nadeem,266/266,266/266,21291,21123,15.0340,15.0419,+0.0079,True,
