task_id,source,src_path,src_sha256,v4plus3_visible_pass,v3_visible_pass,v4plus3_cost,v3_cost,delta_score
task002,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task002.onnx,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,268/268,268/268,97693,97293,+0.0041
task012,v3-lossless(opt),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task012.onnx,df320d75ab6b4ecabfe62ab2fba6c963a9060bd9c5703fcede7dc2ff460629bc,265/265,265/265,13782,12631,+0.0872
task015,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task015.onnx,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,265/265,265/265,900,900,+0.0000
task029,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task029.onnx,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,266/266,266/266,98377,97117,+0.0129
task031,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task031.onnx,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,266/266,266/266,18688,18616,+0.0039
task036,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task036.onnx,8ad069570318576344e7e26773ca8c93f34a12bc4d8ac98bb1e9cefbccb0c819,265/265,265/265,79991,79962,+0.0004
task039,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task039.onnx,4e9c2db4798edb627e65601fb59b0b194a91b536746f1a97fab3a7317054d3be,264/264,264/264,7832,7772,+0.0077
task045,v3-lossless(opt),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task045.onnx,0c34816a463730d6403766497323fdce1fb6a7be67eeb158470819ca76faf13a,265/265,265/265,7782,7425,+0.0470
task049,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task049.onnx,d742f5db9437894536afe2db2b87d8b3899117c92daf69927ab3854301d03698,268/268,268/268,32413,30489,+0.0612
task069,v3-lossless(int),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task069.onnx,d2518099f15584b46e7c6dc8aa9d4faa97b7ffeba7215c32b117fc0ea627ee57,264/264,264/264,84370,83450,+0.0110
task072,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task072.onnx,ce9138206dc060641e07a1ee45e8b332b0e4bcdfe0a06d625d8668c10d6d33e5,268/268,268/268,1338,1309,+0.0219
