task_id,v4plus_pass,v4_pass,ours_pass,v4plus_status,v4plus_cost,v4plus_score,v4_cost,ours_cost,regression_from_v4,perfect
task001,268/268,268/268,268/268,ok,2861,17.0411,2861,2861,0,1
task002,268/268,268/268,268/268,ok,97693,13.5104,97693,97693,0,1
task003,265/265,265/265,265/265,ok,9104,15.8835,9104,9104,0,1
task004,265/265,265/265,265/265,ok,55020,14.0845,55020,55020,0,1
task005,266/266,266/266,266/266,ok,117225,13.3281,117225,117225,0,1
task006,266/266,266/266,266/266,ok,1631,17.6031,1631,1631,0,1
task007,266/266,266/266,266/266,ok,7271,16.1084,7271,8251,0,1
task008,266/266,266/266,266/266,ok,23289,14.9443,23289,23289,0,1
task009,265/265,265/265,265/265,ok,81241,13.6948,81241,81241,0,1
task010,265/265,265/265,265/265,ok,5016,16.4796,5016,5016,0,1
task011,267/267,267/267,267/267,ok,66247,13.8989,66247,66247,0,1
task012,265/265,265/265,265/265,ok,13782,15.4689,13782,13782,0,1
task013,267/267,267/267,267/267,ok,116882,13.3311,116882,116882,0,1
task014,266/266,266/266,266/266,ok,39049,14.4274,39049,74846,0,1
task015,265/265,265/265,265/265,ok,900,18.1976,900,900,0,1
task016,267/267,267/267,267/267,ok,10,22.6974,10,10,0,1
task017,266/266,266/266,266/266,ok,35149,14.5326,35149,39558,0,1
task018,0/266,0/266,0/266,ok,476185,11.9264,869893,869893,0,0
task019,267/267,267/267,267/267,ok,81346,13.6935,81346,137868,0,1
task020,266/266,266/266,266/266,ok,90133,13.5910,90133,90133,0,1
task021,77/77,77/77,77/77,ok,47807,14.2251,47807,60768,0,1
task022,266/266,266/266,266/266,ok,34821,14.5420,34821,44933,0,1
task023,266/266,266/266,266/266,ok,72612,13.8071,72612,605720,0,1
task024,266/266,266/266,266/266,ok,9080,15.8862,9080,9080,0,1
task025,266/266,266/266,266/266,ok,140093,13.1499,140093,340764,0,1
task026,268/268,268/268,268/268,ok,738,18.3961,738,738,0,1
task027,265/265,265/265,265/265,ok,36791,14.4870,36791,36791,0,1
task028,265/265,265/265,265/265,ok,8990,15.8961,8990,8990,0,1
task029,266/266,266/266,266/266,ok,98377,13.5034,98377,98377,0,1
task030,266/266,266/266,266/266,ok,10174,15.7724,10174,46587,0,1
task031,266/266,266/266,266/266,ok,18688,15.1644,18688,18688,0,1
task032,266/266,266/266,266/266,ok,3405,16.8670,3405,3405,0,1
task033,265/265,265/265,265/265,ok,55161,14.0820,55161,55161,0,1
task034,267/267,267/267,267/267,ok,106796,13.4213,106796,106796,0,1
task035,266/266,266/266,266/266,ok,15363,15.3603,15363,25693,0,1
task036,265/265,265/265,265/265,ok,79991,13.7103,79991,79991,0,1
task037,266/266,266/266,266/266,ok,63726,13.9377,63726,63726,0,1
task038,266/266,266/266,266/266,ok,2193,17.3070,2193,2193,0,1
task039,264/264,264/264,264/264,ok,7832,16.0340,7832,7832,0,1
task040,266/266,266/266,266/266,ok,7868,16.0294,7868,10118,0,1
task041,266/266,266/266,266/266,ok,11769,15.6268,11769,16327,0,1
task042,266/266,266/266,266/266,ok,8518,15.9501,8518,17067,0,1
task043,266/266,266/266,266/266,ok,7119,16.1295,7119,7119,0,1
task044,266/266,266/266,266/266,ok,43947,14.3093,43947,2380303,0,1
task045,265/265,265/265,265/265,ok,7782,16.0404,7782,7782,0,1
task046,267/267,267/267,267/267,ok,33426,14.5829,33426,33426,0,1
task047,265/265,265/265,265/265,ok,3024,16.9857,3024,4950,0,1
task048,270/270,270/270,270/270,ok,5605,16.3686,5605,5605,0,1
task049,268/268,268/268,268/268,ok,32413,14.6137,32413,32413,0,1
task050,271/271,271/271,271/271,ok,9475,15.8436,9475,9475,0,1
task051,265/265,265/265,265/265,ok,68437,13.8663,68437,68437,0,1
task052,267/267,267/267,267/267,ok,1228,17.8869,1228,1228,0,1
task053,60/60,60/60,60/60,ok,30,21.5988,30,30,0,1
task054,266/266,266/266,266/266,ok,150548,13.0780,150548,182056,0,1
task055,263/263,263/263,263/263,ok,26490,14.8155,26490,26490,0,1
task056,46/46,46/46,46/46,ok,213,19.6387,213,560,0,1
task057,265/265,265/265,265/265,ok,29304,14.7145,29304,46815,0,1
task058,22/22,22/22,22/22,ok,16105,15.3131,16105,16105,0,1
task059,266/266,266/266,266/266,ok,20411,15.0762,20411,20411,0,1
task060,265/265,265/265,265/265,ok,5581,16.3729,5581,5581,0,1
task061,267/267,267/267,267/267,ok,18914,15.1523,18914,18914,0,1
task062,267/267,267/267,267/267,ok,30609,14.6710,30609,30609,0,1
task063,266/266,266/266,266/266,ok,30732,14.6669,30732,30732,0,1
task064,267/267,267/267,267/267,ok,114153,13.3547,114153,131816,0,1
task065,266/266,266/266,266/266,ok,34777,14.5433,34777,34777,0,1
task066,266/266,266/266,266/266,ok,99734,13.4897,99734,499535,0,1
task067,266/266,266/266,266/266,ok,315,19.2474,315,315,0,1
task068,266/266,266/266,266/266,ok,12589,15.5594,12589,12589,0,1
task069,264/264,264/264,264/264,ok,84370,13.6570,84370,84370,0,1
task070,266/266,266/266,266/266,ok,66138,13.9005,66138,66138,0,1
task071,265/265,265/265,265/265,ok,129780,13.2264,129780,129780,0,1
task072,268/268,268/268,268/268,ok,1338,17.8011,1338,1338,0,1
task073,15/15,15/15,15/15,ok,910,18.1866,910,910,0,1
task074,267/267,267/267,267/267,ok,21825,15.0092,21825,21825,0,1
task075,265/265,265/265,265/265,ok,28487,14.7428,28487,28487,0,1
task076,266/266,266/266,266/266,ok,327041,12.3022,327041,1418521,0,1
task077,266/266,266/266,266/266,ok,157913,13.0302,157913,192353,0,1
task078,266/266,266/266,266/266,ok,11496,15.6502,11496,11496,0,1
task079,266/266,266/266,266/266,ok,21383,15.0296,21383,24953,0,1
task080,231/231,231/231,231/231,ok,42055,14.3533,42055,155145,0,1
task081,264/264,264/264,264/264,ok,2307,17.2563,2307,2307,0,1
task082,265/265,265/265,265/265,ok,23479,14.9361,23479,23479,0,1
task083,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task084,175/175,175/175,175/175,ok,19513,15.1212,19513,19513,0,1
task085,265/265,265/265,265/265,ok,113178,13.3633,113178,113178,0,1
task086,266/266,266/266,266/266,ok,24705,14.8852,24705,24705,0,1
task087,266/266,266/266,266/266,ok,376,19.0704,376,376,0,1
task088,267/267,267/267,267/267,ok,72766,13.8050,72766,101870,0,1
task089,267/267,267/267,267/267,ok,50042,14.1794,50042,50042,0,1
task090,267/267,267/267,267/267,ok,63354,13.9435,63354,63354,0,1
task091,266/266,266/266,266/266,ok,51495,14.1508,51495,51495,0,1
task092,265/265,265/265,265/265,ok,46289,14.2573,46289,151526,0,1
task093,265/265,265/265,265/265,ok,15458,15.3541,15458,33543,0,1
task094,265/265,265/265,265/265,ok,10453,15.7454,10453,42120,0,1
task095,265/265,265/265,265/265,ok,910,18.1866,910,910,0,1
task096,266/266,266/266,266/266,ok,185008,12.8718,185008,480075,0,1
task097,267/267,267/267,267/267,ok,55810,14.0703,55810,69322,0,1
task098,266/266,266/266,266/266,ok,910,18.1866,910,910,0,1
task099,265/265,265/265,265/265,ok,4910,16.5010,4910,4910,0,1
task100,266/266,266/266,266/266,ok,7076,16.1355,7076,7076,0,1
task101,266/266,266/266,266/266,ok,374431,12.1668,374431,1261888,0,1
task102,267/267,267/267,267/267,ok,12607,15.5580,12607,44691,0,1
task103,223/223,223/223,223/223,ok,189,19.7583,189,256,0,1
task104,7/7,7/7,7/7,ok,3762,16.7673,3762,3762,0,1
task105,266/266,266/266,266/266,ok,7055,16.1385,7055,36480,0,1
task106,266/266,266/266,266/266,ok,1164,17.9404,1164,1164,0,1
task107,266/266,266/266,266/266,ok,72651,13.8066,72651,72651,0,1
