task_id,decision,reason,delta_vs_ours
task001,keep_v3,non_nadeem_source,
task002,revert_to_ours,LOW_DELTA(+0.004),+0.0041
task003,keep_v3,non_nadeem_source,
task004,keep_v3,non_nadeem_source,
task005,keep_v3,non_nadeem_source,
task006,keep_v3,non_nadeem_source,
task007,keep_nadeem,high_delta(+0.126),+0.1264
task008,keep_v3,non_nadeem_source,
task009,keep_v3,non_nadeem_source,
task010,keep_v3,non_nadeem_source,
task011,keep_v3,non_nadeem_source,
task012,revert_to_ours,LOW_DELTA(+0.087),+0.0866
task013,keep_v3,non_nadeem_source,
task014,keep_nadeem,high_delta(+0.651),+0.6506
task015,revert_to_ours,LOW_DELTA(+0.000),+0.0000
task016,keep_v3,non_nadeem_source,
task017,keep_nadeem,high_delta(+0.113),+0.1131
task018,keep_v3,non_nadeem_source,
task019,keep_nadeem,high_delta(+0.528),+0.5276
task020,keep_v3,non_nadeem_source,
task021,keep_nadeem,high_delta(+0.171),+0.1709
task022,keep_nadeem,high_delta(+0.255),+0.2550
task023,keep_nadeem,high_delta(+2.121),+2.1213
task024,keep_v3,non_nadeem_source,
task025,keep_nadeem,high_delta(+0.889),+0.8889
task026,keep_v3,non_nadeem_source,
task027,keep_v3,non_nadeem_source,
task028,keep_v3,non_nadeem_source,
task029,revert_to_ours,LOW_DELTA(+0.013),+0.0129
task030,keep_nadeem,high_delta(+1.357),+1.3566
task031,revert_to_ours,LOW_DELTA(+0.004),+0.0039
task032,keep_v3,non_nadeem_source,
task033,keep_v3,non_nadeem_source,
task034,keep_v3,non_nadeem_source,
task035,keep_nadeem,high_delta(+0.514),+0.5143
task036,revert_to_ours,LOW_DELTA(+0.000),+0.0004
task037,keep_v3,non_nadeem_source,
task038,keep_v3,non_nadeem_source,
task039,revert_to_ours,LOW_DELTA(+0.008),+0.0077
task040,keep_nadeem,high_delta(+0.252),+0.2515
task041,keep_nadeem,high_delta(+0.327),+0.3274
task042,keep_nadeem,high_delta(+0.695),+0.6950
task043,keep_v3,non_nadeem_source,
task044,keep_nadeem,high_delta(+3.935),+3.9345
task045,revert_to_ours,LOW_DELTA(+0.047),+0.0466
task046,keep_v3,non_nadeem_source,
task047,keep_nadeem,high_delta(+0.493),+0.4928
task048,keep_v3,non_nadeem_source,
task049,revert_to_ours,LOW_DELTA(+0.061),+0.0612
task050,keep_v3,non_nadeem_source,
task051,keep_v3,non_nadeem_source,
