task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
1,0.0,,,,0,268,0,0,data/yash9439/task001.onnx,missing
2,0.0,,,,0,268,0,0,data/yash9439/task002.onnx,missing
3,0.0,,,,0,265,0,0,data/yash9439/task003.onnx,missing
4,0.0,,,,0,265,0,0,data/yash9439/task004.onnx,missing
5,0.0,,,,0,266,0,0,data/yash9439/task005.onnx,missing
6,0.0,,,,0,266,0,0,data/yash9439/task006.onnx,missing
7,0.0,,,,0,266,0,0,data/yash9439/task007.onnx,missing
8,0.0,,,,0,266,0,0,data/yash9439/task008.onnx,missing
9,0.0,,,,0,265,0,0,data/yash9439/task009.onnx,missing
10,0.0,,,,0,265,0,0,data/yash9439/task010.onnx,missing
11,0.0,,,,0,267,0,0,data/yash9439/task011.onnx,missing
12,0.0,,,,0,265,0,0,data/yash9439/task012.onnx,missing
13,0.0,,,,0,267,0,0,data/yash9439/task013.onnx,missing
14,0.0,,,,0,266,0,0,data/yash9439/task014.onnx,missing
15,0.0,,,,0,265,0,0,data/yash9439/task015.onnx,missing
16,0.0,,,,0,267,0,0,data/yash9439/task016.onnx,missing
17,0.0,,,,0,266,0,0,data/yash9439/task017.onnx,missing
18,0.0,,,,0,266,0,0,data/yash9439/task018.onnx,missing
19,0.0,,,,0,267,0,0,data/yash9439/task019.onnx,missing
20,0.0,,,,0,266,0,0,data/yash9439/task020.onnx,missing
21,0.0,,,,0,266,0,0,data/yash9439/task021.onnx,missing
22,0.0,,,,0,266,0,0,data/yash9439/task022.onnx,missing
23,0.0,,,,0,266,0,0,data/yash9439/task023.onnx,missing
24,0.0,,,,0,266,0,0,data/yash9439/task024.onnx,missing
25,0.0,,,,0,266,0,0,data/yash9439/task025.onnx,missing
26,0.0,,,,0,268,0,0,data/yash9439/task026.onnx,missing
27,0.0,,,,0,265,0,0,data/yash9439/task027.onnx,missing
28,0.0,,,,0,265,0,0,data/yash9439/task028.onnx,missing
29,0.0,,,,0,266,0,0,data/yash9439/task029.onnx,missing
30,0.0,,,,0,266,0,0,data/yash9439/task030.onnx,missing
31,0.0,,,,0,266,0,0,data/yash9439/task031.onnx,missing
32,0.0,,,,0,266,0,0,data/yash9439/task032.onnx,missing
33,0.0,,,,0,265,0,0,data/yash9439/task033.onnx,missing
34,0.0,,,,0,267,0,0,data/yash9439/task034.onnx,missing
35,0.0,,,,0,266,0,0,data/yash9439/task035.onnx,missing
36,0.0,,,,0,265,0,0,data/yash9439/task036.onnx,missing
37,0.0,,,,0,266,0,0,data/yash9439/task037.onnx,missing
38,0.0,,,,0,266,0,0,data/yash9439/task038.onnx,missing
39,0.0,,,,0,264,0,0,data/yash9439/task039.onnx,missing
40,0.0,,,,0,266,0,0,data/yash9439/task040.onnx,missing
41,0.0,,,,0,266,0,0,data/yash9439/task041.onnx,missing
42,0.0,,,,0,266,0,0,data/yash9439/task042.onnx,missing
43,0.0,,,,0,266,0,0,data/yash9439/task043.onnx,missing
44,0.0,,,,0,266,0,0,data/yash9439/task044.onnx,missing
45,0.0,,,,0,265,0,0,data/yash9439/task045.onnx,missing
46,0.0,,,,0,267,0,0,data/yash9439/task046.onnx,missing
47,0.0,,,,0,265,0,0,data/yash9439/task047.onnx,missing
48,0.0,,,,0,270,0,0,data/yash9439/task048.onnx,missing
49,0.0,,,,0,268,0,0,data/yash9439/task049.onnx,missing
50,0.0,,,,0,271,0,0,data/yash9439/task050.onnx,missing
51,0.0,,,,0,265,0,0,data/yash9439/task051.onnx,missing
52,0.0,,,,0,267,0,0,data/yash9439/task052.onnx,missing
53,0.0,,,,0,60,0,0,data/yash9439/task053.onnx,missing
54,0.0,,,,0,266,0,0,data/yash9439/task054.onnx,missing
